plot;variable;value
bu01;bare;45
bu02;bare;0
bu01;cov;95
bu02;cov;40
bu01;date;2009-09-29
bu02;date;2009-09-29
bu01;expo;S
bu02;expo;S
bu01;hcov;30
bu02;hcov;30
bu01;hhl1;0,2
bu02;hhl1;0,1
bu01;hhl2;0,5
bu02;hhl2;0,3
bu01;hsl;3
bu02;hsl;1,5
bu01;longitude;14.060562E
bu02;longitude;14.060715N
bu01;location;Burgstall
bu02;location;Burgstall
bu01;latitude;47.528107E
bu02;latitude;47.528107N
bu01;mcov;5
bu02;mcov;1
bu01;plsx;10
bu02;plsx;2
bu01;plsy;3
bu02;plsy;5
bu01;accuracy;10
bu02;accuracy;10
bu01;rock;0
bu02;rock;95
bu01;scov;85
bu02;scov;20
bu01;stones;5
bu02;stones;0
bu01;slope;45
bu02;slope;85
bu01;altitude;790
bu02;altitude;790
bu01;alliance;Berberidion
bu02;alliance;Berberidion
bu01;observer;R. Kaiser
bu02;observer;R. Kaiser
