Table number;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;Species no.;Species name
Gymnocarpium robertianum;hl;+;+;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4845;
Lilium martagon;hl;r;.;+;.;+;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;6285;
Lonicera xylosteum;s1;r;.;+;r;1;.;1;r;r;+;.;r;.;.;.;.;r;.;.;.;.;6386;
Melica nutans;hl;+;+;+;+;+;.;1;.;.;1;.;.;.;+;r;.;+;.;.;.;.;6693;
Mycelis muralis;hl;r;r;.;.;r;.;r;.;.;r;.;.;.;r;.;r;r;.;.;.;.;6941;
Myosotis sylvatica;hl;+;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;+;.;.;.;.;6999;
Oxalis acetosella;hl;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;7447;
Picea abies;t1;1;2;.;.;.;.;+;1;.;.;1;.;.;.;.;1;.;.;.;.;.;8026;
Pimpinella major;hl;+;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8039;
Poa nemoralis;hl;2;+;.;.;+;+;+;.;1;r;.;.;.;.;+;.;1;.;.;2;1;8218;
Polypodium vulgare;hl;r;.;.;.;r;.;+;.;.;.;.;.;.;.;.;.;r;.;.;.;.;8388;
Sambucus nigra;s1;+;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;9693;
Hylotelephium maximum;hl;+;.;+;.;r;.;r;.;r;r;.;r;.;.;r;.;r;.;.;.;1;10021;
Senecio nemorensis agg.;hl;r;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;10106;
Sesleria albicans;hl;2;2;2;3;3;2;3;2;2;2;2;2;2;2;2;2;3;2;2;3;3;10141;
Sorbus aria agg.;s1;1;2;.;.;.;.;.;2;.;.;2;.;.;.;.;1;.;2;.;.;.;10336;
Taxus baccata;jl;+;r;.;.;.;.;+;r;.;.;.;.;.;.;.;.;.;.;.;.;.;11035;
Tilia cordata;t1;3;3;.;.;.;.;4;4;1;.;3;2;.;.;.;3;3;3;.;.;.;11287;
Tilia cordata;jl;+;+;.;.;r;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;11287;
Urtica dioica;hl;r;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;11644;
Veronica chamaedrys;hl;r;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;11822;
Vincetoxicum hirundinaria;hl;1;+;+;1;+;.;1;+;+;1;2;.;.;.;+;2;+;1;.;1;2;12072;
Arabis pauciflora;hl;.;+;1;1;r;.;.;+;.;.;.;.;.;.;1;.;.;.;.;.;.;786;
Asplenium ruta-muraria;hl;.;+;r;.;r;.;.;r;.;.;.;.;.;.;.;.;r;.;.;.;+;1042;
Berberis vulgaris;jl;.;r;.;r;.;.;.;.;.;.;+;.;.;.;.;1;.;+;.;.;.;1340;
Cardaminopsis arenosa;hl;.;r;+;+;.;.;.;+;+;.;.;.;.;.;1;.;.;.;.;1;.;2136;
Euonymus verrucosus;s1;.;+;.;.;.;.;+;.;.;.;.;.;.;.;.;1;.;1;.;.;1;4111;
Euonymus verrucosus;jl;.;r;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;r;.;.;.;4111;
Fagus sylvatica;t1;.;+;+;1;+;.;.;+;2;.;.;.;2;.;+;3;2;2;.;.;.;4220;
Lathyrus vernus;hl;.;r;1;1;1;.;1;.;r;.;.;+;+;.;.;.;.;.;.;.;.;5730;
Lonicera xylosteum;jl;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;6386;
Melampyrum nemorosum;hl;.;r;1;+;.;.;.;+;1;r;+;.;.;.;.;+;.;+;.;.;.;6673;
Mercurialis perennis;hl;.;1;+;+;1;r;2;r;+;+;.;.;r;r;.;.;.;.;.;.;.;6743;
Rosa canina s.lat.;jl;.;r;+;.;.;r;.;.;.;.;.;.;r;r;.;.;r;.;.;.;.;9371;
Sorbus aria agg.;jl;.;r;.;r;.;.;r;r;.;.;r;.;.;.;.;.;.;.;r;.;.;10336;
Sorbus aucuparia;jl;.;r;.;.;.;.;+;.;.;.;.;r;r;r;.;r;r;.;+;.;.;10337;
Tilia cordata;s1;.;+;.;.;r;.;2;.;.;+;.;.;.;.;.;.;.;1;.;.;.;11287;
Arabis hirsuta;hl;.;.;+;.;r;+;.;.;+;r;.;.;.;+;r;.;.;.;+;.;.;781;
Aurinia saxatilis;hl;.;.;r;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;r;1164;
Bupleurum falcatum;hl;.;.;+;+;+;.;+;+;1;+;1;+;.;.;.;+;.;+;+;.;.;1748;
Campanula gentilis;hl;.;.;r;.;.;.;.;.;.;r;.;.;.;r;.;.;.;.;.;.;.;2002;
Campanula trachelium;hl;.;.;+;.;+;.;.;.;+;+;.;.;.;.;r;.;.;.;.;.;r;2032;
Carpinus betulus;t1;.;.;2;2;4;1;.;.;2;.;.;1;.;.;3;.;2;.;.;.;.;2315;
Clematis recta;hl;.;.;r;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;2942;
Convallaria majalis;hl;.;.;+;.;.;.;.;+;.;.;2;+;+;+;.;1;2;2;.;.;.;3067;
Cornus mas;s1;.;.;2;2;.;.;.;.;2;+;2;.;1;.;.;1;.;1;.;.;2;3092;
Cornus sanguinea;s1;.;.;2;.;.;2;.;.;1;1;.;2;r;r;+;.;1;.;+;.;.;3093;
Cornus sanguinea;jl;.;.;+;+;r;+;.;.;1;1;.;+;.;.;.;.;.;.;+;.;.;3093;
Cotoneaster integerrimus;s1;.;.;+;+;r;.;.;.;.;.;.;.;.;.;.;.;2;.;.;.;.;3137;
Dactylis polygama;hl;.;.;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3367;
Elymus caninus;hl;.;.;1;.;.;+;.;r;2;+;.;.;.;.;.;.;.;.;.;.;.;3867;
Fallopia convolvulus;hl;.;.;r;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;4227;
Hepatica nobilis;hl;.;.;2;2;1;.;.;.;1;1;.;+;+;.;r;.;1;.;.;.;.;4991;
Inula conyza;hl;.;.;r;.;.;r;.;.;+;+;r;r;.;.;.;.;.;.;.;.;.;5437;
Laserpitium latifolium;hl;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5694;
Polygonatum odoratum;hl;.;.;r;r;.;+;.;r;.;+;1;.;.;.;+;.;.;+;.;.;.;8375;
Primula veris;hl;.;.;2;1;2;.;.;+;2;2;.;.;.;.;.;r;1;.;.;.;.;8599;
Pulmonaria obscura;hl;.;.;r;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;8782;
Quercus petraea agg.;t1;.;.;1;2;+;2;.;.;.;1;.;1;1;.;2;.;2;1;+;.;.;8851;
Quercus petraea agg.;s1;.;.;+;+;.;+;.;.;.;.;.;.;.;2;.;.;.;.;r;.;.;8851;
Ribes alpinum;s1;.;.;r;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;9194;
Sorbus torminalis;t1;.;.;1;.;.;.;.;.;.;.;.;.;.;.;2;.;.;.;.;.;.;10350;
Stellaria holostea;hl;.;.;+;+;+;.;.;.;r;.;.;.;.;.;1;.;.;.;.;.;.;10563;
Tanacetum corymbosum;hl;.;.;r;+;+;.;.;.;+;.;.;+;+;+;.;.;.;.;.;.;+;10707;
Taxus baccata;s1;.;.;+;.;.;.;.;.;+;.;.;.;.;.;2;.;.;+;.;.;.;11035;
Thalictrum minus;hl;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;11118;
Tilia platyphyllos;t1;.;.;3;2;2;3;.;.;2;3;.;4;4;3;3;.;.;.;3;5;4;11288;
Valeriana wallrothii;hl;.;.;r;+;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;1;11759;
Veronica teucrium;hl;.;.;r;+;.;r;.;.;r;r;.;r;.;.;.;.;.;.;r;.;.;11848;
Viola collina;hl;.;.;1;r;+;.;+;+;+;+;.;.;.;.;r;.;.;.;.;.;.;12093;
Acer campestre;jl;.;.;.;r;+;.;.;.;r;+;.;.;.;.;.;.;.;.;.;.;.;80;
Acer platanoides;t1;.;.;.;+;.;1;.;+;+;2;2;.;.;1;.;1;.;1;2;.;.;83;
Acer platanoides;s1;.;.;.;+;.;.;.;.;.;.;.;.;r;.;.;.;2;.;.;.;.;83;
Asarum europaeum;hl;.;.;.;r;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;961;
Asperula cynanchica;hl;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;977;
Carpinus betulus;s1;.;.;.;1;+;.;.;.;.;r;.;.;.;.;.;.;+;.;.;.;.;2315;
Carpinus betulus;jl;.;.;.;r;.;.;.;.;r;+;.;.;.;.;.;.;r;.;.;.;.;2315;
Centaurea triumfettii;hl;.;.;.;r;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;+;2428;
Cotoneaster integerrimus;jl;.;.;.;r;r;.;.;.;r;.;.;.;.;.;r;.;.;.;.;.;.;3137;
Euphorbia cyparissias;hl;.;.;.;+;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;4122;
Festuca ovina;hl;.;.;.;r;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;.;4283;
Festuca rupicola;hl;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4310;
Fragaria moschata;hl;.;.;.;r;.;.;+;.;.;.;.;.;+;.;.;.;1;.;.;.;.;4419;
Galium glaucum;hl;.;.;.;+;r;1;.;.;r;.;.;+;+;.;.;.;.;.;.;.;1;4560;
Helianthemum ovatum;hl;.;.;.;+;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;4942;
Hierochloe australis;hl;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5196;
Poa angustifolia;hl;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;+;8201;
Rosa rubiginosa;jl;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;9392;
Saxifraga paniculata;hl;.;.;.;r;.;.;r;.;.;r;.;.;.;.;.;.;.;.;.;.;.;9780;
Scabiosa columbaria;hl;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;9809;
Securigera varia;hl;.;.;.;r;.;r;.;.;+;.;.;.;.;.;r;.;.;.;.;.;r;10005;
Sorbus torminalis;jl;.;.;.;1;+;.;.;.;.;r;.;.;+;.;+;.;.;.;.;.;.;10350;
Teucrium chamaedrys;hl;.;.;.;+;.;.;.;.;+;.;+;.;.;.;.;+;.;.;.;.;.;11102;
Viola reichenbachiana;hl;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;12109;
Acer campestre;s1;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;80;
Acer pseudoplatanus;s1;.;.;.;.;r;.;1;r;.;.;.;.;.;.;.;.;r;.;.;.;.;84;
Ajuga genevensis;hl;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;247;
Crataegus laevigata;s1;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3154;
Crataegus species;jl;.;.;.;.;r;.;.;.;.;r;.;.;.;.;.;.;r;.;.;.;.;3169;
Hieracium murorum;hl;.;.;.;.;+;.;1;r;1;+;r;.;+;+;1;r;2;r;+;+;.;5137;
Hypericum perforatum;hl;.;.;.;.;r;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;+;5353;
Melampyrum pratense;hl;.;.;.;.;+;.;.;.;.;.;.;+;.;+;.;.;.;.;+;.;.;6674;
Silene nutans s.lat.;hl;.;.;.;.;+;.;.;.;.;1;.;+;.;.;.;.;+;.;.;.;.;10205;
Sorbus torminalis;s1;.;.;.;.;r;.;.;.;.;.;.;.;1;.;1;.;.;.;.;.;.;10350;
Anthericum ramosum;hl;.;.;.;.;.;+;.;+;.;+;+;+;r;.;2;1;.;+;1;+;.;705;
Asperula tinctoria;hl;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;984;
Aster amellus;hl;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;1057;
Brachypodium pinnatum;hl;.;.;.;.;.;+;.;.;.;.;.;+;r;.;.;.;.;.;.;.;.;1447;
Chelidonium majus;hl;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;2688;
Erysimum odoratum;hl;.;.;.;.;.;+;.;.;.;.;.;+;.;.;.;.;.;.;+;.;+;4089;
Geranium sanguineum;hl;.;.;.;.;.;+;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;4679;
Inula hirta;hl;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5441;
Inula salicina;hl;.;.;.;.;.;r;.;.;.;.;.;r;.;+;.;.;.;.;.;.;.;5443;
Peucedanum cervaria;hl;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;7806;
Polygala chamaebuxus;hl;.;.;.;.;.;+;.;.;.;.;.;.;r;.;.;.;.;.;+;.;.;8365;
Quercus robur;s1;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8855;
Rhamnus cathartica;s1;.;.;.;.;.;+;.;+;.;.;.;.;.;.;.;.;.;.;r;.;.;9049;
Ribes uva-crispa;jl;.;.;.;.;.;r;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;9201;
Rosa canina s.lat.;s1;.;.;.;.;.;+;.;.;.;.;.;1;.;.;.;.;.;.;+;.;.;9371;
Rubus fruticosus agg.;jl;.;.;.;.;.;r;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;9459;
Sorbus aria agg.;t1;.;.;.;.;.;1;.;.;.;.;.;1;1;2;.;.;.;.;2;.;.;10336;
Sorbus aucuparia;s1;.;.;.;.;.;1;1;.;.;.;.;.;.;.;.;.;+;.;+;.;.;10337;
