taxon;matched.taxon;abbr
Acer platanoides;Acer platanoides;acer plat
Acer pseudoplatanus;Acer pseudoplatanus;acer pseu
Acer pseudoplatanus;Acer pseudoplatanus;acer pseu
Actaea spicata;Actaea spicata;acta spic
Anthriscus sylvestris;Anthriscus sylvestris s.str.;anth sylv
Asplenium trichomanes;Asplenium trichomanes s.lat.;aspl tric slat
Berberis vulgaris;Berberis vulgaris;berb vulg
Bromus benekenii;Bromus benekenii;brom bene
Campanula persicifolia;Campanula persicifolia;camp pers
Campanula rapunculoides;Campanula rapunculoides ssp. rapunculoides;camp rapu rapu
Carex digitata;Carex digitata;care digi
Clinopodium vulgare;Clinopodium vulgare ssp. vulgare;clin vulg vulg
Corylus avellana;Corylus avellana;cory avel
Corylus avellana;Corylus avellana;cory avel
Digitalis grandiflora;Digitalis grandiflora;digi gran
Dryopteris filix-mas;Dryopteris filix-mas s.str.;dryo fili
Epilobium collinum;Epilobium collinum;epil coll
Fagus sylvatica;Fagus sylvatica;fagu sylv
Fragaria vesca;Fragaria vesca;frag vesc
Fraxinus excelsior;Fraxinus excelsior;frax exce
Fraxinus excelsior;Fraxinus excelsior;frax exce
Fraxinus excelsior;Fraxinus excelsior;frax exce
Galeobdolon montanum;Galeobdolon montanum;gale mont
Galeobdolon species;Galeobdolon sp.;gale olon spec ies
Galium aparine;Galium aparine s.str.;gali apar
Galium odoratum;Galium odoratum;gali odor
Galium pusillum agg.;Galium pusillum agg.;gali pusi aggr
Galium sylvaticum;Galium sylvaticum s.str.;gali sylv
Geranium robertianum;Geranium robertianum s.str.;gera robe
Gymnocarpium robertianum;Gymnocarpium robertianum;gymn robe
Lilium martagon;Lilium martagon;lili mart
Lonicera xylosteum;Lonicera xylosteum;loni xylo
Melica nutans;Melica nutans s.str.;meli nuta
Mycelis muralis;Lactuca muralis;lact mura
Myosotis sylvatica;Myosotis sylvatica s.str.;myos sylv
Oxalis acetosella;Oxalis acetosella;oxal acet
Picea abies;Picea abies;pice abie
Pimpinella major;Pimpinella major s.lat.;pimp majo slat
Poa nemoralis;Poa nemoralis;poa nemo
Polypodium vulgare;Polypodium vulgare;poly vule
Sambucus nigra;Sambucus nigra;samb nigr
Hylotelephium maximum;Hylotelephium maximum;hylo maxi
Senecio nemorensis agg.;Senecio nemorensis s.lat.;sene nemo slat
Sesleria albicans;Sesleria caerulea s.str.;sesl caer
Sorbus aria agg.;Sorbus aria agg.;sorb aria
Taxus baccata;Taxus baccata;taxu bacc
Tilia cordata;Tilia cordata;tili cord
Tilia cordata;Tilia cordata;tili cord
Urtica dioica;Urtica dioica s.lat.;urti dioc slat
Veronica chamaedrys;Veronica chamaedrys s.lat.;vero cham slat
Vincetoxicum hirundinaria;Vincetoxicum hirundinaria;vinc hiru
Arabis pauciflora;Fourraea alpina;four alpi
Asplenium ruta-muraria;Asplenium ruta-muraria;aspl ruta
Berberis vulgaris;Berberis vulgaris;berb vulg
Cardaminopsis arenosa;Arabidopsis arenosa;arab aren
Euonymus verrucosus;Euonymus verrucosus;euon verr
Euonymus verrucosus;Euonymus verrucosus;euon verr
Fagus sylvatica;Fagus sylvatica;fagu sylv
Lathyrus vernus;Lathyrus vernus;lath vern
Lonicera xylosteum;Lonicera xylosteum;loni xylo
Melampyrum nemorosum;Melampyrum nemorosum s.str.;mela nemo
Mercurialis perennis;Mercurialis perennis s.str.;merc pere
Rosa canina s.lat.;Rosa canina s.lat.;rosa cani slat
Sorbus aria agg.;Sorbus aria agg.;sorb aria
Sorbus aucuparia;Sorbus aucuparia ssp. aucuparia;sorb aucu aucu
Tilia cordata;Tilia cordata;tili cord
Arabis hirsuta;Arabis hirsuta s.str.;arab hirs
Aurinia saxatilis;Aurinia saxatilis;auri saxa
Bupleurum falcatum;Bupleurum falcatum;bupl falc falc
Campanula gentilis;Campanula gentilis;camp gent
Campanula trachelium;Campanula trachelium;camp trac
Carpinus betulus;Carpinus betulus;carp betu
Clematis recta;Clematis recta;clem rect
Convallaria majalis;Convallaria majalis ssp. majalis;conv maja maja
Cornus mas;Cornus mas;corn mas
Cornus sanguinea;Cornus sanguinea s.lat.;corn sang slat
Cornus sanguinea;Cornus sanguinea s.lat.;corn sang slat
Cotoneaster integerrimus;Cotoneaster integerrimus;coto inte
