taxon,matched.taxon
Achillea clavenae,Achillea clavennae
Adenostyles glabra,Adenostyles alpina
Agrostis alpina,Agrostis alpina s.str.
Agrostis rupestris,Agrostis rupestris
Alchemilla hybrida agg.,Alchemilla Sect. Plicatae
Alchemilla vulgaris agg.,Alchemilla Sect. Alchemilla
Androsace chamaejasme,Androsace chamaejasme
Androsace lactea,Androsace lactea
Antennaria dioica,Antennaria dioica
Anthoxanthum alpinum,Anthoxanthum alpinum
Anthyllis vuln.ssp.alpestris,Anthyllis vulneraria ssp. alpicola
Arabis alpina,Arabis alpina ssp. alpina
Arabis pumila,Arabis bellidifolia s.str.
Arctostaphylos alpinus,Arctostaphylos alpinus
Arenaria ciliata,Arenaria ciliata
Aster bellidiastrum,Bellidiastrum michelii
Athamanta cretensis,Athamanta cretensis
Avenella flexuosa,Avenella flexuosa
Avenochloa versicolor,Avenula versicolor
Barbilophozia sp.,Barbilophozia sp.
Bartsia alpina,Bartsia alpina
Biscutella laevigata,Biscutella laevigata s.lat.
Brachythecium sp.,Brachythecium sp.
Bryum species,Bryum sp.
Campanula scheuchzeri,Campanula scheuchzeri
Campanula cochleariifolia,Campanula cochleariifolia
Campylium chrysophyllum,Campylium chrysophyllum
Campylium stellatum,Campylium stellatum
Carex atrata,Carex atrata
Carex atrata agg.,Carex atrata agg.
Carex brachystachys,Carex brachystachys
Carex capillaris,Carex capillaris
Carex firma,Carex firma
Carex ornithopodoides,Carex ornithopodoides
Carex parviflora,Carex parviflora
Carex sempervirens,Carex sempervirens ssp. sempervirens
Cerastium arvense,Cerastium arvense s.lat.
Cerastium carinthiacum,Cerastium carinthiacum ssp. carinthiacum
Cetraria cucullata,Flavocetraria cucullata
Cetraria islandica,Cetraria islandica ssp. islandica
Cetraria nivalis,Flavocetraria nivalis
Cetraria tilesii,Vulpicida tubulosus
Chamorchis alpina,Chamorchis alpina
Cladonia arbuscula,Cladonia arbuscula s.lat.
Cladonia macroceras,Cladonia macroceras
Cladonia pyxidata,Cladonia pyxidata
Cladonia rangiferina,Cladonia rangiferina
Cladonia species,Cladonia sp.
Coeloglossum viride,Coeloglossum viride
Crepis jacquinii,Crepis jacquinii ssp. jacquinii
Crepis terglouensis,Crepis terglouensis
Ctenidium molluscum,Ctenidium molluscum s.lat.
Ctenidium procerrimum,Hypnum procerrimum
Deschampsia cespitosa,Deschampsia cespitosa
Dianthus alpinus,Dianthus alpinus
Dicranum scoparium,Dicranum scoparium
Distichium capillaceum,Distichium capillaceum
Ditrichum flexicaule,Ditrichum flexicaule
Draba aizoides,Draba aizoides ssp. aizoides
Dryas octopetala,Dryas octopetala
Elyna myosuroides,Kobresia myosuroides
Euphrasia ninima,Euphrasia minima s.str.
Euphrasia salisburgensis,Euphrasia salisburgensis s.str.
Festuca picturata,Festuca picturata
Festuca pulch.ssp.jurana,Festuca pulchella ssp. jurana
Festuca pumila,Festuca pumila
Festuca rupicaprina,Festuca rupicaprina
Festuca vers.ssp.brachystachys,Festuca versicolor ssp. brachystachys
Festuca vers.ssp.pallidula,Festuca versicolor ssp. pallidula
Galium anisophyllum,Galium anisophyllon
Galium noricum,Galium noricum
Gentiana clusii,Gentiana clusii ssp. clusii
Gentiana nivalis,Gentiana nivalis
Gentiana orbiculare,Gentiana orbicularis
Gentiana pannonica,Gentiana pannonica
Gentiana pumila,Gentiana pumila
Gentiana punctata,Gentiana punctata
Gentiana verna,Gentiana verna ssp. verna
Gentianella germanica,Gentianella germanica agg.
Gypsophila repens,Gypsophila repens
Hedysarum hedysaroides,Hedysarum hedysaroides ssp. hedysaroides
Helianthem alpestre,Helianthemum alpestre
Helianthemum alpestre,Helianthemum alpestre
Hieracium alpinum,Hieracium alpinum
Hieracium morisianum,Hieracium pilosum
Homogyne alpina,Homogyne alpina
Homogyne discolor,Homogyne discolor
Huperzia selago,Huperzia selago ssp. selago
Hutchinsia alpina,Hornungia alpina ssp. alpina
Hymenostylium recurvirosrte,Hymenostylium recurvirostrum var. recurvirostrum
Hypnum cupressiforme,Hypnum cupressiforme
Juncus monanthos,Juncus monanthos
Juncus trifidus,Juncus trifidus s.str.
Kernera saxatilis,Kernera saxatilis
Kobresia simpliciuscula,Kobresia simpliciuscula
Larix decidua,Larix decidua
Lecidoma demissa,Lecidoma demissum
Leontodon helveticus,Scorzoneroides helvetica
Leontodon hispidus,Leontodon hispidus s.lat.
Ligusticum mutellina,Mutellina adonidifolia
Linum catharticum,Linum catharticum
Loiseleuria procumbens,Loiseleuria procumbens
Luzula multiflora,Luzula multiflora s.str.
Luzula glabrata,Luzula glabrata
Megaspora verrucosa,Megaspora verrucosa
Minuartia austriaca,Minuartia austriaca
Minuartia cherlerioides,Minuartia cherlerioides s.lat.
Minuartia gerardii,Minuartia gerardii
Minuartia sedoides,Minuartia sedoides
Myosotis alpestris,Myosotis alpestris
Nardus stricta,Nardus stricta
Oxytropis jacqinii,Oxytropis montana s.str.
Parnassia palustris,Parnassia palustris
Pedicularis rosea,Pedicularis rosea ssp. rosea
Pedicularis rostrato-capitata,Pedicularis rostratocapitata ssp. rostratocapitata
Pedicularis verticilata,Pedicularis verticillata
Pedicularis verticillata,Pedicularis verticillata
Petrocallis pyrenaica,Petrocallis pyrenaica
Phyteuma orbiculare,Phyteuma orbiculare s.str.
Pinguicula alpina,Pinguicula alpina
Pinus mugo,Pinus mugo s.str.
Plagiopus oederi,Plagiopus oederianus
Poa alpina,Poa alpina
Pohlia cruda,Pohlia cruda
Polygonum viviparum,Persicaria vivipara
Polytrichum species,Polytrichum sp.
Polytrichum alpinum,Polytrichum alpinum
Polytrichum piliferum,Polytrichum piliferum
Polytrichum commune,Polytrichum commune
Potentilla aurea,Potentilla aurea
Potentilla clusiana,Potentilla clusiana
Potentilla crantzii,Potentilla crantzii
Potentlila clusiana,Potentilla clusiana
Primula auricula,Primula auricula s.lat.
Primula clusiana,Primula clusiana
Pseudorchis albida,Pseudorchis albida s.lat.
Ptilium ciliare,Ptilidium ciliare
Pulsatilla alpina,Pulsatilla alpina ssp. alpina
Ranunculus alpestris,Ranunculus alpestris s.str.
Ranunculus hybridus,Ranunculus hybridus
Ranunculus montanus,Ranunculus montanus s.str.
Rhododendron hirsutum,Rhododendron hirsutum
Rhodothamnus chamaecistus,Rhodothamnus chamaecistus
Rhytidium rugosum,Rhytidium rugosum
Salix alpina,Salix alpina
Salix retusa,Salix retusa s.str.
Salix waldsteiniana,Salix waldsteiniana
Sanionia uncinata,Sanionia uncinata
Saussurea discolor,Saussurea discolor
Saussurea pygmaea,Saussurea pygmaea
Saxifraga aizoides,Saxifraga aizoides
Saxifraga androsacea,Saxifraga androsacea
