plot,municipality,locality,gridcell,longitude,latitude,accuracy
091,Johnsbach, Zinödl gr. Speikboden, 8453/2, 14.67105,47.57087,150
391,Johnsbach,Stadelfeldsattel,8453/4,14.65950,47.54547,100
458,Johnsbach,Rotofen W-Hang,8453/2,14.66502,47.55612,250
449,Johnsbach,Zinödl gr. Speikboden,8453/2, 14.67105,47.57087,150
