plot	date	location	syntaxon	longitude	latitude	accuracy
68	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
69	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
70	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
71	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
72	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
73	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
74	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
75	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
76	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
77	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
78	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
79	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
80	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
81	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
82	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
83	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
84	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
85	1979-01-01	Sauwald	unkown	13.5E	48.5N	15000
86	1977-08-12	Faberwald 200 m S Schildorf/Freinberg	Luzulo-Abietetum	13.542917E	48.564467N	500
87	1977-09-17	200 m E Unedt/Schardenberg	Luzulo-Abietetum	13.471350E	48.540652N	200
88	1977-09-17	Fraunhof 300 m E Kohlbauer/Wernstein	Luzulo-Abietetum	13.455848E	48.524356N	300
89	1977-05-15	1000 m SE Hauzing/Rainbach	Luzulo-Abietetum	13.546789E	48.449318N	300
90	1977-08-12	Kößlbach nahe Höllmühle/Freinberg	Luzulo-Abietetum	13.546833E	48.567825N	100
91	1977-08-12	Kößlbachtal/Freinberg	Luzulo-Abietetum	13.546675E	48.536063N	1000
92	1978-07-11	300 m NE Neudling/Freinberg	Myrtillo-Abitetum	13.528982E	48.567023N	200
93	1978-07-26	200 m SE Gattern/Schardenberg	Soldanello-Piceetum	13.483285E	48.542161N	100
