plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;date;latitude;longitude;accuracy;observer;comment;location;alliance
sg01;90;0;0;70;90;50;0;0;0;0;0;10;10;F;0;1997-06-24;47.536786N;12.724257E;20;ARGE für Vegetationsökologie, Bert Mayer;Biotopkennzahl 571190057, im zentralen Bereich des Biotops;Schidergraben W Obsthurn;ERI-01A
sg02;80;0;3;70;60;20;0;0;0;0;0;10;10;F;0;1997-07-24;47.533802N;12.719293E;20;ARGE für Vegetationsökologie, Bert Mayer;Biotopkennzahl 571190057, auf einer bachfernen Schotterterrasse;Schidergraben W Obsthurn;ERI-01A
