"plot";"abbr";"layer";"cov";"voucher.flag";"voucher";"sheets";"determined";"comment";"history"
"an01";"agro capi";"hl";"+";;;;;;
"an01";"agro rupe rupe";"hl";"2a";;;;;;
"an01";"anth alpi";"hl";"+";;;;;;
"an01";"arni mont";"hl";"+";;;;;;
"an01";"aven flex flex";"hl";"+";;;;;;
"an01";"camp sche";"hl";"+";;;;;;
"an01";"care brun brun";"hl";"+";"voucher";138;;;;
"an01";"care nigr";"hl";"+";;;;;;
"an01";"desc cesp";"hl";"+";;;;;;
"an01";"euph mini";"hl";"2m";;;;;;
"an01";"fest nigr cens";"hl";"2b";"voucher";137;;;;
"an01";"gnap supi";"hl";1;;;;;;
"an01";"hier spha";"hl";"+";"voucher";136;;;;
"an01";"homo alpi";"hl";1;;;;;;
"an01";"leuc vulg aggr";"hl";"+";;;;;;
"an01";"lotu corn";"hl";"+";;;;;;
"an01";"luzu alpi na";"hl";"+";;;;;;
"an01";"luzu alpi losa";"hl";1;;;;;;
"an01";"mute adon";"hl";"+";;;;;;
"an01";"nard stri";"hl";1;;;;;;
"an01";"poly spec ies";"ml";"2b";;;;;;
"an01";"pote aure";"hl";1;;;;;;
"an01";"scor autu";"hl";"+";;;;;"Leontodon autumnalis subalpinus";
"an01";"scor helv";"hl";"+";;;;;;
"an01";"sibb proc";"hl";1;;;;;;
"an01";"trif pall";"hl";"+";"voucher";139;;;;
"an01";"vacc gaul";"hl";"+";;;;;;
"an01";"vacc myrt";"hl";"+";;;;;;
"an01";"vacc viti";"hl";"+";;;;;;
"an01";"viol bifl";"hl";"+";;;;;;
"an02";"agro rupe rupe";"hl";"+";;;;;;
"an02";"aven flex flex";"hl";4;;;;;;
"an02";"cala vill";"hl";"+";;;;;;
"an02";"desc cesp";"hl";"+";;;;;;
"an02";"dicr scop";"ml";1;"voucher";;;;;
"an02";"dryo cart";"hl";1;"voucher";124;2;;;
"an02";"homo alpi";"hl";1;;;;;;
"an02";"hylo sple";"ml";"2a";;;;;;
"an02";"pinu mugo";"hl";1;;;;;;
"an02";"pinu mugo";"sl";5;;;;;;
"an02";"poly spec ies";"ml";1;"voucher";;;;;
"an02";"poly juni";"ml";1;"voucher";;;;;
"an02";"vacc myrt";"hl";"2b";;;;;;
"an02";"vacc viti";"hl";1;;;;;;
"an03";"agro rupe rupe";"hl";"+";;;;;;
"an03";"alec ochr";"ml";"2a";"voucher";;;;;
"an03";"aven flex flex";"hl";"+";;;;;;
"an03";"care brun brun";"hl";1;"voucher";127;;;;
"an03";"care curv curv";"hl";"+";;;;;;
"an03";"care nigr";"hl";"+";;;;;;
"an03";"cetr isla isla";"ml";"2b";;;;;;
"an03";"flav niva";"ml";"+";;;;;;
"an03";"flav cucu";"ml";1;"voucher";;;;;
"an03";"clad rang";"ml";1;;;;;;
"an03";"fest nigr cens";"hl";"+";"voucher";128;;;;
"an03";"junc trif";"hl";"+";;;;;;
"an03";"lari deci deci";"hl";"+";;;;;;
"an03";"lois proc";"hl";4;;;;;;
"an03";"oreo dist";"hl";"+";;;;;;
"an03";"phyt hemi";"hl";"+";"voucher";125;;;;
"an03";"pice abie";"hl";"+";;;;;;
"an03";"pinu mugo";"hl";"+";;;;;;
"an03";"poa alpi";"hl";"+";;;;;;
"an03";"poly pili";"ml";"+";"voucher";;;;;
"an03";"sapo pumi";"hl";1;;;;;;
"an03";"vacc gaul";"hl";"2b";;;;;;
"an03";"vacc viti";"hl";"+";;;;;;
"an04";"agro rupe rupe";"hl";1;;;;;;
"an04";"arni mont";"hl";"+";;;;;;
"an04";"aven flex flex";"hl";"+";;;;;;
"an04";"aven vers";"hl";"2b";;;;;;
"an04";"camp alpi";"hl";"+";;;;;;
"an04";"camp sche";"hl";"+";;;;;;
"an04";"care curv curv";"hl";1;;;;;;
"an04";"cetr isla isla";"ml";1;;;;;;
"an04";"clad rang";"ml";1;"voucher";;;;;
"an04";"diph alpi";"hl";"+";;;;;;
"an04";"empe herm";"hl";3;;;;;;
"an04";"euph mini";"hl";"2m";;;;;;
"an04";"gnap supi";"hl";"+";;;;;;
"an04";"hier alpi";"hl";"+";;;;;;
"an04";"homo alpi";"hl";1;;;;;;
"an04";"junc trif";"hl";1;;;;;;
"an04";"lari deci deci";"hl";"r";;;;;;
"an04";"lois proc";"hl";"2b";;;;;;
"an04";"luzu alpi losa";"hl";"+";;;;;;
"an04";"lyco anno";"hl";"+";;;;;;
"an04";"nard stri";"hl";1;;;;;;
"an04";"phyt hemi";"hl";"+";;;;;;
"an04";"poly juni";"ml";"+";"voucher";;;;;
"an04";"poly pili";"ml";"+";;;;;;
"an04";"prim mini";"hl";"+";;;;;;
"an04";"puls alpi alba";"hl";1;;;;;;
"an04";"rhod ferr";"hl";"+";;;;;;
"an04";"sapo pumi";"hl";"+";;;;;;
"an04";"scor helv";"hl";1;;;;;;
"an04";"sold pusi alpi";"hl";"+";;;;;;
"an04";"vacc myrt";"hl";"2b";;;;;;
"an04";"vacc viti";"hl";1;;;;;;
"an05";"achi mill aggr";"hl";"+";;;;;;
"an05";"agro capi";"hl";1;;;;;;
"an05";"fest nigr cens";"hl";3;;;;;;
"an05";"luzu alpi losa";"hl";"+";;;;;;
"an05";"phle prat";"hl";"2b";;;;;;
"an05";"poa alpi";"hl";"+";;;;;;
"an06";"alec ochr";"ml";"2b";;;;;;
"an06";"arct alpi";"hl";1;;;;;;
"an06";"camp alpi";"hl";1;;;;;;
"an06";"cetr isla isla";"ml";"2a";;;;;;
"an06";"flav niva";"ml";"+";"voucher";;;;;
"an06";"clad arbu slat";"ml";1;;;;"clad (sp2)";;
"an06";"flav cucu";"ml";"+";;;;;;
"an06";"clad subu";"ml";1;;;;;;
"an06";"empe herm";"hl";"+";;;;;;
"an06";"hier alpi";"hl";"+";;;;;;
"an06";"hupe sela";"hl";"+";;;;;;
"an06";"junc trif";"hl";1;;;;;;
"an06";"lari deci deci";"hl";"r";;;;;;
"an06";"lois proc";"hl";4;;;;;;
"an06";"nard stri";"hl";"+";;;;;;
"an06";"oreo dist";"hl";"+";;;;;;
"an06";"phyt hemi";"hl";"+";;;;;;
"an06";"pice abie";"hl";"+";;;;;;
"an06";"poly spec ies";"ml";"+";;;;;;
"an06";"prim mini";"hl";1;;;;;;
"an06";"sapo pumi";"hl";"2a";;;;;;
"an06";"vacc gaul";"hl";"2a";;;;;;
"an06";"vacc viti";"hl";"+";;;;;;
"an07";"aven flex flex";"hl";1;;;;;;
"an07";"bazz tril";"ml";"+";;;;;;
"an07";"care nigr";"hl";"+";;;;;;
"an07";"cetr isla isla";"ml";"+";"voucher";;;;;
"an07";"clad rang";"ml";"+";;;;;;
"an07";"dicr scop";"ml";"2b";"voucher";;;;;
"an07";"empe herm";"hl";1;;;;;;
"an07";"pinu mugo";"sl";5;;;;;;
"an07";"pleu schr";"ml";"2a";;;;;;
"an07";"poly spec ies";"ml";"2a";"voucher";;;;;
"an07";"rhod ferr";"hl";3;;;;;;
"an07";"spha capi";"ml";1;"voucher";;;;;
"an07";"vacc myrt";"hl";3;;;;;;
"an07";"vacc viti";"hl";"2a";;;;;;
"an08";"alec ochr";"ml";"2a";;;;;;
"an08";"camp alpi";"hl";"+";;;;;;
"an08";"care curv curv";"hl";"2a";;;;;;
"an08";"cetr isla isla";"ml";"2a";;;;;;
"an08";"flav niva";"ml";1;;;;;;
"an08";"flav cucu";"ml";1;;;;;;
"an08";"junc trif";"hl";1;;;;;;
"an08";"lois proc";"hl";4;;;;;;
"an08";"oreo dist";"hl";"+";;;;;;
"an08";"phyt hemi";"hl";"+";;;;;;
"an08";"pinu mugo";"hl";"r";;;;;;
"an08";"prim mini";"hl";"+";;;;;;
"an08";"sapo pumi";"hl";"2a";;;;;;
"an08";"tham verm verm";"ml";"+";;;;;;
"an08";"vacc gaul";"hl";"2a";;;;;;
"an09";"agro rupe rupe";"hl";"+";;;;;;
"an09";"alec ochr";"ml";3;;;;;;
"an09";"camp alpi";"hl";1;"voucher";130;;;;
"an09";"care curv curv";"hl";"2a";;;;;;
"an09";"cetr isla isla";"ml";"2a";;;;;;
"an09";"flav niva";"ml";"+";;;;;;
