taxon,abbr,layer,rw01-2019,rw02-2019,rw03-2019,rw04-2019,rw05-2019,rw06-2019,rw07-2019,rw08-2019,rw09-2019,rw10-2019,rw11-2019
Ranunculus ficaria,fica vern vern,hl,,,,,,,,,,,2a
Stellaria alsine,stel alsi,hl,,,,,,,,,,,+
Chrysosplenium alternifolium,chry alte,hl,,,,,,,,,,,+
Alnus glutinosa,alnu glut,hl,+,2a,+,1b,,,2a,r,,2b,
Euonymus europaeus,euon euro,hl,,,,,,,,,,+,
Frangula alnus,fran alnu,hl,1a,+,,,,,2b,3,1a,+,
Pinus sylvestris,pinu sylv,hl,,,,,,,,r,+,,
Picea abies,pice abie,hl,,,,,,,,+,,,
Betula pendula,betu pend,hl,,,,,,,,,r,,
Salix aurita,sali auri,hl,,,,,,,,,r,,
Prunus padus,prun padu padu,hl,,,,,,,,,,r,
Aulacomnium palustre,aula palu,ml,2a,,,,,,+,,,,
Breidleria pratensis,hypn prat,ml,,,,2a,,,,,,,
Calliergonella cuspidata,call cusp,ml,+,+,+,1a,,4,,,,+,+
Campylium stellatum,camp stel,ml,2a,5,4,,+,+,,,,,
Dicranum bergeri cf.,dicr undu,ml,1b,,,,,,,,,,
Fissidens adianthoides,fiss adia,ml,+,+,,,,,+,,,,
Mniaceae,unde bryo,ml,+,,,+,,+,+,,,+,+
Pleurozium schreberi,pleu schr,ml,,,,,,,,,+,,
Rhythidiadelphus squarrosus,rhyt squa,ml,,,,,+,,,,,,
Sphagnum capillifolium,spha capi,ml,2a,,+,2a,,,2b ,,+,,
Sphagnum cuspidatum,spha cusp,ml,1a,,,2a,,,1b ,,,,
Sphagnum papillosum,spha papi,ml,+,,,,,,,5,5,,
Sphagnum teres,spha tere,ml,,,,+,,,,,,,
