plot,date,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,latitude,longitude,accuracy,elevation,soil,location,plot,comment,alliance,association,observer
se21,2014-06-04,98,50,70,40,90,30,20,16,4,0.3,0.15,16,16,W,35,0,0,0,47.925879N,14.375147E,12,440,Rendzina,Wendbach,se21,oberhalb der Felskante,Fagion sylvaticae,Helleboro nigri-Fagetum Zukrigl 1973 s.str.,R. Kaiser & T. Eberl
se22,2014-06-04,100,75,35,10,25,5,20,14,4.5,0.25,0.15,16,16,NE,50,10,0,0,47.924799N,14.373312E,15,,Mull-Rendzina,Wendbach,se22,an abschüssiger Felsleiste unterhalb einer ausgeprägten Wandstufe,Lunario-Acerenion pseudoplatani,Acrunco-Aceretum Moor 1952,R. Kaiser
se23,2014-06-04,98,75,65,40,60,5,25,15,5,1,0.2,16,16,E,70,2,0,0,47.925119N,14.373536E,15,,Mull-Rendzina,Wendbach,se23,,Lunario-Acerenion pseudoplatani,Acrunco-Aceretum Moor 1952,T. Eberl
se24,2014-06-04,100,70,10,50,95,40,30,20,6,1,0.2,16,16,W,25,0,0,0,47.921016N,14.374348E,15,,Skeletthumusboden,Wendbach,se24,,Lunario-Acerenion pseudoplatani,Phyllitido-Aceretum Moor 1945,R. Kaiser & T. Eberl
se25,2014-06-05,100,25,65,3,20,1,10,8,2.5,0.3,0.15,16,16,E,25,0,0,0,47.920037N,14.373975E,15,,Kalkbraunerde,Wendbach,se25,,Carpinion betuli,Stellario-Carpinetum Oberd. 1957,R. Kaiser & T. Eberl
se26,2014-06-05,60,0,0,15,40,30,0,0,2.5,0.7,0.25,6,2.5,S,85,60,0,0,47.924212N,14.372364E,15,,Felshumusboden,Wendbach,se26,,Seslerio-Festucion pallentis,Teucrio montani-Seselietum austriaci Niklfeld 1979,R. Kaiser & T. Eberl
se27,2014-06-05,97,60,40,15,70,30,14,10,4,0.5,0.2,16,16,SE,75,35,0,0,47.923925N,14.372142E,15,,Mull-Rendzina,Wendbach,se27,,Tilenion platyphylli,Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.,R. Kaiser & T. Eberl
se28,2014-06-05,95,65,50,10,25,30,15,10,5,0.4,0.25,25,10,E,80,40,0,0,47.917959N,14.369310E,15,,Mull-Rendzina,Wendbach,se28,"entlang Felskante, teilweise mit Fernglas",Tilenion platyphylli,Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.,R. Kaiser & T. Eberl
se29,2014-10-09,75,35,50,30,30,1,16,12,4,0.5,0.2,16,16,S,70,70,0,0,47.907837N,14.266070E,10,,Rendzina,Dürres Eck/Gaisberg,se29,,Tilenion platyphylli,Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.,R. Kaiser & T. Eberl
se30,2014-10-09,90,45,35,30,30,55,18,12,6,1,0.1,16,16,S,35,0,0,30,47.907735N,14.266949E,10,,Skeletthumusboden,Dürres Eck/Gaisberg,se30,,Tilenion platyphylli,Sorbo ariae-Aceretum pseudoplatani Moor 1952,R. Kaiser & T. Eberl
se31,2014-10-09,85,45,60,2,55,5,14,9,4,0.3,0.15,16,16,S,60,35,0,0,47.908751N,14.267499E,10,,Rendzina,Dürres Eck/Gaisberg,se31,,Fagion sylvaticae,Helleboro nigri-Fagetum Zukrigl 1973 s.str.,R. Kaiser & T. Eberl
se32,2014-10-09,85,75,15,1,40,1,18,12,4,0.6,0.25,16,16,S,35,0,0,60,47.907417N,14.280971E,10,,Skeletthumusboden,Dürres Eck/Gaisberg,se32,,Tilenion platyphylli,Sorbo ariae-Aceretum pseudoplatani Moor 1952,R. Kaiser
se33,2014-10-09,85,25,50,25,50,25,16,9,4,1,0.1,16,16,S,80,50,0,0,47.905633N,14.276972E,10,,Mull-Rendzina,Dürres Eck/Gaisberg,se33,im unteren Teil der Felsstufe,Tilenion platyphylli,Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.,R. Kaiser & T. Eberl
se34,2016-07-18,85,30,25,5,75,10,13,9,2.5,0.8,0.2,16,16,S,50,25,0,0,47.887752,14.363586,10,,,Rehkogel,se34,sea01,Tilenion platyphylli,,
se35,2016-07-18,100,45,25,10,97,5,27,13,3,1,0.25,16,16,S,35,0,0,0,47.886810,14.367931,10,,,Rehkogel,se35,sea02,Lunario-Acerenion pseudoplatani,,
se36,2016-07-20,70,35,20,50,20,10,14,9,3.5,0.6,0.1,16,16,S,70,100,0,0,47.901264,14.301845,10,,,Schwalbensteinmauer,se36,sea03,Tilenion platyphylli,,
se37,2015-07-14,90,40,45,45,80,15,16,12,4,0.8,0.1,16,16,S,70,3,0,0,47.914212,14.206395,10,,,Rinnerbergerbach,se37,sex01,Tilenion platyphylli,,R. Kaiser & T. Eberl
se38,2015-07-14,97,60,50,60,80,15,18,14,6,0.8,0.3,16,16,S,60,25,0,0,47.911138,14.202727,10,,Rendzina,Rinnerbergerbach,se38,sex02,Tilenion platyphylli,,R. Kaiser
se39,2015-07-14,90,35,25,45,70,15,18,12,4,0.5,0.3,16,16,S,75,30,0,0,47.908676,14.200076,10,,Rendzina,Rinnerbergerbach,se39,sex03,Tilenion platyphylli,,R. Kaiser
se40,2015-07-15,100,70,25,15,70,90,26,14,3,0.9,0.25,16,16,E,30,0,0,100,47.912989,14.205072,10,,Mull-Rendzina,Rinnerbergerbach,se40,"sex04, Blockschutthalde mit großen Sturzblöcken",Lunario-Acerenion pseudoplatani,,R. Kaiser & T. Eberl
se41,2015-07-15,100,90,20,3,100,10,27,19,4,1.2,0.15,16,16,NE,35,0,0,100,47.911712,14.217635,10,,,Rinnerbergerbach,se41,sex05,Lunario-Acerenion pseudoplatani,,R. Kaiser & T. Eberl
se42,2015-07-15,90,45,20,10,70,5,14,9,3,0.8,0.2,10,25,SE,55,25,0,0,47.911120,14.217765,10,,"Moder-Rendzina, Mull-Rendzina",Rinnerbergerbach,se42,"sex06, entlang Felsrücken",Tilenion platyphylli,,R. Kaiser
se43,2015-07-16,97,85,35,0,3,5,28,19,0,0.2,0.1,16,16,N,40,0,0,100,47.820094,14.102634,10,,,Rieser- und Reilerschneid,se43,sex07,Lunario-Acerenion pseudoplatani,,R. Kaiser & T. Eberl
se44,2015-07-16,85,45,30,3,60,3,26,16,4,1,0.1,16,16,NE,40,0,0,100,47.820709,14.100280,10,,,Rieser- und Reilerschneid,se44,sex08,Lunario-Acerenion pseudoplatani,,R. Kaiser & T. Eberl
