"taxon";"matched.taxon"
"Androsace lactea";"Androsace lactea"
"Arabis alpina";"Arabis alpina ssp. alpina"
"Betula pendula";"Betula pendula"
"Cardaminopsis arenosa";"Arabidopsis arenosa"
"Carex brachystachys";"Carex brachystachys"
"Carex humilis";"Carex humilis"
"Cerastium fontanum";"Cerastium fontanum s.str."
"Clematis vitalba";"Clematis vitalba"
"Cystopteris fragilis";"Cystopteris fragilis s.str."
"Draba aizoides";"Draba aizoides ssp. aizoides"
"Epipactis atrorubens";"Epipactis atrorubens"
"Erigeron glabratus";"Erigeron glabratus ssp. glabratus"
"Euphrasia picta";"Euphrasia officinalis ssp. picta"
"Fragaria vesca";"Fragaria vesca"
"Gymnadenia conopsea";"Gymnadenia conopsea ssp. conopsea"
"Heracleum austriacum";"Heracleum austriacum ssp. austriacum"
"Hieracium pilosella";"Hieracium pilosella"
"Hieracium species";"Hieracium sp."
"Juncus monanthos";"Juncus monanthos"
"Leucanthemum atratum";"Leucanthemum atratum s.str."
"Myosotis alpestris";"Myosotis alpestris"
"Pinguicula vulgaris ";"Pinguicula vulgaris"
"Pleurozium schreberi";"Pleurozium schreberi"
"Potentilla crantzii";"Potentilla crantzii"
"Pritzelago alpina";"Hornungia alpina ssp. alpina"
"Ranunculus bulbosus";"Ranunculus bulbosus s.str."
"Ranunculus lanuginosus";"Ranunculus lanuginosus"
"Ranunculus montanus";"Ranunculus montanus s.str."
"Rubus fruticosus agg.";"Rubus fruticosus agg."
"Rhychnostegium murale";"Rhynchostegium murale"
"Thymus praecox ssp. praecox";"Thymus praecox ssp. praecox"
"Veronica fruticans";"Veronica fruticans"
