"abbr";"layer";"taxon";"10";"11";"13";"9";"201";"202";"203";"12";"15";"200";"18";"243";"241";"242";"227";"228";"233";"234";"229";"230";"231";"235";"236";"232";"238";"244";"253";"254";"239";"240";"245";"252";"237";"249";"250";"251";"255";"256";"246";"247";"248"
"pinu mugo";"sl";"Pinus mugo";"3";"3";"3";"2";"4";"5";"5";"5";"5";"3";"4";".";".";".";"4";"3";"2";"4";"4";"4";"4";"r";"4";"2";"3";"2";"1";"1";"5";"5";"4";"4";"4";"5";"4";"5";"5";"+";"4";"4";"5"
"pinu mugo";"hl";"Pinus mugo";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"pinu unci";"hl";"Pinus uncinata";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";"."
"pice abie";"sl";"Picea abies";"r";".";".";"+";".";"+";"+";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"pice abie";"hl";"Picea abies";".";".";".";".";".";"+";"+";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"sali wald";"sl";"Salix waldsteiniana";"+";"1";".";"1";"r";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"sali appe";"sl";"Salix appendiculata";".";"1";".";".";"+";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"acer pseu";"sl";"Acer pseudoplatanus";"r";"1";"+";".";"r";"+";"r";"1";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"acer pseu";"hl";"Acer pseudoplatanus";".";".";".";"r";"r";"+";"r";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"sali glab";"sl";"Salix glabra";".";"+";".";".";"+";"+";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
