"taxon";"matched.taxon"
"Pinus mugo";"Pinus mugo s.str."
"Pinus mugo";"Pinus mugo s.str."
"Pinus uncinata";"Pinus uncinata"
"Picea abies";"Picea abies"
"Picea abies";"Picea abies"
"Salix waldsteiniana";"Salix waldsteiniana"
"Salix appendiculata";"Salix appendiculata s.str."
"Acer pseudoplatanus";"Acer pseudoplatanus"
"Acer pseudoplatanus";"Acer pseudoplatanus"
"Salix glabra";"Salix glabra"
"Sorbus aucuparia";"Sorbus aucuparia s.lat."
"Sorbus aucuparia";"Sorbus aucuparia s.lat."
"Sorbus aria ";"Sorbus aria s.str."
"Sorbus aria";"Sorbus aria s.str."
"Larix decidua";"Larix decidua"
"Amelanchier ovalis";"Amelanchier ovalis"
"Frangula alnus";"Frangula alnus"
"Cornus sanguinea";"Cornus sanguinea s.lat."
"Erica carnea";"Erica carnea"
"Rhododendron hirsutum";"Rhododendron hirsutum"
"Calamagrostis varia";"Calamagrostis varia"
"Valeriana saxatilis";"Valeriana saxatilis"
"Tofieldia calyculata";"Tofieldia calyculata"
"Aster bellidiastrum";"Bellidiastrum michelii"
"Polygala chamaebuxus";"Polygala chamaebuxus"
"Sesleria albicans";"Sesleria caerulea s.str."
"Rhodothamnus chamaecistus";"Rhodothamnus chamaecistus"
"Valeriana tripteris";"Valeriana tripteris"
"Euphrasia salisburgensis";"Euphrasia salisburgensis s.str."
"Phyteuma orbiculare";"Phyteuma orbiculare s.str."
"Carex firma";"Carex firma"
"Adenostyles glabra";"Adenostyles alpina"
"Molinia caerulea agg.";"Molinia caerulea agg."
"Cyclamen purpurascens";"Cyclamen purpurascens"
"Globularia nudicaulis";"Globularia nudicaulis"
"Asplenium viride";"Asplenium viride"
"Thesium alpinum";"Thesium alpinum"
"Rumex scutatus";"Rumex scutatus"
"Silene nutans s.l.";"Silene nutans ssp. nutans"
"Epipactis sp.";"Epipactis sp."
"Dryas octopetala";"Dryas octopetala"
"Leontodon incanus";"Leontodon incanus"
"Buphthalmum salicifolium";"Buphthalmum salicifolium"
"Juncus monanthos";"Juncus monanthos"
"Gentianopsis ciliata";"Gentianopsis ciliata"
"Leontodon hispidus";"Leontodon hispidus s.lat."
"Biscutella laevigata";"Biscutella laevigata ssp. laevigata"
"Scabiosa lucida";"Scabiosa lucida ssp. lucida"
"Linum catharticum";"Linum catharticum"
"Parnassia palustris";"Parnassia palustris"
"Globularia cordifolia";"Globularia cordifolia s.str."
"Gentianella aspera";"Gentianella aspera"
"Pinguicula alpina";"Pinguicula alpina"
"Hieracium bifidum";"Hieracium bifidum"
"Campanula scheuchzeri";"Campanula scheuchzeri"
"Saxifraga caesia";"Saxifraga caesia"
"Galium anisophyllon";"Galium anisophyllon"
"Epipactis atrorubens";"Epipactis atrorubens"
"Carduus defloratus agg.";"Carduus defloratus ssp. viridis"
"Aquilegia einseleana";"Aquilegia einseleana"
"Senecio abrotanifolius";"Senecio abrotanifolius var. abrotanifolius"
"Valeriana montana";"Valeriana montana"
"Ranunculus tuberosus";"Ranunculus nemorosus"
"Selaginella selaginoides";"Selaginella selaginoides"
"Solidago virgaurea";"Solidago virgaurea ssp. virgaurea"
"Daphne mezereum";"Daphne mezereum"
"Aposeris foetida";"Aposeris foetida"
"Homogyne alpina";"Homogyne alpina"
"Potentilla erecta";"Potentilla erecta"
"Vaccinium myrtillus";"Vaccinium myrtillus"
"Vaccinium vitis-idaea";"Vaccinium vitis-idaea"
"Lycopodium annotinum";"Lycopodium annotinum"
"Knautia maxima";"Knautia maxima ssp. maxima"
"Gentiana clusii";"Gentiana clusii ssp. clusii"
"Huperzia selago";"Huperzia selago ssp. selago"
"Carex ferruginea";"Carex ferruginea s.str."
"Soldanella alpina";"Soldanella alpina"
"Lotus corniculatus";"Lotus corniculatus s.str."
"Oxalis acetosella";"Oxalis acetosella"
"Rubus saxatilis";"Rubus saxatilis"
"Rosa pendulina";"Rosa pendulina"
"Carlina acaulis";"Carlina acaulis ssp. acaulis"
"Thymus praecox ssp. polytrichus";"Thymus praecox ssp. polytrichus"
"Campanula cochleariifolia";"Campanula cochleariifolia"
"Chlorocrepis staticifolia";"Chlorocrepis staticifolia"
"Petasites paradoxus";"Petasites paradoxus"
"Carex mucronata";"Carex mucronata"
"Heracleum austriacum";"Heracleum austriacum ssp. austriacum"
"Maianthemum bifolium";"Maianthemum bifolium"
"Aquilegia atrata";"Aquilegia atrata"
"Persicaria vivipara";"Persicaria vivipara"
"Poa alpina";"Poa alpina"
"Phyteuma spicatum";"Phyteuma spicatum"
"Tortella tortuosa";"Tortella tortuosa"
"Dicranum scoparium";"Dicranum scoparium"
"Hylocomium splendens";"Hylocomium splendens"
"Rhytidiadelphus triquetrus";"Rhytidiadelphus triquetrus"
"Metzgeria conjugata";"Metzgeria conjugata"
"Ctenidium molluscum";"Ctenidium molluscum s.lat."
"Pleurozium schreberi";"Pleurozium schreberi"
"Sphagnum capillifolium";"Sphagnum capillifolium"
"Cirriphyllum piliferum";"Cirriphyllum piliferum"
"Jungermannia leiantha";"Jungermannia leiantha"
"Lepidozia reptans";"Lepidozia reptans"
"Plagiochila asplenioides";"Plagiochila asplenioides"
"Scapania aspera";"Scapania aspera"
"Sphagnum quinquefarium";"Sphagnum quinquefarium"
"Tortella inclinata";"Tortella inclinata"
"Barbula crocea";"Barbula crocea"
"Fissidens dubius";"Fissidens dubius"
"Scapania aequiloba";"Scapania aequiloba"
