"abbr";"layer";"taxon";"204";"205";"206";"207";"208";"209";"210";"211";"212";"215";"213";"214";"216";"125";"126";"129";"130";"132";"133";"134";"127";"128";"131";"135";"136";"137";"1";"2";"3";"4";"5";"6";"7";"8";"14";"16";"19";"17";"52";"59";"61";"115";"116";"118";"119";"121";"123";"124";"53";"54";"55";"56";"57";"58";"138";"141";"143";"144";"145";"146";"147";"148";"149";"150";"151";"152";"153";"154";"155";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"187";"186";"194";"195";"196";"188";"189";"190";"191";"192";"193"
"sesl caer";"hl";"Sesleria albicans";".";".";".";".";".";".";".";".";"+";".";".";".";".";"1";"+";".";"+";"+";"1";"1";"1";"1";"1";"+";"1";"+";"1";".";"1";"1";"1";"+";".";"1";"2";".";"1";".";"2";"3";"1";"1";"1";"+";"1";"1";"1";"1";".";"1";"1";"2";".";"2";"+";"1";"1";"1";"1";"+";"1";"1";"1";"1";"1";"1";"1";"1";"+";"+";"4";"1";"1";"1";"3";"4";"1";"+";"3";"2";"3";"3";"3";"2";"+";"1";"+";".";"1";"2"
"drya octo";"hl";"Dryas octopetala";".";".";".";".";".";".";".";".";".";".";"r";"+";"2";".";".";".";".";"+";"+";"+";".";"+";".";"1";"1";"+";"1";"1";".";".";".";".";"1";"1";"1";"2";"1";"1";".";".";".";".";".";"+";".";".";".";"1";"1";"2";"2";"2";"2";"4";"1";"1";".";".";".";".";".";"+";".";".";"1";".";".";"1";"+";".";".";"1";".";".";".";".";"1";".";".";".";".";"1";"2";".";"5";"3";"3";"4";"2";"2"
"euph sali";"hl";"Euphrasia salisburgensis";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";".";"+";"+";"+";"+";".";".";".";".";".";"r";"+";"r";"+";"+";".";".";"1";".";"+";".";"+";".";".";"+";"+";".";"1";"+";"+";"+";".";"+";"+";"+";".";"+";".";"+";"+";".";".";".";"+";"+";"1";"1";"+";"+";"1";"+";"1";"+";"+";"+";"+";"+";"+";"+";"1";"+";".";".";".";".";"r";"r";"1";"1"
"care mucr";"hl";"Carex mucronata";".";".";".";".";".";".";".";"+";".";".";".";"1";"+";".";".";"1";"+";"1";"1";"1";".";".";"1";"1";"1";"1";"1";"+";"1";".";"3";".";"2";"1";"1";"1";".";"+";"1";".";"2";".";".";"+";".";".";"+";"+";"1";"2";"1";"1";".";"3";"1";"1";"1";"1";"1";"+";"1";".";".";".";".";".";".";".";".";"+";"1";"2";"1";"+";".";".";".";".";".";".";"+";"1";"1";"3";".";".";".";".";".";"."
"ping alpi";"hl";"Pinguicula alpina";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";"+";"+";".";"+";"+";".";".";"+";"+";"+";"1";"+";"+";"+";"+";"1";".";".";"1";".";".";".";".";".";"+";".";".";"+";"+";".";"+";".";"+";".";"2";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"+";".";"+";".";"+";"+";".";"+";".";"+";".";".";".";".";".";".";".";".";"+";".";"."
"pote caul";"hl";"Potentilla caulescens";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"1";"1";"+";".";"1";"1";"1";".";".";"1";".";".";".";"+";".";".";".";"1";".";".";".";"1";"2";".";"+";"+";"+";"+";"+";"+";"1";"1";"2";"1";"1";"1";"1";"1";"1";"+";"1";"+";".";"+";"+";".";"+";"1";".";"2";"1";"+";".";"+";"1";"+";"+";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";"."
"camp coch";"hl";"Campanula cochleariifolia";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";".";"+";"+";"+";".";".";"+";".";"+";"+";"+";"r";".";".";".";"+";"1";".";".";".";"+";".";"+";"1";"1";".";"1";".";"+";"1";"+";"+";"1";".";"1";".";".";".";".";".";".";".";".";"+";"+";"+";"1";"+";"+";"+";"1";".";"+";"+";".";".";"+";"+";"+";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"."
"cala vari";"hl";"Calamagrostis varia";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";"1";".";".";"1";"+";"+";".";".";".";"1";"1";".";"+";".";".";".";"1";"1";".";".";".";"+";".";".";".";".";"+";".";".";".";".";"1";".";".";".";"+";"1";"+";"1";"+";"+";"1";"+";"+";"+";"+";"+";"+";"1";"+";"+";"3";"1";"1";"1";".";"1";"1";"+";".";".";".";".";".";".";".";".";".";".";".";"."
"thes alpi";"hl";"Thesium alpinum";".";".";".";".";"+";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"+";".";".";"+";".";".";"+";"+";"1";".";".";"+";".";"+";".";".";"+";".";".";"1";".";".";".";"+";".";".";".";"+";"+";".";".";"+";"+";".";"1";".";".";".";".";".";".";".";".";".";"+";".";".";".";"+";".";".";".";".";"+";".";"+";"+";"+";".";".";".";".";"+";".";".";".";".";".";".";".";"."
"glob nudi";"hl";"Globularia nudicaulis";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";"+";"+";"1";"+";"+";".";"1";"1";".";"1";".";"2";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"leon hisp hisp";"hl";"Leontodon hispidus ssp. glabratus";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"+";"+";"1";"+";"1";"+";".";"+";"+";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";"1";"+";"1";"+";"+";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"anth ramo";"hl";"Anthericum ramosum";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"+";".";"+";".";"1";"+";".";"1";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"pedi rost tata";"hl";"Pedicularis rostratocapitata";".";".";".";".";".";".";"+";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"+";".";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"1";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"+";"+";".";".";".";"1";"+";"+"
"achi clav";"hl";"Achillea clavenae";".";".";".";".";".";"r";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"1";".";".";"+";".";".";"+";"+";".";"1";"1";"1";"1";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2";"+";"2";"+";"2";".";".";".";"."
"gali anis";"hl";"Galium anisophyllon";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"+";"+";".";".";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";"+";"+";"+";".";".";".";".";".";"1";".";"."
"rhod hirs";"hl";"Rhododendron hirsutum";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"1";".";".";".";".";".";".";".";"+";".";".";".";"+";"1";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";"1";".";"1";".";"+";"+";".";"+";".";"2";"+";".";".";".";".";".";"2";"1";"2";"1"
"prim clus";"hl";"Primula clusiana";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"+";"+";".";"+";"1";"2";"2";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2";"1";"2";"1";"+";".";".";".";"+";"2";"2"
"aspl ruta";"hl";"Asplenium ruta-muraria";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"."
"alch hopp";"hl";"Alchemilla alpina";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"viol bifl";"hl";"Viola biflora";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";"1";".";".";"1";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";"."
"care digi";"hl";"Carex digitata";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";"+";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"acer pseu";"hl";"Acer pseudoplatanus";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"heli pusi pusi";"hl";"Silene pusilla";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"."
"agro alpi";"hl";"Agrostis alpina agg.";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"+";"+";"1";".";".";".";".";"1";"1";"1";"2";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"scab luci luci";"hl";"Scabiosa lucida";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";"1";"+";"1";"1";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"thym prae slat";"hl";"Thymus praecox agg.";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";"+";"+";"1";".";".";".";".";".";"+";"1";".";"1";".";"+";".";".";".";".";".";".";".";".";".";".";".";"1";"1";"1";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"alli lusi";"hl";"Allium senescens ssp. montanum";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"1";"1";".";".";"1";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"hier pilo sum";"hl";"Hieracium pilosum";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"r";".";"+";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"sene abro abro";"hl";"Senecio abrotanifolius";".";".";".";".";".";"r";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"+";".";"1";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"r";".";"+";".";".";"1";".";".";".";".";".";".";".";".";"."
"leon hisp hyos";"hl";"Leontodon hispidus ssp. hyoseroides";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";"+";"+";".";"+";"+";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";"."
"buph sali";"hl";"Buphthalmum salicifolium";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";"+";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"1";".";"+";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"hier glau cum";"hl";"Hieracium glaucum";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";"+";".";"+";"+";"+";".";".";"+";".";"+";".";"+";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"aden alpi";"hl";"Adenostyles glabra";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";".";".";".";".";"+";".";"+";"+";"+";".";".";".";".";".";".";"+";"1";".";".";"r";".";".";".";".";".";".";".";".";".";".";"."
"euph cypa";"hl";"Euphorbia cyparissias";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"+";".";".";".";"+";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";"+";"+";"+";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"crep jacq slat";"hl";"Crepis jacquinii s.lat.";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"+";"+";"+";"+";"+";".";"+";"1";"1";"+";"+";"1";"1";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"hier bifi";"hl";"Hieracium bifidum";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";".";".";"+";".";".";".";".";".";"+";".";".";"+";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";"+";"+";"+";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"sile nuta nuta";"hl";"Silene nutans s.lat.";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"r";"r";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"hier muro";"hl";"Hieracium murorum/bifidum";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"care orni slat";"hl";"Carex ornithopoda";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"+";".";".";".";".";"."
"kern saxa";"hl";"Kernera saxatilis";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";"+";".";".";"."
"hipp como";"hl";"Hippocrepis comosa";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"gyps repe";"hl";"Gypsophila repens";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"1";"2";"3";"3";"1";"2";".";"2"
"fest pumi";"hl";"Festuca pumila";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"1";".";"1";"1";"+";"2";"+";".";"1"
"heli numm slat";"hl";"Helianthemum nummularium agg.";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"1";"1";"1";".";".";".";"."
"anth vuln slat";"hl";"Anthyllis vulneraria";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";"1";"+";"+";".";".";".";"."
"care semp semp";"hl";"Carex sempervirens";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";".";".";"+";".";".";"."
"thym pule pule";"hl";"Thymus pulegioides";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"+";".";"+";".";"1";".";".";".";"."
"arct alpi";"hl";"Arctostaphylos alpinus";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2";"1";".";"2"
"bart alpi";"hl";"Bartsia alpina";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";"1";"1"
"hedy hedy hedy";"hl";"Hedysarum hedysaroides";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"3";"2";"1"
"crep jacq kern";"hl";"Crepis jacquinii ssp. kerneri";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";".";".";".";".";"+";"+"
"oxyt mont";"hl";"Oxytropis montana";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";".";".";".";".";"2";".";"."
"saxi pani";"hl";"Saxifraga paniculata";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";"1";".";"+";".";"."
"sile acau long";"hl";"Silene acaulis";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";".";"1";"2"
"poa alpi";"hl";"Poa alpina";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2";".";".";".";".";".";"+";".";".";"."
"fest rubr";"hl";"Festuca rubra";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";".";".";".";"r";".";".";"."
"acon nape slat";"hl";"Aconitum napellus";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"arab bell";"hl";"Arabis bellidifolia";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"."
"luzu glab";"hl";"Luzula glabrata";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"2";".";".";"."
"aspl tric slat";"hl";"Asplenium trichomanes";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"."
"aspl viri";"hl";"Asplenium viride";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";"."
"care capi";"hl";"Carex capillaris";".";"r";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"care ferr";"hl";"Carex ferruginea";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
