"abbr";"layer";"taxon";"204";"205";"206";"207";"208";"209";"210";"211";"212";"215";"213";"214";"216";"125";"126";"129";"130";"132";"133";"134";"127";"128";"131";"135";"136";"137";"1";"2";"3";"4";"5";"6";"7";"8";"14";"16";"19";"17";"52";"59";"61";"115";"116";"118";"119";"121";"123";"124";"53";"54";"55";"56";"57";"58";"138";"141";"143";"144";"145";"146";"147";"148";"149";"150";"151";"152";"153";"154";"155";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"187";"186";"194";"195";"196";"188";"189";"190";"191";"192";"193"
"sali appe plus wald";"hl";"Salix appendiculata/waldsteiniana";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";"+";"+";"+";".";"+";".";"+";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"+";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"frax exce";"sl";"Fraxinus excelsior";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"sali spec ies";"hl";"Salix sp.";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"1";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"sali spec ies";"sl";"Salix sp.";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"r";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";".";".";".";"."
"care firm";"hl";"Carex firma";"4";"4";"2";"4";"3";"4";"4";"4";"3";"r";"4";"3";"+";"1";"1";"1";"1";"1";"1";"1";"2";"2";"1";"1";"2";"2";"3";"1";"5";"3";"+";"2";"3";"2";"3";"2";"1";"2";"2";"4";"1";"1";"2";"1";"1";"1";"2";"2";"2";"+";"2";"2";"5";"4";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"1";"1";"1";"+";"+";"1";"2";"2";"3";"3";"2";"+";"3";"2";"3";"5";"2";"1";"4";"1";"2";"+";"4";"2";"4";"4"
"vale saxa";"hl";"Valeriana saxatilis";".";".";"+";"+";"r";".";"+";"+";"+";"+";".";".";"+";"1";".";"+";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"3";"1";"+";".";"1";"1";"1";"1";"1";"1";"1";"1";"1";"+";"1";"+";".";"1";"1";"1";"1";"1";"1";".";"1";"1";"1";"1";"1";"1";"1";"+";"+";"1";"1";"1";"1";"1";"1";"+";"+";"+";"1";"1";"+";"1";"2";"1";"1";"+";"+";"2";"+";".";".";".";".";".";".";".";"1";"."
"tofi caly";"hl";"Tofieldia calyculata";"+";"1";"r";".";"+";"+";".";"+";"1";"r";".";"1";".";".";".";".";"+";"+";"+";"+";"+";"+";"+";"+";"+";"1";"1";"2";"1";"+";"+";".";"1";"1";"1";"1";"1";"+";".";".";".";".";".";".";".";".";"+";"+";"+";"+";"+";"+";"1";"1";".";".";".";".";".";".";"+";".";".";".";".";".";"1";".";".";"+";"1";"+";".";"+";"+";".";"+";"+";"+";".";".";".";".";".";".";".";"+";"+";".";"1"
"eric carn";"hl";"Erica carnea";".";".";".";".";".";".";".";"+";"2";"3";"+";"+";".";".";".";"+";"+";"+";"+";"+";".";".";"+";"1";"1";"1";"1";"1";"+";"+";"1";"+";"1";"+";"1";"1";"2";"1";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"1";".";"+";"+";".";".";".";"+";"+";"+";"+";".";"+";"+";"+";"1";"+";"+";"1";"+";"+";"+";"+";"+";".";".";".";".";".";".";".";"+";".";".";"."
"gent clus clus";"hl";"Gentiana clusii";"r";"+";"r";".";".";".";".";"+";"r";".";"+";".";".";".";".";".";"+";".";".";"+";".";".";"+";"+";"+";".";"r";".";"r";".";".";".";".";".";".";".";".";".";"+";"1";"1";".";"+";".";"+";".";"+";"+";".";".";"+";"+";"1";"+";".";".";".";"+";"+";"+";".";".";"+";"+";"+";"+";".";".";".";".";".";".";".";".";".";".";".";"+";"+";"+";".";"+";"+";"+";".";".";".";".";".";"."
"bell mich";"hl";"Aster bellidiastrum";"+";"+";".";"+";"+";".";"r";".";".";".";"+";".";"r";"+";"+";"+";".";"+";"+";"+";".";".";"+";"+";"+";"+";".";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";"+";"+";".";".";"1";".";"+";".";".";".";".";".";".";".";".";".";".";".";".";"+";".";".";".";".";".";"+";".";".";".";".";".";".";".";".";"1";".";".";"+";".";"+";".";"1";".";".";".";".";".";"+";"1"
