"taxon";"matched.taxon"
"Acer pseudoplatanus";"Acer pseudoplatanus"
"Pinus sylvestris";"Pinus sylvestris"
"Salix glabra";"Salix glabra"
"Picea abies";"Picea abies"
"Salix appendiculata";"Salix appendiculata s.str."
"Sesleria albicans";"Sesleria caerulea s.str."
"Carex mucronata";"Carex mucronata"
"Campanula cochleariifolia";"Campanula cochleariifolia"
"Polygala chamaebuxus";"Polygala chamaebuxus"
"Euphrasia salisburgensis";"Euphrasia salisburgensis s.str."
"Hieracium bifidum";"Hieracium bifidum"
"Euphorbia cyparissias";"Euphorbia cyparissias"
"Potentilla caulescens";"Potentilla caulescens ssp. caulescens"
"Laserpitium siler";"Laserpitium siler ssp. siler"
"Molinia arundinacea";"Molinia arundinacea"
"Rhinanthus glacialis";"Rhinanthus glacialis"
"Primula auricula";"Primula auricula ssp. auricula"
"Leontodon incanus";"Leontodon incanus"
"Erica carnea";"Erica carnea"
"Dryas octopetala";"Dryas octopetala"
"Globularia cordifolia";"Globularia cordifolia s.str."
"Thymus praecox agg.";"Thymus praecox s.lat."
"Teucrium montanum";"Teucrium montanum"
"Anthericum ramosum";"Anthericum ramosum"
"Vincetoxicum hirundinaria";"Vincetoxicum hirundinaria"
"Buphthalmum salicifolium";"Buphthalmum salicifolium"
"Carduus defloratus agg.";"Carduus defloratus ssp. viridis"
"Acinos alpinus";"Clinopodium alpinum ssp. alpinum"
"Carex humilis";"Carex humilis"
"Leontodon hispidus";"Leontodon hispidus s.lat."
"Linum catharticum";"Linum catharticum"
"Valeriana saxatilis";"Valeriana saxatilis"
"Potentilla erecta";"Potentilla erecta"
"Gypsophila repens";"Gypsophila repens"
"Coronilla vaginalis";"Coronilla vaginalis"
"Polygonatum odoratum";"Polygonatum odoratum"
"Peucedanum oreoselinum";"Peucedanum oreoselinum"
"Laserpitium latifolium";"Laserpitium latifolium ssp. latifolium"
"Carex caryophyllea";"Carex caryophyllea"
"Melica nutans";"Melica nutans s.str."
"Cotoneaster tomentosus";"Cotoneaster tomentosus"
