"plot";"abbr";"layer";"taxon";"abundance"
194;"andr lact";"hl";"Androsace lactea";"+"
59;"arab alpi alpi";"hl";"Arabis alpina";"r"
19;"betu pend";"sl";"Betula pendula";"+"
186;"arab aren";"hl";"Cardaminopsis arenosa";"+"
192;"care brac";"hl";"Carex brachystachys";"+"
138;"care humi";"hl";"Carex humilis";"+"
205;"cera font";"hl";"Cerastium fontanum";"r"
186;"clem vita";"hl";"Clematis vitalba";"+"
116;"cyst frag";"hl";"Cystopteris fragilis";"+"
189;"drab aizo aizo";"hl";"Draba aizoides";"+"
214;"epip atro";"hl";"Epipactis atrorubens";"r"
189;"erig glab glab";"hl";"Erigeron glabratus";"+"
212;"euph offi pict";"hl";"Euphrasia picta";"+"
189;"frag vesc";"hl";"Fragaria vesca";"+"
215;"gymn cono cono";"hl";"Gymnadenia conopsea";"r"
208;"hera aust aust";"hl";"Heracleum austriacum";"r"
40;"hier pilo ella";"hl";"Hieracium pilosella";"+"
2;"hier spec ies";"hl";"Hieracium species";"+"
214;"junc mona";"hl";"Juncus monanthos";"r"
216;"leuc atra";"hl";"Leucanthemum atratum";"+"
190;"myos alpe";"hl";"Myosotis alpestris";"+"
187;"ping vulg";"hl";"Pinguicula vulgaris ";1
19;"pleu schr";"hl";"Pleurozium schreberi";1
186;"pote cran";"hl";"Potentilla crantzii";1
207;"horn alpi alpi";"hl";"Pritzelago alpina";"+"
196;"ranu bulb";"hl";"Ranunculus bulbosus";"+"
52;"ranu lanu";"hl";"Ranunculus lanuginosus";"+"
59;"ranu mont";"hl";"Ranunculus montanus";1
186;"rubu frut aggr";"hl";"Rubus fruticosus agg.";"+"
19;"rhyn mura";"hl";"Rhychnostegium murale";"+"
40;"thym prae prae";"hl";"Thymus praecox ssp. praecox";1
210;"vero frut cans";"hl";"Veronica fruticans";"r"
