plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,latitude,longitude,accuracy,alliance,association,soil,comment,location,observer
is01,,,,,,,,,,,,,,,,,,,2016-04-04,47.231712N,9.602757E,10,Tilenion platyphylli,,,,Illschlucht,R. Kaiser
is02,,,,,,,,,,,,,,,,,,,2016-04-04,47.232460N,9.601447E,10,Quercion pubescentis-petraeae,,,,Illschlucht,R. Kaiser
is03,,,,,,,,,,,,,,,,,,,2016-04-04,47.233231N,9.600945E,10,Cephalanthero Fagenion,,,,Illschlucht,R. Kaiser
