plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,latitude,longitude,accuracy,alliance,association,soil,comment,location,observer
rex01,,,,,,,,,,,,,,,,,,,2017-03-28,47.91863,14.38643,20,Cephalanthero-Fagenion,,,"planned, easy",Reitnerkogel,R. Kaiser
rex02,,,,,,,,,,,,,,,,,,,2017-03-28,47.91876,14.38706,20,Tilenion platyphylli,,,"planned, easy",Reitnerkogel,R. Kaiser
rex03,,,,,,,,,,,,,,,,,,,2017-03-28,47.91885,14.38762,20,Tilenion platyphylli,,,"planned, short rope",Reitnerkogel,R. Kaiser
rex04,,,,,,,,,,,,,,,,,,,2017-03-28,47.91898,14.38768,20,Cephalanthero-Fagenion,,,"planned, easy",Reitnerkogel,R. Kaiser
rex05,,,,,,,,,,,,,,,,,,,2017-03-28,47.91906,14.38853,20,Tilenion platyphylli,,,"planned, short rope",Reitnerkogel,R. Kaiser
rex06,,,,,,,,,,,,,,,,,,,2017-03-28,47.91919,14.38929,20,Tilenion platyphylli,,,"planned, short rope",Reitnerkogel,R. Kaiser
rex07,,,,,,,,,,,,,,,,,,,2017-03-28,47.91909,14.38967,20,Tilenion platyphylli,,,"planned, moderate climbing from rex06",Reitnerkogel,R. Kaiser
rex08,,,,,,,,,,,,,,,,,,,2017-03-28,47.91907,14.39188,20,Tilenion platyphylli,,,"planned, easy",Reitnerkogel,R. Kaiser
rex09,,,,,,,,,,,,,,,,,,,2017-03-28,47.91894,14.39263,20,Tilenion platyphylli,,,"planned, easy",Reitnerkogel,R. Kaiser
rex10,,,,,,,,,,,,,,,,,,,2017-03-28,47.91869,14.39273,20,Tilenion platyphylli,,,"planned, easy",Reitnerkogel,R. Kaiser
