plot;abbr;layer;cov;comment;history
kn01;call vulg;hl;+;Calluna vulgaris;
kn01;care echi;hl;+;Carex echinata;
kn01;care nigr;hl;1;Carex nigra;
kn01;care pauc;hl;3;Carex pauciflora;
kn01;care pilu pilu;hl;+;Carex pilulifera;
kn01;dros rotu;hl;2m;Drosera rotundifolia;
kn01;erio angu;hl;+;Eriophorum angustifolium;
kn01;erio vagi;hl;2a;Eriophorum vaginatum;
kn01;gymn infl infl;ml;1;Gymnocolea inflata;
kn01;homo alpi;hl;+;Homogyne alpina;
kn01;junc fili;hl;+;Juncus filiformis;
kn01;lyco inun;hl;2m;Lycopodiella inundata;
kn01;moli caer aggr;hl;+;Molinia caerulea;
kn01;nard stri;hl;+;Nardus stricta;
kn01;pice abie;hl;+;Picea abies;
kn01;poly stri;ml;1;Polytrichum strictum;
kn01;pote erec;hl;+;Potentilla erecta;
kn01;spha cusp;ml;5;Sphagnum cuspidatum;
kn01;spha mage;ml;2a;Sphagnum magellanicum;
kn01;spha tene;ml;2a;Sphagnum tenellum;
kn01;vacc myrt;hl;+;Vaccinium myrtillus;
kn01;vacc ulig;hl;+;Vaccinium uliginosum;
kn01;vacc viti;hl;1;Vaccinium vitis-idaea;
kn01;warn flui;ml;1;Warnstorfia fluitans;
kn02;care echi;hl;+;Carex echinata;
kn02;care nigr;hl;2a;Carex nigra;
kn02;care pauc;hl;2a;Carex pauciflora;
kn02;erio angu;hl;+;Eriophorum angustifolium;
kn02;junc fili;hl;+;Juncus filiformis;
kn02;mela prat;hl;+;Melampyrum pratense;
kn02;nard stri;hl;3;Nardus stricta;
kn02;pice abie;hl;+;Picea abies;
kn02;poly comm;ml;2a;Polytrichum commune;
kn02;pote erec;hl;2a;Potentilla erecta;
kn02;spha angu;ml;4;Sphagnum angustifolium;
kn02;spha mage;ml;1;Sphagnum magellanicum;
kn02;spha russ;ml;2a;Sphagnum russowii;
kn02;vacc myrt;hl;+;Vaccinium myrtillus;
kn02;vacc ulig;hl;+;Vaccinium uliginosum;
kn02;vacc viti;hl;+;Vaccinium vitis-idaea;
kn02;viol palu;hl;+;Viola palustris;
kn03;aven flex flex;hl;2m;Avenella flexuosa;
kn03;blec spic;hl;+;Blechnum spicant;
kn03;homo alpi;hl;+;Homogyne alpina;
kn03;mela prat;hl;+;Melampyrum pratense;
kn03;plag cium undu;ml;1;Plagiothecium undulatum;
kn03;rhod ferr;hl;4;Rhododendron ferrugineum;
kn03;rhyt lore;ml;1;Rhytidiadelphus loreus;
kn03;spha girg;ml;4;Sphagnum girgensohnii;
kn03;spha quin;ml;2a;Sphagnum quinquefarium;
kn03;vacc gaul;hl;2b;Vaccinium gaultheroides;
kn03;vacc viti;hl;3;Vaccinium vitis idaea;
