BEGIN HEAD

Releve number                                                        1
                                 1   2   3   4   5   6   7   8   9   0

END HEAD

BEGIN TABLE
kobr myos                        3   3   4   1   b   4   a   a   b   b
enca cili                        .   .   +   +   +   .   .   .   .   .
plag pore                        .   .   .   +   +   +   .   .   .   .
cetr muri                        .   .   .   .   +   +   +   .   .   .
camp stel                        +   +   .   .   .   .   .   .   .   .
leca epib epib                   +   .   .   .   .   .   +   .   .   .
solo spec ies                    +   .   .   .   .   .   .   .   +   .
toni spec ies                    +   .   .   .   .   .   .   .   1   .
clad cocc                        .   .   +   .   .   +   .   .   .   .
calo spec ies                    .   .   .   +   .   .   .   +   .   .
clad furc furc                   .   .   .   +   .   +   .   .   .   .
anap bryo                        .   .   .   .   +   +   .   .   .   .
hypo phys                        .   .   .   .   +   1   .   .   .   .
poly alpi                        .   .   .   .   +   1   .   .   .   .
pseu furf slat                   .   .   .   .   1   .   +   .   .   .
grim funa                        .   .   .   .   +   .   .   1   .   .
hypn cupr                        .   .   .   .   +   .   .   .   +   .
anap spec ies                    .   .   .   .   .   .   a   +   .   .
lept spec ies                    .   .   .   .   .   .   +   +   .   .
mega verr                        .   .   .   .   .   .   +   .   .   +
schi apoc                        .   .   .   .   .   .   .   +   .   +
steg lati slat                   .   .   .   .   .   .   1   1   .   .
cten moll slat                   +   .   .   .   .   .   .   .   .   .
didy giga                        +   .   .   .   .   .   .   .   .   .
hypo spec ies                    +   .   .   .   .   .   .   .   .   .
romu luri                        +   .   .   .   .   .   .   .   .   .
enca stre                        +   .   .   .   .   .   .   .   .   .
raco cane slat                   +   .   .   .   .   .   .   .   .   .
thel mela                        +   .   .   .   .   .   .   .   .   .
hypn spec ies                    .   +   .   .   .   .   .   .   .   .
leci demi                        .   .   +   .   .   .   .   .   .   .
calo stil                        .   .   .   +   .   .   .   .   .   .
pelt rufe                        .   .   .   +   .   .   .   .   .   .
prot terr                        .   .   .   +   .   .   .   .   .   .
pert glom                        .   .   .   .   +   .   .   .   .   .
bryo bico                        .   .   .   .   .   1   .   .   .   .
poly pili                        .   .   .   .   .   1   .   .   .   .
bryo spec ies                    .   .   .   .   .   +   .   .   .   .
clad bell                        .   .   .   .   .   +   .   .   .   .
parm omph slat                   .   .   .   .   .   +   .   .   .   .
spha frag                        .   .   .   .   .   +   .   .   .   .
toni opun                        .   .   .   .   .   .   1   .   .   .
calo xant                        .   .   .   .   .   .   +   .   .   .
derm mini slat                   .   .   .   .   .   .   +   .   .   .
dipl gyps                        .   .   .   .   .   .   +   .   .   .
enca rhat                        .   .   .   .   .   .   +   .   .   .
mars spec ies                    .   .   .   .   .   .   +   .   .   .
schi atro                        .   .   .   .   .   .   +   .   .   .
umbi cyli slat                   .   .   .   .   .   .   +   .   .   .
xant sore                        .   .   .   .   .   .   +   .   .   .

anoe spec ies                    .   .   .   .   .   .   .   +   .   .
