Relevee number                                                       1
                                 1   2   3   4   5   6   7   8   9   0

Ctenidium procerrimum            +   +   .   1   .   .   .   .   .   +
Fulgensia bracteata              +   .   .   .   .   .   .   +   +   +
Hypnum vaucheri                  1   .   .   .   .   .   1   .   +   +
Caloplaca ammiospila             +   .   .   .   1   +   +   .   .   .
Rhytidium rugosum                1   1   .   +   .   .   .   .   .   .
Entodon concinnus                1   +   .   +   .   .   .   .   .   .
Hypnum revolutum                 +   .   .   +   .   +   .   .   .   .
Mnium thomsonii                  +   .   .   +   .   .   .   .   +   .
Distichium inclinatum            +   .   .   .   .   +   +   .   .   .
Phaeorrhiza nimbosa              +   .   .   .   .   .   +   .   +   .

Grimmia sp.                      .   .   .   .   +   .   .   .   +   +
Squamarina gypsacea              .   .   .   .   .   .   1   .   b   +
Encalypta ciliata                .   .   +   +   +   .   .   .   .   .
Plagiochila porelloides          .   .   .   +   +   +   .   .   .   .
Cetraria aculeata et muricata    .   .   .   .   +   +   +   .   .   .
Campylium stelatum               +   +   .   .   .   .   .   .   .   .
Lecanora epibryon                +   .   .   .   .   .   +   .   .   .
Solorina sp.                     +   .   .   .   .   .   .   .   +   .
Toninia sp.                      +   .   .   .   .   .   .   .   1   .
Cladonia coccifera               .   .   +   .   .   +   .   .   .   .
Caloplaca sp.                    .   .   .   +   .   .   .   +   .   .
Cladonia furcata                 .   .   .   +   .   +   .   .   .   .
Anaptychia bryorum               .   .   .   .   +   +   .   .   .   .
Hypogymnia physodes              .   .   .   .   +   1   .   .   .   .
Polytrichum alpinum              .   .   .   .   +   1   .   .   .   .
Pseudevernia furfuracea          .   .   .   .   1   .   +   .   .   .
Grimmia funalis                  .   .   .   .   +   .   .   1   .   .
Hypnum cupressiforme             .   .   .   .   +   .   .   .   +   .
Anaptychia sp.                   .   .   .   .   .   .   a   +   .   .
Leptogium sp.                    .   .   .   .   .   .   +   +   .   .
Megaspora verrucosa              .   .   .   .   .   .   +   .   .   +
Schistidium apocarpum            .   .   .   .   .   .   .   +   .   +
Stegonia latifolia               .   .   .   .   .   .   1   1   .   .
Ctenidium molluscum              +   .   .   .   .   .   .   .   .   .
Didymodon giganteus              +   .   .   .   .   .   .   .   .   .
Hypogymnia sp.                   +   .   .   .   .   .   .   .   .   .
Lecidea lurida                   +   .   .   .   .   .   .   .   .   .
Encalypta streptocarpa           +   .   .   .   .   .   .   .   .   .
Racomitrium canescens            +   .   .   .   .   .   .   .   .   .
Thelopsis melathelia             +   .   .   .   .   .   .   .   .   .
Hypnum sp.                       .   +   .   .   .   .   .   .   .   .
Lecidoma demissum                .   .   +   .   .   .   .   .   .   .
Caloplaca chloroleuca           .   .   .   +   .   .   .   .   .   .
Peltigera rufescens              .   .   .   +   .   .   .   .   .   .
Protoblastenia terricola         .   .   .   +   .   .   .   .   .   .
Pertusaria glomerata             .   .   .   .   +   .   .   .   .   .
Bryoria bicolor                  .   .   .   .   .   1   .   .   .   .
Polytrichum piliferum            .   .   .   .   .   1   .   .   .   .
Bryoria sp.                      .   .   .   .   .   +   .   .   .   .
Cladonia bellidiflora            .   .   .   .   .   +   .   .   .   .
Parmelia omphalodes              .   .   .   .   .   +   .   .   .   .
Sphaerophorus fragilis           .   .   .   .   .   +   .   .   .   .
Toninia opuntioides              .   .   .   .   .   .   1   .   .   .
Caloplaca epiphyta               .   .   .   .   .   .   +   .   .   .
Dermatocarpon miniatum           .   .   .   .   .   .   +   .   .   .
Diploschistes gypsaceus          .   .   .   .   .   .   +   .   .   .
Encalypta rhaptocarpa            .   .   .   .   .   .   +   .   .   .
Marsupella sp.                   .   .   .   .   .   .   +   .   .   .
Schistidium atrofuscum           .   .   .   .   .   .   +   .   .   .
Umbilicaria cylindrica           .   .   .   .   .   .   +   .   .   .
Xanthoria sorediata              .   .   .   .   .   .   +   .   .   .

Anoectangium sp.                 .   .   .   .   .   .   .   +   .   .
Physcia caesia                   .   .   .   .   .   .   .   +   .   .
Plagiobryum demissum             .   .   .   .   .   .   .   +   .   .
Pseudoleskeella catenulata       .   .   .   .   .   .   .   +   .   .
Myurella tenerrima               .   .   .   .   .   .   .   +   .   .
Collema sp.                      .   .   .   .   .   .   .   .   +   .
Dermatocarpon sp.                .   .   .   .   .   .   .   .   +   .
Cladonia pocillum                .   .   .   .   .   .   .   .   .   1
Toninia sedifolia                .   .   .   .   .   .   .   .   .   +
Xanthoria elegans                .   .   .   .   .   .   .   .   .   +
