plot,abbr,layer,cov,voucher,comment,history
sd01,acer plat,hl,r,,,
sd01,athy fili,hl,+,,,
sd01,aven flex flex,hl,1,,,
sd01,cala vari,hl,+,,,
sd01,camp pers,hl,r,,,
sd01,camp rotu,hl,+,,,
sd01,crat mono,hl,r,,,
sd01,dryo fili,hl,1,,,
sd01,euph cypa,hl,+,,,
sd01,fagu sylv,hl,r,,,
sd01,fest hete ylla,hl,r,2015-0081,,
sd01,gali rotu,hl,+,,,
sd01,gymn dryo,hl,+,,,
sd01,hier muro,hl,+,,,
sd01,lact mura,hl,+,,,
sd01,lath lini,hl,+,2015-0085,,
sd01,luzu luzu ides,hl,1,,,
sd01,luzu pilo,hl,+,2015-0084,,
sd01,maia bifo,hl,2a,,,
sd01,mela prat,hl,2b,,,
sd01,meli nuta,hl,+,,,
sd01,oxal acet,hl,2a,,,
sd01,poly cham,hl,+,,,
sd01,popu trem,hl,r,,,
sd01,pter aqui,hl,+,,,
sd01,quer robu,hl,+,,,
sd01,rubu idae,hl,+,,,
sd01,sene ovat ovat,hl,+,,,
sd01,soli virg virg,hl,+,,,
sd01,urti dioi dioi,hl,+,,,
sd01,vacc myrt,hl,+,,,
sd01,vibu opul,hl,r,,,
sd01,viol reic,hl,+,2015-0083,,
sd01,eurh stri,ml,1,,,
sd01,hylo sple,ml,+,,,
sd01,plag aspl,ml,+,,,
sd01,pleu schr,ml,+,,,
sd01,poly form,ml,1,,,
sd01,rhyt triq,ml,1,,,
sd01,cory avel,sl,+,,,
sd01,pice abie,sl,+,,,
sd01,sorb aucu aucu,sl,+,,,
sd01,pice abie,tl1,5,,,
sd01,pinu sylv,tl1,1,,,
sd01,pice abie,tl2,1,,,
sd01,pinu sylv,tl2,1,,,
sd01,quer robu,tl2,1,,,
sd02,arte vulg,hl,r,,,
sd02,aven flex flex,hl,+,,,
sd02,betu pend,hl,+,,,
sd02,brac sylv,hl,+,,,
sd02,cala epig,hl,+,,,
sd02,camp rotu,hl,+,,,
sd02,care digi,hl,+,,,
sd02,erig annu annu,hl,+,,,
sd02,frag vesc,hl,+,,,
sd02,frax exce,hl,r,,,
sd02,gali albu,hl,+,,,
sd02,hier muro,hl,+,,,
sd02,lath prat prat,hl,+,,,
sd02,leon hisp hisp,hl,+,,,
sd02,lupi poly,hl,+,,,
sd02,medi lupu,hl,+,,,
sd02,meli albu,hl,+,,,
sd02,meli nuta,hl,+,,,
sd02,pice abie,hl,+,,,
sd02,popu trem,hl,+,,,
sd02,prun vulg,hl,+,,,
sd02,quer robu,hl,r,,,
sd02,soli cana,hl,r,,,
sd02,tili plat,hl,r,,,
sd02,trif prat prat,hl,+,,,
sd02,trif repe repe,hl,+,,,
sd02,clad spec ies,ml,r,,,
sd02,pelt apht,ml,r,,,
sd02,pleu schr,ml,5,,,
sd02,pice abie,sl,1,,,
sd02,pinu sylv,sl,2b,,,
sd02,sali purp,sl,1,,,
sd02,betu pend,tl2,1,,,
sd02,pinu sylv,tl2,4,,,
sd03,acer pseu,hl,r,,,
sd03,acta spic,hl,r,,,
sd03,ange sylv sylv,hl,+,,,
sd03,athy fili,hl,+,,,
sd03,aven flex flex,hl,1,,,
sd03,cala vill,hl,+,,,
sd03,camp pers,hl,r,,,
sd03,care digi,hl,+,,,
sd03,cruc glab,hl,r,,,
sd03,dryo cart,hl,+,,,
sd03,dryo fili,hl,1,,,
sd03,fagu sylv,hl,r,,,
sd03,frag vesc,hl,+,,,
sd03,gale psis spec ies,hl,r,,,
sd03,gali rotu,hl,1,,,
sd03,gymn dryo,hl,1,,,
sd03,hier muro,hl,+,,,
sd03,jugl regi,hl,r,,,
sd03,lact mura,hl,+,,,
sd03,luzu luzu ides,hl,2a,,,
sd03,maia bifo,hl,1,,,
sd03,mela prat,hl,2a,,,
sd03,oxal acet,hl,2a,,,
sd03,peta albu,hl,+,,,
sd03,pice abie,hl,+,,,
sd03,pter aqui,hl,2b,,,
sd03,quer robu,hl,+,,,
sd03,rubu sect rubu,hl,1,,,
sd03,scro nodo,hl,r,,,
sd03,sene ovat ovat,hl,+,,,
sd03,soli virg virg,hl,+,,,
sd03,sorb aucu aucu,hl,+,,,
sd03,vacc myrt,hl,1,,,
sd03,viol reic,hl,+,,,
sd03,hylo sple,ml,2a,,,
sd03,pleu schr,ml,+,,,
sd03,poly form,ml,+,,,
sd03,rhyt triq,ml,+,,,
sd03,fagu sylv,sl,r,,,
sd03,pice abie,sl,1,,,
sd03,pice abie,tl1,4,,,
sd03,pinu sylv,tl1,2a,,,
sd03,pice abie,tl2,2a,,,
sd04,athy fili,hl,+,,,
sd04,aven flex flex,hl,+,,,
sd04,dryo cart,hl,+,,,
sd04,gymn dryo,hl,+,,,
sd04,hier muro,hl,+,,,
sd04,luzu luzu ides,hl,+,,,
sd04,luzu pilo,hl,+,,,
sd04,maia bifo,hl,+,,,
sd04,mela prat,hl,+,,,
sd04,oxal acet,hl,+,,,
sd04,pter aqui,hl,+,,,
sd04,quer robu,hl,r,,,
sd04,vacc myrt,hl,+,,,
sd04,clad spec ies,ml,r,,,
sd04,eurh stri,ml,1,,,
sd04,hylo sple,ml,5,,,
sd04,hypn cupr,ml,+,,,
sd04,pleu schr,ml,+,,,
sd04,poly form,ml,+,,,
sd04,rhyt triq,ml,+,,,
sd04,pice abie,tl1,5,,,
sd05,aven flex flex,hl,2a,,,
sd05,care pilu pilu,hl,+,,,
sd05,fagu sylv,hl,r,,,
sd05,hier muro,hl,+,,,
sd05,luzu luzu ides,hl,1,,,
sd05,luzu pilo,hl,+,,,
sd05,lyco clav clav,hl,1,,,
sd05,maia bifo,hl,+,,,
sd05,mela prat,hl,1,,,
sd05,pice abie,hl,+,,,
sd05,pter aqui,hl,2a,,,
sd05,quer robu,hl,r,,,
sd05,sorb aucu aucu,hl,r,,,
sd05,vacc myrt,hl,2b,,,
sd05,fiss adia,ml,+,,,
sd05,hylo sple,ml,3,,,
sd05,leuc glau,ml,+,,,
sd05,pleu schr,ml,3,,,
sd05,poly form,ml,+,,,
sd05,rhyt triq,ml,1,,,
sd05,spha girg,ml,+,,,
sd05,pice abie,sl,+,,,
sd05,pice abie,tl1,4,,,
sd05,pinu sylv,tl1,1,,,
sd05,pice abie,tl2,2b,,,
sd06,ange sylv sylv,hl,+,,,
sd06,athy fili,hl,+,,,
sd06,care digi,hl,+,,,
sd06,dryo cart,hl,+,,,
sd06,frax exce,hl,r,,,
sd06,impa glan,hl,+,,,
sd06,lact mura,hl,+,,,
sd06,luzu pilo,hl,+,,,
sd06,maia bifo,hl,+,,,
sd06,oxal acet,hl,+,,,
sd06,pimp majo majo,hl,+,,,
sd06,pter aqui,hl,2a,,,
sd06,rubu sect rubu,hl,+,,,
sd06,soli virg virg,hl,+,,,
sd06,sorb aucu aucu,hl,+,,,
sd06,vacc myrt,hl,+,,,
sd06,eurh stri,ml,1,,,
sd06,hylo sple,ml,3,,,
sd06,plag aspl,ml,2b,,,
sd06,poly form,ml,1,,,
sd06,pice abie,sl,1,,,
sd06,pice abie,tl1,5,,,
sd06,pice abie,tl2,2a,,,
sd06,pinu sylv,tl2,2a,,,
sd06,quer robu,tl2,1,,,
sd07,ajug rept,hl,+,,,
sd07,athy fili,hl,1,,,
sd07,brac sylv,hl,+,,,
sd07,camp pers,hl,+,,,
sd07,care digi,hl,+,,,
sd07,care pilu pilu,hl,+,,,
sd07,cirs arve,hl,+,,,
sd07,cirs oler,hl,+,,,
sd07,cory avel,hl,+,,,
sd07,cruc glab,hl,1,,,
sd07,fest giga,hl,1,,,
sd07,frag vesc,hl,+,,,
sd07,gale pube pube,hl,1,,,
sd07,gale tetr,hl,1,,,
sd07,gymn dryo,hl,+,,,
sd07,hier muro,hl,+,,,
sd07,hype perf,hl,1,,,
sd07,impa glan,hl,3,,,
sd07,knau drym,hl,+,,,
sd07,lact mura,hl,+,,,
sd07,luzu luzu ides,hl,2a,,,
sd07,maia bifo,hl,+,,,
sd07,myos sylv,hl,+,,,
sd07,peta albu,hl,+,,,
sd07,pice abie,hl,+,,,
sd07,pimp majo majo,hl,+,,,
sd07,rubu idae,hl,1,,,
sd07,rubu sect rubu,hl,1,,,
sd07,samb nigr,hl,+,,,
sd07,sene ovat ovat,hl,1,,,
sd07,soli virg virg,hl,1,,,
sd07,sorb aucu aucu,hl,+,,,
sd07,vacc myrt,hl,1,,,
sd07,vero offi,hl,+,,,
sd07,vici sylv,hl,+,,,
sd07,viol reic,hl,+,,,
sd07,pice abie,sl,+,,,
sd07,samb nigr,sl,2a,,,
sd07,samb race,sl,r,,,
sd08,abie alba,hl,1,,,
sd08,aqui atra,hl,+,,,
sd08,athy fili,hl,+,,,
sd08,atro bell,hl,+,,,
sd08,camp patu patu,hl,+,,,
sd08,camp pers,hl,1,,,
sd08,care digi,hl,1,,,
sd08,carp betu,hl,+,,,
sd08,cirs arve,hl,+,,,
sd08,coni macu,hl,+,,,
sd08,cory avel,hl,+,,,
sd08,crep bien,hl,+,,,
sd08,cruc glab,hl,+,,,
sd08,digi gran,hl,r,,,
sd08,dryo fili,hl,1,,,
sd08,epil mont,hl,+,,,
sd08,erig annu annu,hl,1,,,
sd08,euph cypa,hl,+,,,
sd08,fest giga,hl,+,,,
sd08,fest hete ylla,hl,r,,,
sd08,frag vesc,hl,1,,,
sd08,gale bifi,hl,+,,,
sd08,gale mont,hl,+,,,
sd08,gale spec iosa,hl,+,,,
sd08,gali sylv,hl,1,,,
sd08,gera robe,hl,r,,,
sd08,hier muro,hl,+,,,
sd08,hype hirs,hl,+,,,
sd08,hype perf,hl,1,,,
sd08,knau drym,hl,+,,,
sd08,lact mura,hl,+,,,
sd08,lami albu,hl,+,,,
sd08,lath prat prat,hl,+,,,
sd08,lina vulg,hl,+,,,
sd08,lotu corn,hl,+,,,
sd08,lupi poly,hl,1,,,
sd08,luzu luzu ides,hl,1,,,
sd08,medi lupu,hl,+,,,
sd08,meli nuta,hl,+,,,
sd08,merc pere,hl,+,,,
sd08,oxal acet,hl,+,,,
sd08,poa nemo,hl,+,,,
sd08,quer robu,hl,+,,,
sd08,rubu idae,hl,3,,,
sd08,rubu sect rubu,hl,1,,,
sd08,scro nodo,hl,+,,,
sd08,sile lati alba,hl,+,,,
sd08,sola dulc,hl,+,,,
sd08,soli giga,hl,+,,,
sd08,soli virg virg,hl,+,,,
sd08,sorb aucu aucu,hl,+,,,
sd08,tana vulg,hl,+,,,
sd08,tara sect rude,hl,+,,,
sd08,trif aure,hl,+,,,
sd08,vero cham cham,hl,+,,,
sd08,vici sepi,hl,+,,,
sd08,vici sylv,hl,1,,,
sd08,viol rivi,hl,+,,,
sd08,berb vulg,sl,+,,,
sd08,cory avel,sl,1,,,
sd08,loni xylo,sl,+,,,
sd08,sorb aucu aucu,sl,+,,,
sd09,achi mill,hl,1,,,
sd09,aego poda,hl,+,,,
sd09,agro capi,hl,2b,,,
sd09,anth odor,hl,+,,,
sd09,arrh elat,hl,2a,,,
sd09,camp patu patu,hl,+,,,
sd09,carl acau acau,hl,+,,,
sd09,cent jace jace,hl,+,,,
sd09,clin vulg vulg,hl,+,,,
sd09,dact glom glom,hl,2a,,,
sd09,euph cypa,hl,+,,,
sd09,fest prat prat,hl,1,,,
sd09,fest rubr,hl,2b,,,
sd09,geni tinc,hl,+,,,
sd09,hera spho spho,hl,+,,,
sd09,homa pube pube,hl,2a,,,
sd09,hype perf,hl,+,,,
sd09,lath prat prat,hl,+,,,
sd09,leon hisp hisp,hl,+,,,
sd09,medi lupu,hl,+,,,
sd09,mela prat,hl,1,,,
sd09,phle prat,hl,2a,,,
sd09,pimp majo majo,hl,+,,,
sd09,pimp saxi saxi,hl,+,,,
sd09,plan lanc,hl,+,,,
sd09,popu trem,hl,1,,,
sd09,ranu acri acri,hl,+,,,
sd09,rubu idae,hl,+,,,
sd09,vici crac,hl,+,,,
sd10,achi mill,hl,+,,,
sd10,ange sylv sylv,hl,+,,,
sd10,arrh elat,hl,+,,,
sd10,arte vulg,hl,r,,,
sd10,astr glyc,hl,1,,,
sd10,betu pend,hl,+,,,
sd10,brac sylv,hl,1,,,
sd10,camp pers,hl,1,,,
sd10,care digi,hl,1,,,
sd10,clem vita,hl,+,,,
sd10,clin vulg vulg,hl,+,,,
sd10,coto diva,hl,+,,,
sd10,cruc glab,hl,+,,,
sd10,dact glom glom,hl,+,,,
sd10,dryo fili,hl,+,,,
sd10,erig annu annu,hl,1,,,
sd10,euon euro,hl,+,,,
sd10,euph cypa,hl,+,,,
sd10,frag vesc,hl,1,,,
sd10,gali albu,hl,+,,,
sd10,gera robe,hl,+,,,
sd10,hier muro,hl,+,,,
sd10,hype perf,hl,1,,,
sd10,jugl regi,hl,+,,,
sd10,lact mura,hl,+,,,
sd10,lupi poly,hl,+,,,
sd10,luzu luzu ides,hl,+,,,
sd10,pice abie,hl,+,,,
sd10,pimp majo majo,hl,+,,,
sd10,pinu sylv,hl,+,,,
sd10,prun aviu aviu,hl,r,,,
sd10,prun padu padu,hl,r,,,
sd10,quer robu,hl,+,,,
sd10,rubu idae,hl,+,,,
sd10,sile nuta nuta,hl,+,,,
sd10,soli cana,hl,+,,,
sd10,soli virg virg,hl,+,,,
sd10,tili cord,hl,r,,,
sd10,trif aure,hl,+,,,
sd10,trif prat prat,hl,+,,,
sd10,vale offi slat,hl,+,,,
sd10,vibu opul,hl,+,,,
sd10,vici sepi,hl,+,,,
sd10,vici sylv,hl,+,,,
sd10,viol alba alba,hl,+,2015-0082,,
sd10,corn sang sang,sl,+,,,
sd10,loni xylo,sl,+,,,
sd10,pice abie,sl,2b,,,
sd10,sali capr,sl,+,,,
sd10,pinu sylv,tl2,2b,,,
sd10,sali capr,tl2,5,,,
sd11,aego poda,hl,+,,,
sd11,athy fili,hl,+,,,
sd11,brac sylv,hl,+,,,
sd11,camp pers,hl,+,,,
sd11,camp trac,hl,+,,,
sd11,card impa,hl,+,,,
sd11,care digi,hl,+,,,
sd11,chae aure,hl,+,,,
sd11,dryo fili,hl,1,,,
sd11,erig annu annu,hl,1,,,
sd11,gale spec iosa,hl,+,,,
sd11,gera robe,hl,+,,,
sd11,geum urba,hl,+,,,
sd11,glec hede,hl,1,,,
sd11,impa parv,hl,2b,,,
sd11,lact mura,hl,+,,,
sd11,lami macu,hl,+,,,
sd11,loni xylo,hl,+,,,
sd11,luzu luzu ides,hl,+,,,
sd11,oxal acet,hl,+,,,
sd11,phal arun,hl,+,,,
sd11,poa nemo,hl,+,,,
sd11,poa triv,hl,+,,,
sd11,popu trem,hl,+,,,
sd11,pter aqui,hl,+,,,
sd11,rubu idae,hl,1,,,
sd11,soli giga,hl,1,,,
sd11,stel medi,hl,+,,,
sd11,urti dioi dioi,hl,2b,,,
sd11,vero cham cham,hl,+,,,
sd11,viol reic,hl,+,,,
sd11,frax exce,sl,+,,,
sd11,popu trem,sl,+,,,
sd11,prun aviu aviu,sl,+,,,
sd11,sali capr,sl,1,,,
sd11,samb nigr,sl,1,,,
sd11,vibu opul,sl,+,,,
sd11,alnu glut,tl2,2a,,,
sd11,popu trem,tl2,3,,,
sd11,sali capr,tl2,3,,,
sd12,acer pseu,hl,+,,,
sd12,ajug rept,hl,+,,,
sd12,athy fili,hl,+,,,
sd12,card impa,hl,+,,,
sd12,care digi,hl,+,,,
sd12,dryo cart,hl,+,,,
sd12,dryo fili,hl,+,,,
sd12,frax exce,hl,1,,,
sd12,gale spec iosa,hl,+,,,
sd12,gale tetr,hl,+,,,
sd12,hepa nobi,hl,+,,,
sd12,hier muro,hl,+,,,
sd12,lact mura,hl,+,,,
sd12,luzu luzu ides,hl,+,,,
sd12,luzu pilo,hl,+,,,
sd12,oxal acet,hl,2a,,,
sd12,peta albu,hl,+,,,
sd12,poly vulg,hl,+,,,
sd12,rubu idae,hl,1,,,
sd12,sola dulc,hl,r,,,
sd12,sorb aucu aucu,hl,+,,,
sd12,eurh stri,ml,3,,,
sd12,rhyt triq,ml,1,,,
sd12,cory avel,sl,+,,,
sd12,pice abie,tl1,5,,,
sd13,acta spic,hl,1,,,
sd13,adox mosc,hl,r,,,
sd13,aego poda,hl,2b,,,
sd13,ajug rept,hl,+,,,
sd13,asar euro cauc,hl,2a,,,
sd13,athy fili,hl,+,,,
sd13,camp trac,hl,+,,,
sd13,card impa,hl,+,,,
sd13,care digi,hl,1,,,
sd13,care remo remo,hl,r,,,
sd13,chae hirs,hl,+,,,
sd13,chry alte,hl,+,,,
sd13,cirs oler,hl,r,,,
sd13,cory avel,hl,+,,,
sd13,crat mono,hl,r,,,
sd13,crep palu,hl,r,,,
sd13,dact macu slat,hl,r,,,
sd13,dryo affi aggr,hl,+,,,
sd13,dryo cart,hl,+,,,
sd13,dryo fili,hl,+,,,
sd13,equi arve,hl,+,,,
sd13,euon euro,hl,+,,,
sd13,eupa cann,hl,r,,,
sd13,frax exce,hl,+,,,
sd13,gale mont,hl,+,,,
sd13,gymn dryo,hl,+,,,
sd13,hepa nobi,hl,1,,,
sd13,impa noli,hl,+,,,
sd13,impa parv,hl,+,,,
sd13,lami macu,hl,+,,,
sd13,maia bifo,hl,1,,,
sd13,malu dome,hl,+,,,
sd13,merc pere,hl,+,,,
sd13,oxal acet,hl,2m,,,
sd13,pari quad,hl,+,,,
sd13,peta albu,hl,+,,,
sd13,pice abie,hl,+,,,
sd13,prun spin,hl,r,,,
sd13,ranu lanu,hl,r,,,
sd13,salv glut,hl,r,,,
sd13,scro nodo,hl,+,,,
sd13,sorb aucu aucu,hl,+,,,
sd13,tili plat,hl,+,,,
sd13,urti dioi dioi,hl,+,,,
sd13,vero urti,hl,+,,,
sd13,vibu opul,hl,+,,,
sd13,viol reic,hl,+,,,
sd13,cory avel,sl,3,,,
sd13,euon euro,sl,+,,,
sd13,frax exce,sl,+,,,
sd13,pice abie,sl,+,,,
sd13,alnu glut,tl1,2a,,,
sd13,frax exce,tl1,2b,,,
