plot;abbr;layer;cov;voucher;determined;history
sp017;acer pseu;hl;+;;;
sp017;ajug rept;hl;+;;;
sp017;anem nemo;hl;2b;;;
sp017;apos foet;hl;+;;;
sp017;arum macu;hl;+;;;
sp017;berb vulg;hl;+;;;
sp017;brac sylv;hl;+;;;
sp017;care alba;hl;2a;;;
sp017;care digi;hl;1;;;
sp017;carp betu;hl;+;;;
sp017;conv maja maja;hl;+;;;
sp017;cory avel;hl;+;;;
sp017;crat mono;hl;r;;;
sp017;cycl purp;hl;+;;;
sp017;dryo fili;hl;+;;;
sp017;euph amyg amyg;hl;+;;;
sp017;fagu sylv;hl;1;;;
sp017;frax exce;hl;3;;;
sp017;gale mont;hl;1;;;
sp017;hell nige;hl;+;;;
sp017;hepa nobi;hl;2a;;;
sp017;hype perf;hl;+;;;
sp017;lath vern;hl;+;;;
sp017;loni xylo;hl;+;;;
sp017;maia bifo;hl;+;;;
sp017;merc pere;hl;2b;;;
sp017;pice abie;hl;+;;;
sp017;poly mult;hl;+;;;
sp017;prun padu padu;hl;+;;;
sp017;quer robu;hl;+;;;
sp017;rubu sect rubu;hl;+;;;
sp017;ulmu glab;hl;+;;;
sp017;berb vulg;sl;+;;;
sp017;cory avel;sl;+;;;
sp017;loni xylo;sl;+;;;
sp017;prun padu padu;sl;+;;;
sp017;ulmu glab;sl;+;;;
sp017;fagu sylv;tl1;3;;;
sp017;frax exce;tl1;3;;;
sp017;quer robu;tl1;2b;;;
sp017;carp betu;tl2;2a;;;
sp017;fagu sylv;tl2;2b;;;
sp017;frax exce;tl2;1;;;
sp017;ulmu glab;tl2;2a;;;
sp018;ajug rept;hl;+;;;
sp018;anem nemo;hl;+;;;
sp018;care alba;hl;1;;;
sp018;care digi;hl;+;;;
sp018;conv maja maja;hl;+;;;
sp018;crat mono;hl;r;;;
sp018;cycl purp;hl;+;;;
sp018;euph amyg amyg;hl;+;;;
sp018;frax exce;hl;+;;;
sp018;gale mont;hl;+;;;
sp018;hepa nobi;hl;1;;;
sp018;hype perf;hl;+;;;
sp018;loni xylo;hl;r;;;
sp018;meli nuta;hl;+;;;
sp018;merc pere;hl;+;;;
sp018;oxal acet;hl;+;;;
sp018;poly mult;hl;+;;;
sp018;viol hirt;hl;+;;;
sp018;viol reic;hl;+;;;
sp018;pice abie;tl1;5;;;
sp018;carp betu;tl2;1;;;
sp018;fagu sylv;tl2;1;;;
sp018;quer robu;tl2;1;;;
sp019;aego poda;hl;+;;;
sp019;ajug rept;hl;+;;;
sp019;anem nemo;hl;2b;;;
sp019;apos foet;hl;1;;;
sp019;brac sylv;hl;1;;;
sp019;brom bene;hl;+;;;
sp019;care alba;hl;2b;;;
sp019;care digi;hl;1;;;
sp019;care sylv;hl;+;;;
sp019;cycl purp;hl;+;;;
sp019;euph amyg amyg;hl;+;;;
sp019;fagu sylv;hl;2a;;;
sp019;frag vesc;hl;+;;;
sp019;fran alnu;hl;1;;;
sp019;frax exce;hl;2b;;;
sp019;gale mont;hl;2a;;;
sp019;hepa nobi;hl;2b;;;
sp019;loni xylo;hl;+;;;
sp019;maia bifo;hl;+;;;
sp019;meli nuta;hl;+;;;
sp019;merc pere;hl;2a;;;
sp019;pice abie;hl;+;;;
sp019;poly mult;hl;+;;;
sp019;quer robu;hl;+;;;
sp019;rubu idae;hl;+;;;
sp019;rubu sect rubu;hl;+;;;
sp019;viol reic;hl;+;;;
sp019;fran alnu;sl;+;;;
sp019;loni xylo;sl;+;;;
sp019;fagu sylv;tl1;2b;;;
sp019;frax exce;tl1;1;;;
sp019;pice abie;tl1;5;;;
sp019;fagu sylv;tl2;1;;;
sp020;acer pseu;hl;+;;;
sp020;anem nemo;hl;2b;;;
sp020;apos foet;hl;+;;;
sp020;brac sylv;hl;+;;;
sp020;card bulb;hl;+;;;
sp020;care alba;hl;1;;;
sp020;care digi;hl;1;;;
sp020;care mich;hl;r;;;
sp020;care pilo;hl;2m;;;
sp020;carp betu;hl;+;;;
sp020;conv maja maja;hl;+;;;
sp020;corn sang sang;hl;+;;;
sp020;cory avel;hl;+;;;
sp020;cycl purp;hl;+;;;
sp020;daph meze;hl;+;;;
sp020;desc cesp;hl;+;;;
sp020;dryo dila;hl;+;;;
sp020;dryo fili;hl;+;;;
sp020;euph dulc dulc;hl;+;;;
sp020;fagu sylv;hl;2a;;;
sp020;gale mont;hl;1;;;
sp020;gali sylv;hl;+;;;
sp020;hell nige;hl;+;;;
sp020;hepa nobi;hl;2a;;;
sp020;lath vern;hl;+;;;
sp020;lili mart;hl;r;;;
sp020;loni xylo;hl;+;;;
sp020;merc pere;hl;+;;;
sp020;poly mult;hl;+;;;
sp020;prun padu padu;hl;+;;;
sp020;pulm offi;hl;+;;;
sp020;quer robu;hl;+;;;
sp020;rubu sect rubu;hl;+;;;
sp020;vibu lant;hl;+;;;
sp020;berb vulg;sl;+;;;
sp020;carp betu;sl;1;;;
sp020;loni xylo;sl;+;;;
sp020;pice abie;sl;1;;;
sp020;fagu sylv;tl1;2a;;;
sp020;frax exce;tl1;2b;;;
sp020;quer robu;tl1;2a;;;
sp020;acer pseu;tl2;1;;;
sp020;carp betu;tl2;3;;;
sp020;crat mono;tl2;1;;;
sp020;fagu sylv;tl2;2b;;;
sp020;quer robu;tl2;2a;;;
sp020;sorb aria;tl2;1;;;
sp020;tili cord;tl2;1;;;
sp021;acer camp;hl;+;;;
sp021;acer pseu;hl;+;;;
sp021;anem nemo;hl;1;;;
sp021;ange sylv sylv;hl;r;;;
sp021;asar euro euro;hl;+;;;
sp021;care alba;hl;+;;;
sp021;care digi;hl;+;;;
sp021;clem vita;hl;+;;;
sp021;conv maja maja;hl;+;;;
sp021;cory avel;hl;+;;;
sp021;crat mono;hl;+;;;
sp021;cycl purp;hl;+;;;
sp021;fagu sylv;hl;2a;;;
sp021;frax exce;hl;2a;;;
sp021;gale mont;hl;1;;;
sp021;hell nige;hl;2a;;;
sp021;hepa nobi;hl;2b;;;
sp021;lath vern;hl;1;;;
sp021;merc pere;hl;1;;;
sp021;neot nidu;hl;r;;;
sp021;phyt spic spic;hl;+;;;
sp021;pulm offi;hl;+;;;
sp021;quer robu;hl;+;;;
sp021;tili cord;hl;+;;;
sp021;ulmu glab;hl;2a;;;
sp021;fagu sylv;sl;1;;;
sp021;ulmu glab;sl;+;;;
sp021;fagu sylv;tl1;5;;;
sp021;acer pseu;tl2;1;;;
sp021;fagu sylv;tl2;2a;;;
sp021;frax exce;tl2;1;;;
sp021;pice abie;tl2;1;;;
sp022;acer camp;hl;2m;;;
sp022;acer pseu;hl;1;;;
sp022;alli ursi ursi;hl;2b;;;
sp022;anem nemo;hl;1;;;
sp022;apos foet;hl;1;;;
sp022;arab aren;hl;r;;;
sp022;arum macu;hl;+;;;
sp022;asar euro euro;hl;2a;;;
sp022;brac sylv;hl;1;;;
sp022;camp pers;hl;+;;;
