plot,abbr,layer,cov,voucher,sheets,comment,history
bh03,rham cath,hl,+,,,,
bh03,rosa cani blon,hl,+,,,cf., | Changed rosa blon To rosa cani blon 2012-11-26 23:01:01
bh03,sang mino mino,hl,+,,,, | Changed sang mino To sang mino mino 2012-11-26 23:01:01
bh03,sesl caer,hl,2b,,,, | Changed sesl albi To sesl caer 2012-11-26 23:01:01
bh03,teuc cham,hl,+,,,,
bh03,thym pule pule,hl,1,,,, | Changed thym pule To thym pule pule 2012-11-26 23:01:01
bh03,tort tort,ml,2b,,,,
bh03,trif mont mont,hl,+,,,, | Changed trif mont To trif mont mont 2012-11-26 23:01:01
bh03,vibu lant,hl,+,,,,
bh04,aspe cyna,hl,+,,,,
bh04,camp rotu,hl,+,,,,
bh04,crat mono,sl,+,,,,
bh04,cyti nigr nigr,hl,2a,,,, | Changed cyti spec To cyti nigr nigr 2012-11-26 23:01:01
bh04,euph cypa,hl,+,,,,
bh04,euon euro,hl,+,,,, | Changed evon euro To euon euro 2012-11-26 23:01:01
bh04,fest pall,hl,2a,,,,
bh04,ligu vulg,hl,+,,,,
bh04,pimp saxi slat,hl,+,,,, | Changed pimp saxi To pimp saxi slat 2012-11-26 23:01:01
bh04,pote pusi,hl,4,95,,,
bh04,scab colu,hl,+,,,, | Changed scab coll To scab colu 2012-11-26 23:01:01
bh04,sesl caer,hl,2a,,,, | Changed sesl albi To sesl caer 2012-11-26 23:01:01
bh04,thym pule pule,hl,+,92,,, | Changed thym pule To thym pule pule 2012-11-26 23:01:01
bh05,fagu sylv,hl,+,,,,
bh05,fagu sylv,sl,1,,,,
bh05,fagu sylv,tl1,4,,,,
bh05,fagu sylv,tl2,2b,,,,
bh05,pinu sylv,tl1,2b,,,,
bh05,sorb aria,hl,+,,,,
bh05,sorb aria,sl,1,,,,
bh05,loni xylo,hl,+,,,,
bh05,loni xylo,sl,+,,,,
bh05,vibu lant,hl,+,,,,
bh05,vibu lant,sl,+,,,,
bh05,quer robu,hl,+,,,,
bh05,acer pseu,hl,1,,,,
bh05,frax exce,hl,1,,,,
bh05,acer plat,hl,+,,,,
bh05,lari deci deci,tl1,2b,,,,
bh05,clem vita,hl,+,,,,
bh05,prun aviu slat,hl,r,,,,
bh05,care alba,hl,r,,,,
bh05,sesl caer,hl,4,,,,
bh05,tana cory cory,hl,+,,,,
bh05,prim veri veri,hl,+,,,,
bh05,cala vari,hl,1,,,,
bh05,sile vulg vulg,hl,+,,,,
bh05,anth ramo,hl,1,,,,
bh05,hepa nobi,hl,1,,,,
bh05,anem nemo,hl,1,,,,
bh05,euph dulc,hl,+,,,,
bh05,camp rapu rapu,hl,+,,,,
bh05,mela prat,hl,+,,,,
bh05,daph meze,hl,+,,,,
bh05,viol reic,hl,+,,,,
bh05,soli virg virg,hl,+,,,,
bh05,gali sylv,hl,1,,,,
bh05,hede heli,hl,+,,,,
bh05,meli nuta,hl,+,,,,
bh05,conv maja maja,hl,1,,,,
bh05,meli meli,hl,+,,,,
bh05,merc pere,hl,1,,,,
bh05,hier muro,hl,+,,,,
bh05,care digi,hl,1,,,,
bh05,peuc oreo,hl,r,,,,
bh05,euph cypa,hl,r,,,,
bh05,aspl ruta,hl,r,,,,
bh05,prun padu padu,hl,r,,,,
bh05,coto spec ies,hl,r,2014-0066,,,
bh05,berb vulg,hl,r,,,,
bh05,rham cath,hl,r,,,,
bh06,fest gues,hl,+,2014-0064,,,
bh06,arrh elat,hl,4,,,,
bh06,cera arve arve,hl,+,,,,
bh06,saxi gran gran,hl,+,,,,
bh06,gali veru,hl,1,,,,
bh06,plan lanc,hl,1,,,,
bh06,secu vari,hl,1,,,,
bh06,ranu bulb,hl,+,,,,
bh06,poa angu,hl,1,,,,
bh06,luzu camp,hl,2a,,,,
bh06,knau arve arve,hl,+,,,,
bh06,lotu corn,hl,1,,,,
bh06,gali albu,hl,1,,,,
bh06,leon hisp slat,hl,+,,,,
bh06,fest prat prat,hl,+,,,,
bh06,hier pilo ella,hl,1,,,,
bh06,care cary,hl,1,,,,
bh06,vero cham cham,hl,1,,,,
bh06,anth odor,hl,2a,,,,
bh06,gali pumi,hl,r,,,,
bh06,hype perf,hl,+,,,,
bh06,trif prat prat,hl,1,,,,
bh06,fest rubr slat,hl,1,,,,
bh06,fest nigr cens,hl,+,,,,
bh06,homa pube pube,hl,1,,,,
bh06,brac pinn,hl,1,,,,
bh06,poa prat,hl,+,,,,
bh06,tris flav flav,hl,+,,,,
bh07,fagu sylv,hl,1,,,,
bh07,fagu sylv,sl,2a,,,,
bh07,fagu sylv,tl1,4,,,,
bh07,fagu sylv,tl2,2a,,,,
bh07,pinu sylv,tl1,2b,,,,
bh07,pice abie,tl1,2b,,,,
bh07,sorb aucu aucu,hl,+,,,,
bh07,sorb aucu aucu,sl,+,,,,
