plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,latitude,longitude,accuracy,alliance,association,soil,comment,location
go01,95,60,50,80,70,15,11,9,3,0.7,0.15,16,16,S,45,30,0,0,2015-04-24,47.596364,13.170012,20,Carpinion betuli,,Renzina,,
go02,95,75,25,60,55,10,16,12,2.5,0.6,0.25,32,8,S,30,50,0,0,2015-04-24,47.596459,13.170359,20,Carpinion betuli,,"Kalkbraunerde, verbraunte Renzina",entlang des niedrigen Felsstufe oberhalb des Weges,
