abbr;layer;comment;FU1T;FU1B1;FU1B2;FU1B3;FU1B4;FU1B5;FU1B6;FU1K;FU2T;FU2B1;FU2B2;FU2B3;FU2B4;FU2B5;FU2B6;FU2K;FU3T;FU3B1;FU3B2;FU3B3;FU3B4;FU3B5;FU3B6;FU3K;FU4T;FU4B1;FU4B2;FU4B3;FU4B4;FU4B5;FU4B6;FU4B7;FU4K;FU5T;FU5B1;FU5B2;FU5B3;FU5B4;FU5B5;FU5K
agro rupe;hl;Agrostis rupestris;;;;;;;;;;;;;r;r;;;;;;;;;;;;;;;;;;;;;;;;;;r
agro schr;hl;Agrostis schraderiana;;;;;;;-;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alch pent;hl;Alchemilla pentaphyllea;4;2;1;2;-;r;;;r;;;;r;;r;r;1;1;3;3;+;;-;-;r;3;4;2;3;1;r;r;r;4;4;4;3;3;2;3
alch spec ies;hl;Alchemilla spec.;;;;;;;;;;-;r;;+;;;;r;;;;;r;;r;;;;;;;;;;;;;;;;
anth alpi;hl;Anthoxanthum alpinum;;;r;+;1;-;-;1;;;;;;-;-;r;;r;r;r;-;r;r;;+;-;;;;;-;1;1;r;+;-;;+;1;-
aren bifl;hl;Arenaria biflora;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bart alpi;hl;Bartsia alpina;;;;;;;;;+;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
camp barb;hl;Campanula barbata;;;;r;-;r;;;;;;;;r;;r;r;;;;;;;;;;;;;;;;r;;;;;;;
camp sche;hl;Campanula scheuchzeri;;;;;;;;;r;r;r;-;-;+;-;;;;;;;;;;;;;;;;;r;;;;;;;;
card alpi;hl;Cardamine alpina;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;
care curv;hl;Carex curvula;;;+;-;+;1;2;2;r;r;-;;;;;;;r;r;;;;;r;;;;;r;r;1;1;3;;;;;;;
care foet;hl;Carex foetida;+;1;+;+;+;;;;;;;-;+;-;1;3;-;+;r;r;+;-;+;+;+;-;-;;-;r;;;;1;1;+;;2;2;-
care parv;hl;Carex parviflora;;;;;;;;;-;+;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;
care semp;hl;Carex sempervirens;;;;;;;;;r;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cera arve stri;hl;Cerastium arvense subsp. strictum;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cera trig;hl;Cerastium trigynum;;;;;;;;;;;;;;;;;;;-;;;;;;r;;;;;;;;;;;r;;;;
cirs spin;hl;Cirsium spinossissimum;;;;;;;;;r;r;r;;-;;r;;-;1;+;-;1;-;-;r;;;;;;;;;;;;;;;;
crep aure;hl;Crepis aurea;+;1;-;+;1;1;2;1;;;1;3;2;2;-;+;;;;;;;;;;;;;;;;;;;;;;;;
eyln myos;hl;Elyna myosuroides;;;;;;;;;;;;;;;;;;;;-;;;;;;;;;;;;;;;;;;;;
epil anag;hl;Epilobium anagallidifolium;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;
erig unif;hl;Erigeron uniflorus;;;;;;;;;r;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
euph mini;hl;Euphrasia minima;;;-;-;-;-;r;r;-;r;r;-;;;r;;-;;;-;+;-;-;-;;;;-;-;-;-;;r;-;-;-;;;;-
fest nigr;hl;Festuca nigrescens;;;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gali anis;hl;Galium anisophyllum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;
gent bava;hl;Gentiana bavarica;;;;;;;;;-;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gent niva;hl;Gentiana nivalis;;;;;;;;;r;-;-;-;-;-;;r;;;;;;;;;;;;;;;;;;;;;;;;
gent punc;hl;Gentiana punctata;r;r;r;;;r;+;-;;;;;r;;+;;;;;r;;;r;r;;;;;;;;;;;;;;;;
geum mont;hl;Geum montanum;r;;-;;r;-;+;1;;r;;r;r;1;+;+;r;-;;-;-;-;-;-;;;;r;;;-;+;;;-;+;1;1;+;-
gnap norg;hl;Gnaphalium norvegicum;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;
gnap supi;hl;Gnaphalium supinum;+;1;2;2;1;-;;;;r;r;;;;;;2;+;-;-;;r;1;-;2;2;+;1;+;2;;r;r;;;;;;;
heli vers;hl;Helictotrichon versicolor;;;;-;+;1;+;-;;;;;r;;r;;;;;;;;;r;;;;;;;;r;;;r;-;-;;-;
homo alpi;hl;Homogyne alpina;;;;;r;r;;;;;;;;;;-;-;;;;;-;;;;;;;;;;;;;;r;;;r;r
junc jaqu;hl;Juncus jacquinii;;;;;;;r;;-;-;1;2;2;+;+;+;;;;;;;;;;;;;;;;;;;;;;;;
leon helv;hl;Leontodon helveticus;+;-;-;-;;+;1;;;;;;;;;;-;-;+;-;+;-;2;2;-;;+;1;1;2;2;2;1;+;+;2;1;1;1;3
leon hisp hisp;hl;Leontodon hispidus subsp. hispidus;;;;;;;;;1;1;+;;;r;+;-;;;;;;;;;;;;;;;;;;;;;;;;
leu alpi alpi;hl;Leucanthemopsis alpina subsp. alpina;;-;;-;-;;;;;;;;;;;;-;+;+;-;;;;;+;2;;-;-;1;r;r;;;;;;;;r
ligu mute;hl;Ligusticum muttelina;2;2;1;+;1;1;r;2;+;+;+;+;2;1;2;+;-;r;-;+;3;3;3;3;r;-;-;1;-;r;+;r;-;r;;;;-;2;-
lotu alpi;hl;Lotus alpinus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-;;;;;;
luzu alpi losa;hl;Lutula alpino-pilosa;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;
luzu mult;hl;Luzula multiflora;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;r;;;
luzu spic slat;hl;Luzula spicata s.l.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;
nard stri;hl;Nardus stricta;1;1;1;+;2;2;2;1;r;r;2;1;1;1;4;3;1;-;r;;;;r;-;1;1;1;+;1;2;3;3;3;+;1;+;2;2;2;2
parn palu;hl;Parnassia palustris;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
phle alpi;hl;Phleum alpinum;;;;;;;;;;;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
phle rhae;hl;Phleum rhaticum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;r;r;;
phyt hemi;hl;Phyteuma hemisphaericum;;;;;;;;;;;;;;r;-;;;;;;;;;;;;;;;;;r;r;;;;;;;
poa alpi;hl;Poa alpina;-;;r;r;;;r;;r;-;;+;;+;;;-;-;-;+;-;-;-;-;;;;-;;r;;r;+;r;-;-;-;-;;
poly vivi;hl;Polygonum viviparum;;;;;;;;;-;-;-;;+;+;;-;;;;;;;;+;;;;;;;;;;;;;;;;
pote aure;hl;Potentilla aurea;;r;;;-;;;-;;;;;;3;1;;;;;;;;;;;;;;;r;;r;;r;;;;;r;
ranu vill;hl;Ranunculus villarsii;;;;;;;;;-;2;+;1;2;1;;;;;;;r;-;-;-;;;;;r;;;;;;;;;;;
sali herb;hl;Salix herbacea;;2;2;2;2;;-;;-;+;1;-;-;-;;-;;;;;;;;-;-;1;+;;+;-;-;;r;;;-;;;;
sibb proc;hl;Sibbaldia procumbens;;;;;;;;;r;r;1;+;;-;+;2;;;;;;;;;r;;;;;;;r;-;;;;;;;
sile exca;hl;Silene exscapa;;;;;;;;;3;1;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sold pusi;hl;Soldanella pusilla;;-;1;;-;r;r;;-;r;;-;;;;;3;3;3;2;2;3;3;;2;3;2;2;;;;;;2;+;-;;;;
