taxon,matched.taxon
Leontodon hispidus,Leontodon hispidus s.lat.
Leucanthemum vulgare agg.,Leucanthemum vulgare agg.
Ajuga reptans,Ajuga reptans
Trifolium pratense,Trifolium pratense ssp. pratense
Agrostis capillaris,Agrostis capillaris
Dactylis glomerata,Dactylis glomerata ssp. glomerata
Genista tinctoria,Genista tinctoria
Cirsium erisithales,Cirsium erisithales
Pimpinella major,Pimpinella major var. major
Festuca sp.,Festuca sp.
Cladonia sp.,Cladonia sp.
Vicia cracca,Vicia cracca s.str.
Agrostis stolonifera,Agrostis stolonifera s.str.
Galeopsis speciosa,Galeopsis speciosa
Vicia sepium,Vicia sepium
Digitalis grandiflora,Digitalis grandiflora
Calamagrostis epigaejos,Calamagrostis epigejos
Jovibara hirta,Jovibarba globifera ssp. hirta
Sedum sexangulare,Sedum sexangulare
Potentilla alba,Potentilla alba
Leontodon incanus,Leontodon incanus
Linum catharticum,Linum catharticum
Helianthemum nummularium s.l.,Helianthemum nummularium s.lat.
Alchemilla monticola,Alchemilla monticola
Festuca versicolor ssp. pallidula,Festuca versicolor ssp. pallidula
Geranium columbinum,Geranium columbinum
Orobanche teucrii,Orobanche teucrii
Sedum maximum,Hylotelephium maximum
Luzula campestris,Luzula campestris s.str.
Arabis hirsuta,Arabis hirsuta s.str.
Festuca pulchella,Festuca pulchella s.lat.
Phleum pratense,Phleum pratense s.str.
Hypericum maculatum,Hypericum maculatum s.str.
Stellaria graminea,Stellaria graminea
Orobanche caryophyllacea,Orobanche caryophyllacea
Polygala alpestris,Polygala alpestris ssp. alpestris
Orobanche reticulata,Orobanche reticulata ssp. reticulata
Geranium sylvaticum,Geranium sylvaticum
Primula elatior,Primula elatior s.str.
Maianthemum bifolium,Maianthemum bifolium
Globularia nudicaulis,Globularia nudicaulis
Campanula trachelium,Campanula trachelium
Hieracium sp.,Hieracium sp.
Listera ovata,Listera ovata
Pulsatilla alpina,Pulsatilla alpina s.lat.
Gentianella rhaetica,Gentianella rhaetica
Alchemilla anisiaca,Alchemilla anisiaca
Heliosperma alpestre,Heliosperma alpestre
Lilium martagon,Lilium martagon
Aconitum lycoctonum,Aconitum lycoctonum s.lat.
Valeriana montana,Valeriana montana
Thesium alpinum,Thesium alpinum
Corylus avellana,Corylus avellana
Frangula alnus,Frangula alnus
Fagus sylvatica,Fagus sylvatica
Picea abies,Picea abies
Amelanchier ovalis,Amelanchier ovalis
Sorbus aria,Sorbus aria s.str.
Berberis vulgaris,Berberis vulgaris
Fraxinus excelsior,Fraxinus excelsior
Acer pseudoplatanus,Acer pseudoplatanus
Viburnum opulus,Viburnum opulus
Viburnum lantana,Viburnum lantana
Pinus sylvestris,Pinus sylvestris
Cornus sanguinea,Cornus sanguinea s.lat.
Fraxinus excelsior,Fraxinus excelsior
Acer pseudoplatanus,Acer pseudoplatanus
Juniperus communis,Juniperus communis ssp. communis
Pinus sylvestris,Pinus sylvestris
Picea abies,Picea abies
Prunus spinosa,Prunus spinosa
Crataegus monogyna,Crataegus monogyna
Rhamnus saxatilis,Rhamnus saxatilis ssp. saxatilis
Viburnum lantana,Viburnum lantana
Corylus avellana,Corylus avellana
Amelanchier ovalis,Amelanchier ovalis
Rhamnus catharticus,Rhamnus cathartica
Cotoneaster tomentosus,Cotoneaster tomentosus
Malus sylvestris,Malus sylvestris
Sorbus aria,Sorbus aria s.str.
Frangula alnus,Frangula alnus
