"taxon";"matched.taxon"
"Fagus sylvatica";"Fagus sylvatica"
"Fagus sylvatica";"Fagus sylvatica"
"Fagus sylvatica";"Fagus sylvatica"
"Carex alba";"Carex alba"
"Pinus sylvestris";"Pinus sylvestris"
"Hepatica nobilis";"Hepatica nobilis"
"Salvia glutinosa";"Salvia glutinosa"
"Euphorbia amygdaloides";"Euphorbia amygdaloides ssp. amygdaloides"
"Daphne mezereum";"Daphne mezereum"
"Hedera helix";"Hedera helix"
"Fraxinus excelsior";"Fraxinus excelsior"
"Galium sylvaticum";"Galium sylvaticum s.str."
"Melittis melissophyllum";"Melittis melissophyllum"
"Lathyrus vernus";"Lathyrus vernus"
"Acer pseudoplatanus";"Acer pseudoplatanus"
"Lonicera xylosteum";"Lonicera xylosteum"
"Carex digitata";"Carex digitata"
"Mercurialis perennis";"Mercurialis perennis s.str."
"Euphorbia dulcis";"Euphorbia dulcis"
"Phyteuma spicatum";"Phyteuma spicatum"
"Lilium martagon";"Lilium martagon"
"Convallaria majalis";"Convallaria majalis ssp. majalis"
"Melica nutans";"Melica nutans s.str."
"Calamagrostis varia";"Calamagrostis varia"
"Cephalanthera rubra";"Cephalanthera rubra"
"Cephalanthera damasonium";"Cephalanthera damasonium"
"Lamiastrum montanum";"Galeobdolon montanum"
"Symphytum tuberosum";"Symphytum tuberosum s.lat."
"Prenanthes purpurea";"Prenanthes purpurea"
"Aposeris foetida";"Aposeris foetida"
"Neottia nidus avis";"Neottia nidus-avis"
"Carex pilosa";"Carex pilosa"
"Galium odoratum";"Galium odoratum"
"Majanthemum bifolium";"Maianthemum bifolium"
"Sesleria varia";"Sesleria caerulea s.str."
"Centaurea montana";"Cyanus montanus ssp. montanus"
"Tanacetum corymbosum";"Tanacetum corymbosum ssp. corymbosum"
"Picea abies";"Picea abies"
"Hieracium murorum";"Hieracium murorum"
"Aegopodium podagraria";"Aegopodium podagraria"
"Mycelis muralls";"Lactuca muralis"
"Larix europaea";"Larix decidua"
