plot;latitude;longitude;accuracy;elevation;syntaxon;location;date;remarks;observer
13;48.103480N;12.756600E;200;400m;Carici albae-Fagetum;Wald beim Lohjörgl, St.Radegund;1995-05-01;;R. Krisai
54;48.078220N;12.789200E;200;400m;Carici albae-Fagetum;Hangwald beim Holzbauerngraben, Gem. Ostermiething;1995-05-20;;R. Krisai
63;48.081230N;12.787520E;500;380-440m;Carici albae-Fagetum;Hangwald beim Hundsgraben, Gem. Ostermiething;1995-06-10;;R. Krisai
65;48.081230N;12.787520E;500;380-440m;Carici albae-Fagetum;Hangwald beim Hundsgraben, Gem. Ostermiething;1995-06-10;;R. Krisai
69;48.131497N;12.795328E;500;420-460m;Carici albae-Fagetum;Hangwald bei der Werfenau, Oberhänge, Gem. St. Radegund;1995-07-08;;R. Krisai
74;48.131497N;12.795328E;500;420-460m;Carici albae-Fagetum;Hangwald bei der Werfenau, Oberhänge, Gem. St. Radegund;1995-07-08;;R. Krisai
76;48.131497N;12.795328E;500;420-460m;Carici albae-Fagetum;Hangwald bei der Werfenau, Oberhänge, Gem. St. Radegund;1995-07-08;;R. Krisai
77;48.131497N;12.795328E;500;420-460m;Carici albae-Fagetum;Hangwald bei der Werfenau, Oberhänge, Gem. St. Radegund;1995-07-08;;R. Krisai
78;48.131497N;12.795328E;500;420-460m;Carici albae-Fagetum;Hangwald bei der Werfenau, Oberhänge, Gem. St. Radegund;1995-07-08;;R. Krisai
