"plot";"abbr";"layer";"cov";"taxon"
"77";"anem nemo";"hl";"+";"Anemone nemorosa"
"77";"camp trac";"hl";"+";"Campanula trachelium"
"77";"eupa cann";"hl";"+";"Eupatorium cannabinum"
"77";"fest giga";"hl";"+";"Festuca gigantea"
"77";"pari quad";"hl";"+";"Paris quadrifolia"
"13";"ange sylv sylv";"hl";"+";"Angelica sylvestris"
"13";"brac sylv";"hl";"+";"Brachypodium sylvaticum"
"13";"pulm offi";"hl";"+";"Pulmonaria officinalis"
"76";"cala epig";"hl";"+";"Calamagrostis epigeios"
"65";"crat mono";"hl";"+";"Crataegus monogyna"
"65";"pimp majo majo";"hl";"+";"Pimpinella major"
"65";"poa nemo";"hl";"+";"Poa nemoralis"
"69";"poly form";"ml";"+";"Polytrichum formosum"
"74";"epip atro";"hl";"+";"Epipactis atrorubens"
"74";"rham cath";"hl";"+";"Rhamnus cathartica"
"74";"rubu sect rubu";"hl";"+";"Rubus fruticosus"
"74";"sali capr";"hl";"+";"Salix caprea"
"69";"luzu luzu ides";"hl";"+";"Luzula luzuloides"
"69";"mela prat";"hl";"+";"Melampyrum pratense"
