;plot;layer;EBEN;HO02;STU01;GAS01;UNT01;MANFR.09;MANFR.10;MANFR.04;GWABL01;MANFR.07;NIKOLS02;NIKOLS01;ZAJACH01;MANFR.08;MANFR.05;EICHIG02;LAN02;LAN01;MANFR.06;HABICH01;UPEISCH01;MANFR.11;EBENP01;MANFR.12;MANFR.13;EICHIG01;NÖRSACH02;NÖRSACH01;ZIRL02;MANFR.15;ZIRL01;MANFR.20;MANFR.14;MANFR.17;MANFR.18;MANFR.22;MANFR.19;MÜN01;MOE01;MÜN02;MOE02;AMP01;BRI01;KRA01;JEN02;JEN01;MANFR.16;MANFR.21;3033;SON01;AMP03;9005;6009;MANFR.23;6001;6004;SON02;6005;3003;3004;AMP02;ABS01;VOM01;BAU02;VOL01;KIR02;TER02;FRI01;MANFR.24;KIR03;VOL02;TER03;HO01;3034;STAMS01;STAMS02;STAMS03
;forest type;;wE1Qlu;wE1Qlu;wE1Qlu;wE1Qlu;wE1Qlu;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE6Osv;wE6Osv;wE6Osv;wE6Osv;wE6Osv;wE6Osv;wE6Osv;WE6Qte;WE6Qte;WE6Qte;WE6Qte;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi
;Acer platanoides;H;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;;.;.;.;.;.;;;+;.;.;.;.;+;.;.;.;.;.;.;.;.;+;.;.;;.;.;.
;Acer pseudoplatanus;B;.;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;2a;.;+;.;.;2a;.;.;.;+;.;.;.;1;.;.;.;.;.;.;+;.;.;2b;.;.;.;.
;Acer pseudoplatanus;S;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;+;1;.;.;.;+;.;1;.;2a;+;.;1;+;.;.;.;+;.;1;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.
;Acer pseudoplatanus;H;+;1;.;r;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;r;.;.;.;.;.;.;.;.;.;.;.;.;.;+;1;.;+;.;+;r;+;.;+;+;+;1;+;+;.;.;+;.;+;+;.;.;.;+;.;.;.;+;+;+;+;.;.;.
;Fagus sylvatica;B;.;+;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;2b;2a;.;.;1;.;+;.;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Fagus sylvatica;S;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;+;2a;.;1;.;+;.;.;+;.;.;1;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Fagus sylvatica;H;.;+;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;+;+;.;+;.;.;+;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;+;.;.;.
;Tilia cordata;B;.;.;2a;.;.;1;.;2b;.;.;.;.;2a;.;.;.;.;.;.;2a;2a;+;.;.;3;.;.;.;.;2a;2a;.;.;+;.;.;.;.;1;.;4;2a;1;.;.;.;3;.;.;2b;2b;2b;4;.;.;2a;2b;4;4;4;4;.;.;.;.;.;.;.;.;.;.;.;.;5;2a;4;2a
;Tilia cordata;S;.;.;1;.;.;2b;.;+;.;.;.;.;1;.;.;.;.;.;.;+;+;+;.;+;+;.;.;.;.;+;.;.;.;.;+;.;.;.;.;.;+;2a;1;+;.;.;+;.;+;.;+;2a;2a;.;+;2a;1;2a;+;+;.;1;.;.;.;.;.;.;.;.;.;.;.;.;2a;2a;2a
;Tilia cordata;H;.;.;+;.;.;+;.;.;.;+;+;.;+;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;+;+;+;+;.;.;.;.;+;+;+;;1;.;.;+;+;2a;;;+;+;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.
;Prunus avium;B;.;r;.;.;1;.;.;.;1;.;1;.;.;.;+;.;.;+;.;.;.;.;1;1;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;+;.;.;.;.;1;2b;.;.;2a;.;+;+;.;2a;2a;.;2a;.;2a;2a;+;+;1;1;2a;.;.;.;.
;Prunus avium;S;.;.;+;+;1;.;.;.;+;+;1;+;+;+;.;.;.;2a;+;.;.;.;.;1;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;1;+;.;+;+;.;.;+;.;.;.;.;.;.;+;.;.;.;.;.;+;1;1;.;+;1;.;+;.;+;+;+;.;.;+;.
;Prunus avium;H;.;+;+;.;+;.;+;.;+;.;+;.;+;.;+;.;+;1;.;+;.;+;.;+;1;+;+;.;.;+;.;.;.;.;.;.;.;.;+;.;+;+;+;+;+;+;+;+;+;.;+;;+;.;+;.;+;+;.;.;r;+;+;.;.;.;+;+;+;.;+;+;+;1;.;+;.
;Betula pendula;B;1;.;1;.;.;+;.;.;.;.;.;1;.;.;.;.;.;.;+;1;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;.;1;.;.;.;.;.;2a;.;.;1;.;.;.;.;1;1;.;.;.;.;.;1;.;1;.;.;.;1;.;.;r;.;.;.
;Betula pendula;S;.;.;+;+;.;.;.;.;.;.;.;1;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;1;.;+;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;1;.;.;.;.;.;.
;Betula pendula;H;.;.;.;.;.;.;.;.;r;.;.;+;.;.;r;.;.;.;.;+;+;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Ulmus glabra;B;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;2a;.;1;.;.;1;.;.;2a;.;1;2a;.;1;2a;2b;.;.;+;.;2b;.;.;2b;.;1
;Ulmus glabra;S;.;.;2a;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;+;+;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;+;+;+;.;.;+;+;.;1;1;2a;+;+;2a;.;.;.;.;1;+;.;2a;1;2a
;Ulmus glabra;H;.;.;+;+;.;+;.;.;r;.;.;.;r;+;.;+;.;.;.;.;.;.;r;.;+;+;+;r;+;1;+;+;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;.;+;.;+;+;.;+;+;+;.;;+;.;+;+;+;.;+;1;.;+;+;.;+;+;.;+;+;+
;Fraxinus excelsior;B;.;.;1;.;+;.;.;.;.;+;1;.;1;2a;3;1;.;+;.;.;1;.;1;1;+;2a;1;.;2a;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;1;1;.;2a;+;2a;.;.;.;2b;2a;2a;2a;1;+;1;.;2b;3;.;.;.;.;2b;+;.;2a;2a;.;.;1;.;1
;Fraxinus excelsior;S;.;.;+;.;1;1;1;.;+;1;1;.;+;1;+;1;+;2a;.;.;2a;.;.;+;.;1;.;.;+;.;.;+;.;.;.;.;.;.;.;.;+;1;.;.;1;2a;.;.;1;.;.;.;1;+;+;2a;+;.;.;.;.;2a;+;.;.;r;.;+;2a;.;.;1;.;.;.;+;.
;Fraxinus excelsior;H;.;.;+;.;1;1;+;.;+;1;1;.;+;.;+;1;+;1;.;+;+;+;+;1;2m;2a;.;.;+;.;.;+;.;.;.;.;.;.;.;.;.;1;+;+;1;1;.;1;1;1;+;;3;+;+;+;2a;2a;.;.;+;2a;+;.;.;.;.;+;1;.;1;1;.;1;.;.;.
;Tilia platyphyllos;B;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;2a;.;.;.;.;2a;.;.;.;1;.;.;.
;Tilia platyphyllos;S;.;.;.;.;.;.;.;.;+;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.
