;plot;layer;EBEN;HO02;STU01;GAS01;UNT01;MANFR.09;MANFR.10;MANFR.04;GWABL01;MANFR.07;NIKOLS02;NIKOLS01;ZAJACH01;MANFR.08;MANFR.05;EICHIG02;LAN02;LAN01;MANFR.06;HABICH01;UPEISCH01;MANFR.11;EBENP01;MANFR.12;MANFR.13;EICHIG01;NÖRSACH02;NÖRSACH01;ZIRL02;MANFR.15;ZIRL01;MANFR.20;MANFR.14;MANFR.17;MANFR.18;MANFR.22;MANFR.19;MÜN01;MOE01;MÜN02;MOE02;AMP01;BRI01;KRA01;JEN02;JEN01;MANFR.16;MANFR.21;3033;SON01;AMP03;9005;6009;MANFR.23;6001;6004;SON02;6005;3003;3004;AMP02;ABS01;VOM01;BAU02;VOL01;KIR02;TER02;FRI01;MANFR.24;KIR03;VOL02;TER03;HO01;3034;STAMS01;STAMS02;STAMS03
;forest type;;wE1Qlu;wE1Qlu;wE1Qlu;wE1Qlu;wE1Qlu;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE6Osv;wE6Osv;wE6Osv;wE6Osv;wE6Osv;wE6Osv;wE6Osv;WE6Qte;WE6Qte;WE6Qte;WE6Qte;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi
;Tilia platyphyllos;H;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.
;Larix decidua;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;.;.;.;.;.;.;.;2b;.;.;.;2a;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Larix decidua;S;.;.;.;.;.;.;+;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Larix decidua;H;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.
;Populus tremula;B;.;.;.;+;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;2a;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.
;Populus tremula;S;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;1;+;.;.;.;+;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;1;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.
;Populus tremula;H;.;+;.;+;.;.;.;.;.;.;.;r;r;.;.;.;.;.;.;.;+;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;;;.;;;.;;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;;.;.;.
;Sorbus aucuparia;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;1;.;.;.;.;.;1;.;.;+;.;.;.
;Sorbus aucuparia;S;.;+;1;.;+;.;+;+;+;+;.;+;1;.;+;.;.;+;.;+;+;+;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;1;+;1;.;.;+;+;+;.;.;.;+;.;.;.;+;.;+;.;.;.;+;.;+;.;+;.;+;+;+;+;.;.;.
;Sorbus aucuparia;H;+;+;+;+;+;.;+;.;+;+;.;.;+;.;.;.;+;+;.;+;+;.;+;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;+;+;+;+;+;.;.;+;+;+;.;+;.;r;+;+;.;;+;+;+;+;.;+;.;.;.;+;+;+;+;+;+;.;.;.
;Picea abies;B;+;1;1;1;.;.;2a;2a;2a;.;1;1;.;.;+;.;.;.;1;2a;.;.;.;.;.;1;1;2a;.;.;.;+;.;.;.;.;.;.;.;.;1;.;1;1;.;.;1;+;.;1;2a;.;.;+;.;.;2a;.;1;2a;1;.;1;.;.;.;.;.;.;.;2b;1;.;+;.;.;.
;Picea abies;S;3;+;2a;2a;.;+;2a;+;1;1;2a;1;.;.;.;.;+;+;+;2a;.;.;+;.;.;+;1;+;1;+;.;+;.;+;.;+;.;1;+;1;.;1;+;2a;+;+;+;+;.;1;+;.;.;2a;.;.;.;.;+;1;2b;+;2a;+;2a;.;1;+;1;.;1;1;+;+;.;+;+
;Picea abies;H;r;.;+;1;+;.;.;.;1;.;1;+;.;.;+;.;+;.;.;+;.;+;.;.;.;.;+;.;+;+;.;+;+;+;.;.;+;+;.;.;+;+;+;+;.;+;.;+;+;1;+;+;.;.;.;.;.;+;+;.;+;+;1;.;+;.;+;.;.;.;.;+;+;+;.;.;.
;Quercus petraea;B;.;.;.;.;.;.;2a;3;4;5;4;2a;2a;4;4;4;2b;.;3;2a;2a;4;3;5;3;3;.;2a;.;.;.;.;.;3;2b;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Quercus petraea;S;.;.;.;.;.;.;+;+;+;+;+;2a;1;2a;+;2a;+;.;+;1;2a;1;1;.;.;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Quercus petraea;H;.;.;.;.;.;.;+;+;+;+;+;+;r;+;+;+;+;.;+;+;r;1;1;1;+;2a;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Quercus robur;B;4;4;3;3;3;4;4;.;.;.;.;.;.;.;.;.;.;3;.;.;.;.;.;.;.;.;3;.;.;.;.;.;.;.;.;.;3;2b;3;2a;2a;2a;2a;3;2a;2b;2a;4;2a;.;2b;.;2a;4;.;3;.;3;.;.;1;4;2b;4;3;3;3;2b;3;2b;2b;3;4;2a;3;2a;2b
;Quercus robur;S;+;.;.;1;.;2b;+;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;1;+;+;1;2a;.;+;1;.;+;+;.;1;.;.;.;+;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;1;.;+;.;.;.
;Quercus robur;H;r;1;+;+;+;1;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;r;.;.;.;.;.;+;.;.;.;.;+;+;+;+;1;+;+;+;+;.;+;1;r;+;;+;.;+;.;.;.;.;.;+;r;+;+;+;+;+;+;1;.;+;+;.;+;.;+;+
;Juglans regia;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Juglans regia;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;+;.;+;+;.;.;.;+;.;.;.;.;.;.;.;.
;Juglans regia;H;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;r;.;+;+;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;+;.;.;.;+;.;.;+;+;.;.;.;.;+;.;+;.;.;.;.;+;.;+;+;.;+;.;.;.
;Prunus padus;S;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;1;+;.;.;1;+;1;+;+;2b;1;.;2b;2a;2a
;Prunus padus;H;.;.;+;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;+;+;.;.;.;+;+;.;.;.;.;.;.;.;1;+;+;.;+;.;1;.;+;1;+;.;+;1;+
;Taxus baccata;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;.;.;.;.;.;+;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Taxus baccata;H;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;r;.;.;.;.;.;.;.;.;r;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.
;Malus sylvestris;S;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;r;.;.;.;.;.;.;.
;Malus sylvestris;H;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
