taxon,layer,EBEN,HO02,STU01,GAS01,UNT01,MANFR.09,MANFR.10,MANFR.04,GWABL01,MANFR.07,NIKOLS02,NIKOLS01,ZAJACH01,MANFR.08,MANFR.05,EICHIG02,LAN02,LAN01,MANFR.06,HABICH01,UPEISCH01,MANFR.11,EBENP01,MANFR.12,MANFR.13,EICHIG01,NÖRSACH02,NÖRSACH01,ZIRL02,MANFR.15,ZIRL01,MANFR.20,MANFR.14,MANFR.17,MANFR.18,MANFR.22,MANFR.19,MÜN01,MOE01,MÜN02,MOE02,AMP01,BRI01,KRA01,JEN02,JEN01,MANFR.16,MANFR.21,3033,SON01,AMP03,9005,6009,MANFR.23,6001,6004,SON02,6005,3003,3004,AMP02,ABS01,VOM01,BAU02,VOL01,KIR02,TER02,FRI01,MANFR.24,KIR03,VOL02,TER03,HO01,3034,STAMS01,STAMS02,STAMS03
Acer platanoides,tl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,2a,1,2a,2a,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.
Acer platanoides,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,+,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.
Acer platanoides,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.
Acer pseudoplatanus,tl,.,2a,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,2a,.,+,.,.,2a,.,.,.,+,.,.,.,1,.,.,.,.,.,.,+,.,.,2b,.,.,.,.
Acer pseudoplatanus,sl,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,+,1,.,.,.,+,.,1,.,2a,+,.,1,+,.,.,.,+,.,1,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.
Acer pseudoplatanus,hl,+,1,.,r,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,r,.,.,.,.,.,.,.,.,.,.,.,.,.,+,1,.,+,.,+,r,+,.,+,+,+,1,+,+,.,.,+,.,+,+,.,.,.,+,.,.,.,+,+,+,+,.,.,.
Fagus sylvatica,tl,.,+,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2b,2a,.,.,1,.,+,.,2a,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Fagus sylvatica,sl,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,+,2a,.,1,.,+,.,.,+,.,.,1,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Fagus sylvatica,hl,.,+,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,+,+,.,+,.,.,+,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,+,.,.,.
Tilia cordata,tl,.,.,2a,.,.,1,.,2b,.,.,.,.,2a,.,.,.,.,.,.,2a,2a,+,.,.,3,.,.,.,.,2a,2a,.,.,+,.,.,.,.,1,.,4,2a,1,.,.,.,3,.,.,2b,2b,2b,4,.,.,2a,2b,4,4,4,4,.,.,.,.,.,.,.,.,.,.,.,.,5,2a,4,2a
Tilia cordata,sl,.,.,1,.,.,2b,.,+,.,.,.,.,1,.,.,.,.,.,.,+,+,+,.,+,+,.,.,.,.,+,.,.,.,.,+,.,.,.,.,.,+,2a,1,+,.,.,+,.,+,.,+,2a,2a,.,+,2a,1,2a,+,+,.,1,.,.,.,.,.,.,.,.,.,.,.,.,2a,2a,2a
Tilia cordata,hl,.,.,+,.,.,+,.,.,.,+,+,.,+,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,+,+,+,+,.,.,.,.,+,+,+,.,1,.,.,+,+,2a,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.
Prunus avium,tl,.,r,.,.,1,.,.,.,1,.,1,.,.,.,+,.,.,+,.,.,.,.,1,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,+,.,.,.,.,1,2b,.,.,2a,.,+,+,.,2a,2a,.,2a,.,2a,2a,+,+,1,1,2a,.,.,.,.
Prunus avium,sl,.,.,+,+,1,.,.,.,+,+,1,+,+,+,.,.,.,2a,+,.,.,.,.,1,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,1,+,.,+,+,.,.,+,.,.,.,.,.,.,+,.,.,.,.,.,+,1,1,.,+,1,.,+,.,+,+,+,.,.,+,.
Prunus avium,hl,.,+,+,.,+,.,+,.,+,.,+,.,+,.,+,.,+,1,.,+,.,+,.,+,1,+,+,.,.,+,.,.,.,.,.,.,.,.,+,.,+,+,+,+,+,+,+,+,+,.,+,.,+,.,+,.,+,+,.,.,r,+,+,.,.,.,+,+,+,.,+,+,+,1,.,+,.
Betula pendula,tl,1,.,1,.,.,+,.,.,.,.,.,1,.,.,.,.,.,.,+,1,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2a,.,1,.,.,.,.,.,2a,.,.,1,.,.,.,.,1,1,.,.,.,.,.,1,.,1,.,.,.,1,.,.,r,.,.,.
Betula pendula,sl,.,.,+,+,.,.,.,.,.,.,.,1,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,1,.,+,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,1,.,.,.,.,.,.
Betula pendula,hl,.,.,.,.,.,.,.,.,r,.,.,+,.,.,r,.,.,.,.,+,+,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Ulmus glabra,tl,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2a,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,2a,.,1,.,.,1,.,.,2a,.,1,2a,.,1,2a,2b,.,.,+,.,2b,.,.,2b,.,1
Ulmus glabra,sl,.,.,2a,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,+,+,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,+,+,+,.,.,+,+,.,1,1,2a,+,+,2a,.,.,.,.,1,+,.,2a,1,2a
Ulmus glabra,hl,.,.,+,+,.,+,.,.,r,.,.,.,r,+,.,+,.,.,.,.,.,.,r,.,+,+,+,r,+,1,+,+,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,+,.,+,+,.,+,+,+,.,.,+,.,+,+,+,.,+,1,.,+,+,.,+,+,.,+,+,+
Fraxinus excelsior,tl,.,.,1,.,+,.,.,.,.,+,1,.,1,2a,3,1,.,+,.,.,1,.,1,1,+,2a,1,.,2a,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,1,1,.,2a,+,2a,.,.,.,2b,2a,2a,2a,1,+,1,.,2b,3,.,.,.,.,2b,+,.,2a,2a,.,.,1,.,1
Fraxinus excelsior,sl,.,.,+,.,1,1,1,.,+,1,1,.,+,1,+,1,+,2a,.,.,2a,.,.,+,.,1,.,.,+,.,.,+,.,.,.,.,.,.,.,.,+,1,.,.,1,2a,.,.,1,.,.,.,1,+,+,2a,+,.,.,.,.,2a,+,.,.,r,.,+,2a,.,.,1,.,.,.,+,.
Fraxinus excelsior,hl,.,.,+,.,1,1,+,.,+,1,1,.,+,.,+,1,+,1,.,+,+,+,+,1,2m,2a,.,.,+,.,.,+,.,.,.,.,.,.,.,.,.,1,+,+,1,1,.,1,1,1,+,.,3,+,+,+,2a,2a,.,.,+,2a,+,.,.,.,.,+,1,.,1,1,.,1,.,.,.
Tilia platyphyllos,tl,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2a,.,.,.,.,2a,.,.,.,1,.,.,.
Tilia platyphyllos,sl,.,.,.,.,.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
Tilia platyphyllos,hl,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.
Larix decidua,tl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2a,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2a,.,.,.,.,.,.,.,2b,.,.,.,2a,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Larix decidua,sl,.,.,.,.,.,.,+,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Larix decidua,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,.
Populus tremula,tl,.,.,.,+,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,2a,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
Populus tremula,sl,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,1,+,.,.,.,+,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,1,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.
Populus tremula,hl,.,+,.,+,.,.,.,.,.,.,.,r,r,.,.,.,.,.,.,.,+,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.
Sorbus aucuparia,tl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,1,.,.,.,.,.,1,.,.,+,.,.,.
Sorbus aucuparia,sl,.,+,1,.,+,.,+,+,+,+,.,+,1,.,+,.,.,+,.,+,+,+,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,1,+,1,.,.,+,+,+,.,.,.,+,.,.,.,+,.,+,.,.,.,+,.,+,.,+,.,+,+,+,+,.,.,.
Sorbus aucuparia,hl,+,+,+,+,+,.,+,.,+,+,.,.,+,.,.,.,+,+,.,+,+,.,+,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,+,+,+,+,+,.,.,+,+,+,.,+,.,r,+,+,.,.,+,+,+,+,.,+,.,.,.,+,+,+,+,+,+,.,.,.
Picea abies,tl,+,1,1,1,.,.,2a,2a,2a,.,1,1,.,.,+,.,.,.,1,2a,.,.,.,.,.,1,1,2a,.,.,.,+,.,.,.,.,.,.,.,.,1,.,1,1,.,.,1,+,.,1,2a,.,.,+,.,.,2a,.,1,2a,1,.,1,.,.,.,.,.,.,.,2b,1,.,+,.,.,.
Picea abies,sl,3,+,2a,2a,.,+,2a,+,1,1,2a,1,.,.,.,.,+,+,+,2a,.,.,+,.,.,+,1,+,1,+,.,+,.,+,.,+,.,1,+,1,.,1,+,2a,+,+,+,+,.,1,+,.,.,2a,.,.,.,.,+,1,2b,+,2a,+,2a,.,1,+,1,.,1,1,+,+,.,+,+
Picea abies,hl,r,.,+,1,+,.,.,.,1,.,1,+,.,.,+,.,+,.,.,+,.,+,.,.,.,.,+,.,+,+,.,+,+,+,.,.,+,+,.,.,+,+,+,+,.,+,.,+,+,1,+,+,.,.,.,.,.,+,+,.,+,+,1,.,+,.,+,.,.,.,.,+,+,+,.,.,.
Quercus petraea,tl,.,.,.,.,.,.,2a,3,4,5,4,2a,2a,4,4,4,2b,.,3,2a,2a,4,3,5,3,3,.,2a,.,.,.,.,.,3,2b,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Quercus petraea,sl,.,.,.,.,.,.,+,+,+,+,+,2a,1,2a,+,2a,+,.,+,1,2a,1,1,.,.,2a,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Quercus petraea,hl,.,.,.,.,.,.,+,+,+,+,+,+,r,+,+,+,+,.,+,+,r,1,1,1,+,2a,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Quercus robur,tl,4,4,3,3,3,4,4,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,3,2b,3,2a,2a,2a,2a,3,2a,2b,2a,4,2a,.,2b,.,2a,4,.,3,.,3,.,.,1,4,2b,4,3,3,3,2b,3,2b,2b,3,4,2a,3,2a,2b
Quercus robur,sl,+,.,.,1,.,2b,+,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,1,+,+,1,2a,.,+,1,.,+,+,.,1,.,.,.,+,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,1,.,+,.,.,.
Quercus robur,hl,r,1,+,+,+,1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,r,.,.,.,.,.,+,.,.,.,.,+,+,+,+,1,+,+,+,+,.,+,1,r,+,.,+,.,+,.,.,.,.,.,+,r,+,+,+,+,+,+,1,.,+,+,.,+,.,+,+
Juglans regia,tl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,2a,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Juglans regia,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,+,+,.,.,.,+,.,.,.,.,.,.,.,.
Juglans regia,hl,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,r,.,+,+,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,+,.,.,.,+,.,.,+,+,.,.,.,.,+,.,+,.,.,.,.,+,.,+,+,.,+,.,.,.
Prunus padus,sl,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,1,+,.,.,1,+,1,+,+,2b,1,.,2b,2a,2a
Prunus padus,hl,.,.,+,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,+,.,.,.,+,+,.,.,.,.,.,.,.,1,+,+,.,+,.,1,.,+,1,+,.,+,1,+
Taxus baccata,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,.,.,+,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Taxus baccata,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,r,.,.,.,.,.,.,.,.,r,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.
Malus sylvestris,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,r,.,.,.,.,.,.,.
Malus sylvestris,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Pyrus pyraster,sl,.,.,.,.,.,.,+,.,.,1,.,.,.,.,r,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Pyrus pyraster,hl,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prunus spinosa,sl,.,.,.,.,.,.,1,.,.,.,.,.,.,.,+,.,.,+,.,.,.,.,.,.,1,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prunus spinosa,hl,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,+,.,+,.,.,.,.,.,.,.,.,+,.,.,+,.,.,+,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Sambucus nigra,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,1,.,.,+,1,+,+,.,2b,1,+,+,1,1,.
Sambucus nigra,hl,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,+,.,+,.,.,.,1,1,+,+,+,+,.
Viburnum opulus,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,1,.,.,.,.,.,.,.,.,+,+,.,.,.,.,+,.,.,.,.,+,.,.,.
Viburnum opulus,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,+,.,.,.,+,.,+,+,.,.,1,+,.,.,.,.,.,+,1,+,+,+,.,+,.,.,.,+,+,.,+,.,.,.
Evonymus latifolia,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Evonymus latifolia,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,+,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Viburnum lantana,sl,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,+,+,+,1,+,1,1,+,+,.,.,+,2a,+,2a,+,+,+,+,1,2a,+,+,1,+,+,.,.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.
Viburnum lantana,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,+,+,+,+,.,+,.,+,.,.,+,+,1,+,1,+,+,+,+,+,1,+,1,+,1,.,.,.,.,+,+,+,1,.,.,+,+,+,+,.,.,+,.,.,.,.,.,.,.,.,.,.
Cornus sanguinea,sl,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,+,.,.,.,+,+,+,.,1,.,.,2a,1,.,2a,1,+,+,2a,2a,1,1,2a,.,.,.,.,.,.,.,1,.,.,.,.,.,.,2a,1,+,.,1,1,+,.,+,.,.,.,.,1,+,+
