taxon,matched.taxon
Laserpitium siler,Laserpitium siler ssp. siler
blank,NA
blank,NA
Carex humilis,Carex humilis
Teucrium montanum,Teucrium montanum
Polygala chamaebuxus,Polygala chamaebuxus
Amelanchier ovalis,Amelanchier ovalis
Coronilla vaginalis,Coronilla vaginalis
blank,NA
Vincetoxicum hirundinaria,Vincetoxicum hirundinaria
Polygonatum odoratum,Polygonatum odoratum
Anthericum ramosum,Anthericum ramosum
Peucedanum oreoselinum,Peucedanum oreoselinum
Geranium sanguineum,Geranium sanguineum
blank,NA
Origanum vulgare,Origanum vulgare ssp. vulgare
Clinopodium vulgare,Clinopodium vulgare ssp. vulgare
Inula conyza,Inula conyzae
blank,NA
Calamagrostis varia,Calamagrostis varia
Buphthalmum salicifolium,Buphthalmum salicifolium
Helianthemum nummularium,Helianthemum nummularium s.lat.
Carduus defloratus,Carduus defloratus ssp. viridis
Potentilla erecta,Potentilla erecta
blank,NA
Erica herbacea,Erica carnea
Convallaria majalis,Convallaria majalis ssp. majalis
Laserpitium latifolium,Laserpitium latifolium ssp. latifolium
Sesleria albicans,Sesleria caerulea s.str.
Carex sempervirens,Carex sempervirens ssp. sempervirens
Lotus corniculatus,Lotus corniculatus s.str.
Calamintha alpina,Clinopodium alpinum ssp. alpinum
Scabiosa columbaria,Scabiosa columbaria s.str.
Teucrium chamaedrys,Teucrium chamaedrys ssp. chamaedrys
Rhinanthus glacialis,Rhinanthus glacialis
Prunella grandiflora,Prunella grandiflora
Euphorbia cyparissias,Euphorbia cyparissias
Molinia arundinacea,Molinia arundinacea
Carlina acaulis,Carlina acaulis s.lat.
Thymus pulegioides,Thymus pulegioides s.lat.
Ranunculus nemorosus,Ranunculus nemorosus
Picea abies,Picea abies
Gymnadennia conopsea,Gymnadenia conopsea ssp. conopsea
Carex flacca,Carex flacca ssp. flacca
Stachys alopecuros,Betonica alopecuros
Hippocrepis comosa,Hippocrepis comosa
Cephalanthera longifolia,Cephalanthera longifolia
Galium boreale,Galium boreale s.str.
