Scabiosa columbaria;+;+;.;.;.;.;.;+;.;.;.;.;+;.;.;+;.;.;.;+;.;.;.;.;+
Teucrium chamaedrys;1;.;.;.;+;.;.;1;.;.;+;.;.;.;.;.;1;.;.;.;1;.;.;.;.
Rhinanthus glacialis;.;+;1;+;.;.;.;.;.;.;.;.;.;.;1;.;.;+;.;.;.;.;.;+;.
Prunella grandiflora;.;.;+;.;+;.;.;.;.;.;.;.;.;1;.;1;.;.;.;1;.;.;.;.;1
Euphorbia cyparissias;.;.;.;+;.;+;.;.;.;+;+;.;.;.;.;.;.;+;+;.;.;.;.;.;.
Molinia arundinacea;.;+;.;1;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;+
Carlina acaulis;.;.;+;.;+;.;.;.;.;+;.;+;.;+;.;.;.;.;.;.;.;.;.;.;.
Thymus pulegioides;.;.;.;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;+;.
Ranunculus nemorosus;.;.;.;+;.;.;+;+;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;+
Picea abies;.;.;.;.;.;.;+;.;+;.;+;.;.;.;.;+;.;.;.;.;.;.;.;.;+
Gymnadennia conopsea;.;.;.;.;.;.;.;.;+;.;.;+;+;+;.;.;.;.;.;+;.;.;.;.;.
Carex flacca;.;.;.;.;.;.;.;.;.;+;+;+;.;.;.;.;.;.;.;.;.;+;.;.;+
Stachys alopecuros;.;+;.;2;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.
Hippocrepis comosa;.;+;.;.;.;.;+;.;+;.;.;.;.;.;.;.;.;.;2;.;.;.;.;.;.
Cephalanthera longifolia;.;.;.;.;.;.;+;.;r;.;+;.;.;.;.;.;.;.;.;.;+;.;.;.;.
Galium boreale;.;.;.;.;.;.;.;+;.;.;.;.;.;2;.;+;.;.;.;.;.;+;.;.;.
