plot;cov;t1cov;t2cov;s1cov;hcov;mcov;htl1;htl2;hsl1;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;comment;type;alliance.code;alliance;association;soil;location;observer
zess01;100;0;75;15;97;1;0;15;5,5;0,5;0,2;16;16;E;40;0;0;0;2022-08-14;47.314170;12.793699;10;;forest;FAG-01A;Luzulo-Fagion sylvaticae Lohmeyer et Tx. in Tx. 1954;Luzulo-Fagetum Meusel 1937;;Zell am See, hangfuß Plettsaubergangfuß Plettsauberg;R. Kaiser
zess02;97;75;20;20;10;1;17;13;5,5;0,15;1;16;16;E;45;1;0;0;2022-08-14;47.314366;12.793225;10;;forest;FAG-01A;Luzulo-Fagion sylvaticae Lohmeyer et Tx. in Tx. 1954;Luzulo-Fagetum Meusel 1937;;Zell am See, hangfuß Plettsaubergangfuß Plettsauberg;R. Kaiser
zess03;100;80;30;7;5;0;20;15;6;0,5;0,1;16;16;E;40;0;0;0;2022-08-14;47.314189;12.793004;10;;forest;FAG-01A;Luzulo-Fagion sylvaticae Lohmeyer et Tx. in Tx. 1954;Luzulo-Fagetum Meusel 1937;;Zell am See, hangfuß Plettsaubergangfuß Plettsauberg;R. Kaiser
zess04;93;50;45;15;15;1;17;12;6,5;0,6;0,1;16;16;E;45;0;0;0;2022-08-14;47.313809;12.793082;10;;forest;FAG-01A;Luzulo-Fagion sylvaticae Lohmeyer et Tx. in Tx. 1954;Luzulo-Fagetum Meusel 1937;;Zell am See, hangfuß Plettsaubergangfuß Plettsauberg;R. Kaiser
zess05;95;50;25;7;65;1;23;16;5;0,9;0,2;16;16;E;45;0;0;0;2022-08-14;47.313574;12.793364;10;;forest;FAG-01A;Luzulo-Fagion sylvaticae Lohmeyer et Tx. in Tx. 1954;Luzulo-Fagetum Meusel 1937;;Zell am See, hangfuß Plettsaubergangfuß Plettsauberg;R. Kaiser
zess06;97;0;0;0;97;1;0;0;0;0,7;0,2;4;4;ESE;35;0;0;0;2022-08-14;47.301791;12.791724;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Pastinaco-Arrhenatheretum Passarge 1964;;Zell am See, Südportal Schmittentunnel;R. Kaiser
zess07;99;0;0;0;99;1;0;0;0;0,45;0,2;4;4;W;30;0;0;0;2022-08-14;47.301304;12.791229;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Pastinaco-Arrhenatheretum Passarge 1964;;Zell am See, Südportal Schmittentunnel;R. Kaiser
zess08;99;0;0;0;99;1;0;0;0;0,95;0,35;4;4;F;0;0;1;0;2022-05-18;47.284575;12.807981;10;;wet meadow;MOL-05B;Calthion palustris Tx. 1937;;;Bruck an der Großglocknerstraße, Brucker Moos;T. Eberl
zess09;100;0;0;0;100;1;0;0;0;0,9;0,35;4;4;F;0;0;0;0;2022-05-18;47.284883;12.808781;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Bruck an der Großglocknerstraße, Brucker Moos;T. Eberl
zess10;100;0;0;0;100;1;0;0;0;0,8;0,35;4;4;E;7;0;0;0;2022-05-18;47.285095;12.805354;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Bruck an der Großglocknerstraße, Brucker Moos;T. Eberl
zess11;100;0;0;0;100;1;0;0;0;1;0,3;4;4;F;0;0;0;0;2022-05-18;47.284462;12.806595;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Bruck an der Großglocknerstraße, Brucker Moos;T. Eberl
zess12;98;0;0;0;98;1;0;0;0;0,6;0,35;4;4;F;0;0;2;0;2022-05-18;47.284959;12.805841;10;;wet meadow;MOL-05B;Calthion palustris Tx. 1937;;;Bruck an der Großglocknerstraße, Brucker Moos;T. Eberl
zess13;99;0;0;0;99;1;0;0;0;0,7;0,3;4;4;F;0;0;1;0;2022-05-18;47.286123;12.805608;10;;wet meadow;MOL-05B;Calthion palustris Tx. 1937;;;Bruck an der Großglocknerstraße, Brucker Moos;T. Eberl
zess14;99;0;0;0;99;1;0;0;0;0,9;0,35;4;4;F;0;0;1;0;2022-05-18;47.286242;12.806280;10;;wet meadow;MOL-05B;Calthion palustris Tx. 1937;;;Bruck an der Großglocknerstraße, Brucker Moos;T. Eberl
zess15;99;0;0;0;99;1;0;0;0;0,9;0,35;4;4;F;0;0;1;0;2022-05-18;47.287633;12.806860;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Bruck an der Großglocknerstraße, Brucker Moos;T. Eberl
zess16;98;0;0;0;98;1;0;0;0;0,8;0,3;4;4;F;0;0;2;0;2022-05-18;47.287443;12.807647;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Bruck an der Großglocknerstraße, Brucker Moos;T. Eberl
zess17;100;0;0;0;100;1;0;0;0;0,8;0,35;4;4;F;0;0;0;0;2022-05-18;47.289196;12.805883;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Bruck an der Großglocknerstraße, Brucker Moos;T. Eberl
zess18;100;0;0;0;100;1;0;0;0;0,9;0,35;4;4;E;7;0;0;0;2022-05-18;47.289193;12.805435;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Bruck an der Großglocknerstraße, Brucker Moos;T. Eberl
zess19;99;0;0;0;98;1;0;0;0;0,9;0,3;4;4;F;0;0;1;0;2022-05-18;47.287749;12.805562;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Bruck an der Großglocknerstraße, Brucker Moos;T. Eberl
zess20;99;0;0;0;99;1;0;0;0;0,9;0,3;4;4;F;0;0;1;0;2022-05-18;47.285420;12.806368;10;;wet meadow;MOL-05B;Calthion palustris Tx. 1937;;;Bruck an der Großglocknerstraße, Brucker Moos;T. Eberl
zess21;99;0;0;0;99;1;0;0;0;0,85;0,3;4;4;E;5;0;1;0;2022-05-18;47.302376;12.791661;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Zell am See, Südportal Schmittentunnel;T. Eberl
zess22;96;0;0;0;96;1;0;0;0;1;0,3;4;4;E;20;0;4;0;2022-05-18;47.314629;12.793778;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Pastinaco-Arrhenatheretum Passarge 1964;;Zell am See, Hangfuß Plettsauberg;T. Eberl
zess23;99;0;0;0;99;1;0;0;0;0,9;0,35;4;4;F;0;0;1;0;2022-05-18;47.353890;12.799065;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Maishofen, Unterreit;T. Eberl
zess24;99;0;0;0;99;1;0;0;0;0,75;0,35;4;4;F;0;0;1;0;2022-05-18;47.353453;12.799084;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Maishofen, Unterreit;T. Eberl
zess25;99;0;0;0;99;1;0;0;0;0,75;0,3;4;4;F;0;0;1;0;2022-05-18;47.353209;12.797715;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Maishofen, Unterreit;T. Eberl
zess26;100;0;0;0;100;1;0;0;0;0,8;0,35;4;4;F;0;0;0;0;2022-05-19;47.352661;12.799261;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Maishofen, Unterreit;T. Eberl
zess27;100;0;0;0;100;1;0;0;0;0,7;0,3;4;4;E;7;0;0;0;2022-05-19;47.352620;12.797574;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Maishofen, Unterreit;T. Eberl
zess28;100;0;0;0;100;1;0;0;0;0,85;0,35;4;4;N;15;0;0;0;2022-05-19;47.352018;12.798091;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Maishofen, Unterreit;T. Eberl
zess29;100;0;0;0;100;1;0;0;0;0,9;0,3;4;4;F;0;0;0;0;2022-05-19;47.351595;12.799242;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Maishofen, Unterreit;T. Eberl
zess30;100;0;0;0;100;1;0;0;0;0,7;0,35;4;4;F;0;0;0;0;2022-05-19;47.350835;12.798840;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Maishofen, Unterreit;T. Eberl
zess31;100;0;0;0;100;1;0;0;0;0,7;0,35;4;4;F;0;0;0;0;2022-05-19;47.349754;12.798881;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Maishofen, Unterreit;T. Eberl
zess32;99;0;0;0;99;1;0;0;0;0,7;0,35;4;4;F;0;0;1;0;2022-05-19;47.350701;12.797682;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Maishofen, Unterreit;T. Eberl
zess33;100;0;0;0;100;1;0;0;0;0,75;0,3;4;4;F;0;0;0;0;2022-05-19;47.350729;12.796627;10;;meadow;MOL-01A;Arrhenatherion elatioris Luquet 1926;Ranunculo repentis-Alopecuretum pratensis Ellmauer 1993;;Maishofen, Unterreit;T. Eberl
