plot,cov,tcov1,tcov2,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,location,comment,latitude,longitude,accuracy,alliance,alliance.author,soil,rope,observer
lp11,85,10,45,30,70,1,9,7,4.5,0.8,0.3,16,16,S,60,30,0,0,2014-09-28,"Luegpalfen, W Eisenbahntunnel",im Zentrum ein Baumstumpf,47.568252,13.175201,10,Cephalanthero Fagenion,Luquet 1926,,,R. Kaiser
lp12,98,80,60,15,60,1,18,10,4,0.6,0.2,16,16,S,40,10,0,0,2014-09-28,"Luegpalfen, W Eisenbahntunnel",,47.567944,13.175500,20,Cephalanthero Fagenion,Luquet 1926,Mull-Rendzina,,R. Kaiser
lp13,90,40,50,50,55,1,12,9,4,0.7,0.25,10,25,S,65,50,0,0,2014-09-28,"Luegpalfen, E Autobahntunnel",ab Abseilpunkt abwärts,47.567578,13.174326,10,Tilenion platyphylli,(Moor 1973) Müller 1992,Mull-Rendzina,"rope betray (lp13-lp14'): 47.567780N, 13.174300E, rope range (lp13-lp14'' 100m!): 47.567200N, 13.174230E",R. Kaiser
lp14,80,35,25,55,35,2,12,8,4,0.7,0.25,16,16,S,60,60,0,0,2014-09-28,"Luegpalfen, E Autobahntunnel",am Fuß des Felshanges,47.567250,13.174270,10,Tilenion platyphylli,(Moor 1973) Müller 1992,,"rope betray (lp13-lp14'): 47.567780N, 13.174300E, rope range (lp13-lp14'' 100m!): 47.567200N, 13.174230E",R. Kaiser
lp15,65,0,15,60,40,2,0,5,3,0.8,0.3,16,16,S,70,60,0,0,2014-10-06,"Luegpalfen, oberhalb Autobahntunnel",,47.567200,13.172242,10,Tilenion platyphylli,(Moor 1973) Müller 1992,,,R. Kaiser
lp16,80,0,10,70,25,2,0,5,2.5,0.3,0.05,8,8,S,70,75,0,0,2014-11-03,"Salzachöfen, rechstufrig",oberhalb eienr Bank mit M. domestica,47.577695,13.190430,20,Berberidion,Br.-Bl. ex Tx. 1952,,,R. Kaiser
lp17,85,40,35,60,50,5,10,7,2.5,0.8,0.3,25,10,S,70,50,0,0,2014-11-03,"Salzachöfen, rechstufrig",,47.578773,13.18778,20,Tilenion platyphylli,(Moor 1973) Müller 1992,,,R. Kaiser
lp18,99,50,55,30,85,40,28,18,5,0.6,0.3,16,16,S,25,0,0,90,2015-06-01,"Luegpalfen, Unterhang zwischen Tunneln",in der Mitte ein alter Drahtzaun,47.566703,13.175817,10,Tilenion platyphylli,(Moor 1973) Müller 1992,verbraunte lehmige Rendzina mit Blockschutt,,R. Kaiser
lp19,70,20,50,75,20,3,13,9,5,0.6,0.3,16,16,S,15,0,0,100,2015-06-01,"Luegpalfen, Unterhang zwischen Tunneln",,47.566988,13.175727,10,Tilenion platyphylli,(Moor 1973) Müller 1992,,,R. Kaiser
lp20,80,25,50,50,40,1,13,9,5,0.9,0.3,16,16,S,20,0,0,100,2015-06-01,"Luegpalfen, Unterhang zwischen Tunneln",am Wandfuss,47.567005,13.175058,10,Tilenion platyphylli,(Moor 1973) Müller 1992,Rieselhumus in Blockwerk,,R. Kaiser
lp21,95,75,25,55,60,3,18,13,6,0.7,0.3,16,16,S,30,0,0,100,2015-06-01,"Luegpalfen, Unterhang zwischen Tunneln",Zentrum bei großem A. platanoides,47.567038,13.174430,10,Tilenion platyphylli,(Moor 1973) Müller 1992,,,R. Kaiser
lp22,99,65,75,55,20,35,22,13,6,0.6,0.25,16,16,S,25,0,0,100,2015-06-01,"Luegpalfen, Unterhang zwischen Tunneln",,47.567001,13.174190,10,Tilenion platyphylli,(Moor 1973) Müller 1992,,,R. Kaiser
lp23,97,20,40,80,15,1,14,9,5,0.8,0.15,16,16,S,30,0,0,100,2015-06-01,"Luegpalfen, Unterhang zwischen Tunneln",,47.567104,13.172956,10,Tilenion platyphylli,(Moor 1973) Müller 1992,,,R. Kaiser
lp24,99,80,25,25,25,80,24,19,5,0.6,0.25,16,16,S,15,0,0,100,2015-06-01,"Luegpalfen, Unterhang zwischen Tunneln",,47.566759,13.173608,10,Tilenion platyphylli,(Moor 1973) Müller 1992,,,R. Kaiser
lp25,95,0,40,85,80,2,0,8,4,1,0.15,16,16,SW,70,20,0,0,2015-06-01,"Salzachöfen, Amonitenwand",zwischen den Seilversicherungen,47.578716,13.192402,10,Tilenion platyphylli,(Moor 1973) Müller 1992,Rendzina,,R. Kaiser
lp26,97,65,55,50,65,25,10,8,3.5,0.7,0.2,16,16,SW,55,40,0,0,2015-06-01,"Salzachöfen, Amonitenwand",oberhalb der Seilversicherung ,47.578841,13.192595,10,Tilenion platyphylli,(Moor 1973) Müller 1992,Mull-Rendzina,,R. Kaiser
lp27,98,70,35,40,35,30,23,14,5,0.4,0.2,16,16,S,15,0,0,100,2015-06-01,"Luegpalfen, Unterhang zwischen Tunneln",,47.566867,13.177985,10,Tilenion platyphylli,(Moor 1973) Müller 1992,,,R. Kaiser
