plot,abbr,layer,cover,comment,voucher,history
hg06,sesl caer,hl,1,,,
hg06,sile acau long,hl,+,,,
hg06,tofi pusi,hl,1,,,
hg06,vacc viti,hl,+,,,
hg06,calo spec ies,ml,+,,,
hg06,cetr isla isla,ml,+,,,
hg06,clad macr eras,ml,+,,,
hg06,clad unci slat,ml,+,,,
hg06,flav cucu,ml,+,,,
hg06,flav niva,ml,+,,,
hg06,hylo sple,ml,+,,,
hg06,pleu schr,ml,+,,,
hg06,pseu furf slat,ml,+,,,
hg06,rhyt rugo,ml,1,,,
hg06,tham verm verm,ml,+,,,
hg06,vulp tubu,ml,r,,,
hg07,care firm,hl,3,,,
hg07,cham alpi,hl,+,,,
hg07,crep terg,hl,2m,,,
hg07,drya octo,hl,2a,,,
hg07,euph mini,hl,+,,,
hg07,euph sali,hl,+,,,
hg07,hedy hedy hedy,hl,r,,,
hg07,heli alpe,hl,+,,,
hg07,kobr simp,hl,r,,,
hg07,minu sedo,hl,+,,,
hg07,oxyt mont,hl,r,,2013-0221,
hg07,pedi rost tata,hl,+,,,
hg07,pers vivi,hl,+,,,
hg07,prim mini,hl,+,,,
hg07,sali serp,hl,r,,,
hg07,saxi caes,hl,r,,,
hg07,sela sela,hl,+,,,
hg07,sile acau long,hl,+,,,
hg07,tofi pusi,hl,+,,,
hg07,calo spec ies,ml,+,,,
hg07,cetr isla isla,ml,+,,,
hg07,flav cucu,ml,+,,,
hg07,flav niva,ml,+,,,
hg07,tham verm verm,ml,+,,,
hg07,tort tort,ml,+,,,
hg07,vulp tubu,ml,1,,,
hg08,agro alpi,hl,+,,,
hg08,agro rupe rupe,hl,1,,2013-0225,
hg08,anth alpi,hl,+,,,
hg08,camp sche,hl,+,,,
hg08,care capi,hl,+,,,
hg08,care firm,hl,+,,,
hg08,care semp semp,hl,+,,,
hg08,desc cesp,hl,r,,,
hg08,diph alpi,hl,1,,2013-0223,
hg08,drya octo,hl,+,,,
hg08,euph mini,hl,+,,,
hg08,fest pumi,hl,+,,,
hg08,fest rupi rina,hl,+,,2013-0224,
hg08,gali nori,hl,r,,,
hg08,gent bava suba,hl,r,,,
hg08,gent niva,hl,+,,,
hg08,gent vern vern,hl,+,,,
hg08,gnap supi,hl,2b,,2013-0226,
hg08,homo alpi,hl,1,,,
hg08,kobr myos,hl,+,,,
hg08,luzu alpi na,hl,+,,2013-0228,
hg08,luzu spic spic,hl,r,,2013-0227,
hg08,minu sedo,hl,+,,,
hg08,pach mute,hl,1,,2013-0220,
hg08,pers vivi,hl,+,,,
hg08,poa alpi,hl,+,,,
hg08,pote aure,hl,2m,,,
hg08,pote brau,hl,+,,,
hg08,prim mini,hl,3,,,
hg08,ranu alpe,hl,+,,,
hg08,sali herb,hl,+,,,
hg08,sali serp,hl,+,,,
hg08,scor helv,hl,2a,,2013-0222,
hg08,sela sela,hl,+,,,
hg08,sesl caer,hl,1,,,
hg08,sibb proc,hl,+,,,
hg08,sold pusi alpi,hl,+,,2013-0219,
hg08,vacc viti,hl,+,,,
hg08,vero alpi,hl,+,,,
hg08,cetr isla isla,ml,+,,,
hg08,clad pyxi,ml,+,,,
hg08,poly juni,ml,+,,,
hg08,raco lanu,ml,+,,,
hg08,tort tort,ml,+,,,
hg09,agro alpi,hl,2a,,,
hg09,andr cham,hl,+,,,
hg09,anem narc,hl,r,,,
hg09,ante carp,hl,r,,,
hg09,anth alpi,hl,+,,,
hg09,aven vers,hl,1,,,
hg09,camp sche,hl,+,,,
hg09,care atra,hl,+,,,
hg09,care capi,hl,+,,,
hg09,care firm,hl,+,,,
hg09,care semp semp,hl,2a,,,
hg09,cham alpi,hl,+,,,
hg09,euph mini,hl,+,,,
hg09,gali nori,hl,+,,,
hg09,heli alpe,hl,+,,,
hg09,junc mona,hl,+,,,
hg09,kobr myos,hl,3,,,
hg09,luzu alpi na,hl,2a,,2013-0229,
hg09,minu sedo,hl,+,,,
hg09,pach mute,hl,+,,,
hg09,pers vivi,hl,+,,,
hg09,prim mini,hl,+,,,
hg09,sela sela,hl,+,,,
hg09,sesl caer,hl,2a,,,
hg09,clad pyxi,ml,+,,,
hg09,clad rang,ml,+,,,
hg09,clad unci slat,ml,+,,,
hg09,flav cucu,ml,+,,,
hg09,flav niva,ml,+,,,
hg09,tham verm verm,ml,+,,,
hg09,vulp tubu,ml,+,,,
hg10,agro alpi,hl,2a,,,
hg10,andr cham,hl,+,,,
hg10,aven vers,hl,+,,,
hg10,camp alpi,hl,+,,,
hg10,care atra,hl,+,,,
hg10,care capi,hl,1,,,
hg10,care firm,hl,3,,,
hg10,care parv,hl,+,,,
hg10,care semp semp,hl,+,,,
hg10,cham alpi,hl,+,,,
hg10,drya octo,hl,2a,,,
hg10,euph mini,hl,+,,,
hg10,euph sali,hl,+,,,
hg10,fest pumi,hl,1,,,
hg10,gent aspe,hl,+,,2013-0231,
hg10,gent vern vern,hl,+,,,
hg10,heli alpe,hl,+,,,
hg10,junc jacq,hl,+,,,
hg10,kobr myos,hl,+,,,
hg10,kobr simp,hl,1,,,
hg10,nigr nigr aust,hl,+,,2013-0230,
hg10,oxyt mont,hl,r,,,
hg10,pach mute,hl,r,,,
hg10,pedi rost tata,hl,+,,,
hg10,pers vivi,hl,+,,,
hg10,prim mini,hl,2b,,,
hg10,ranu alpe,hl,+,,,
hg10,sela sela,hl,+,,,
hg10,sesl caer,hl,1,,,
hg10,sile acau long,hl,+,,,
hg10,tofi pusi,hl,+,,,
hg10,vacc viti,hl,+,,,
hg10,cetr isla isla,ml,+,,,
hg10,clad unci slat,ml,+,,,
hg10,flav cucu,ml,+,,,
hg10,flav niva,ml,+,,,
hg10,tham verm verm,ml,+,,,
hg10,tort tort,ml,+,,,
hg10,unde alga,ml,+,,,
