plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;location;observer
fw01;100;0;0;0;100;10;0;0;0;0,5;0,3;4;4;ENE;5;0;0;0;2016-09-08;48.556540;13.532353;10;Arrhenatherion elatoris;Arrhenatherion elatoris;;meadow;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw02;100;0;0;0;100;3;0;0;0;0,4;0,15;8;2;ENE;5;0;0;0;2016-09-08;48.556671;13.532496;10;Arrhenatherion elatoris;Arrhenatherion elatoris;;along forest fringe;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw03;97;0;0;90;80;45;0;0;4,5;0,8;0,6;8;8;NE;6;0;0;0;2016-09-08;48.556134;13.532918;10;Sambuco-Salicion capreae;Sambuco-Salicion capreae;;previous stand Bazzanio Piceetum;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw04;90;70;15;3;1;75;22;15;4;0,4;0,05;16;16;ESE;3;0;0;0;2016-09-08;48.555334;13.533002;10;unclassified;unclassified;;altered Bazzanio Piceetum;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw05;95;95;5;1;1;10;27;15;1;0,3;0,05;16;16;SSE;2;0;0;0;2016-09-08;48.554922;13.531782;10;unclassified;unclassified;;spruce planation;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw06;97;90;0;0;1;75;19;0;0;0,2;0,05;16;16;SE;4;0;0;0;2016-09-08;48.554614;13.531812;10;unclassified;unclassified;;spruce planation;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw07;97;93;0;2;1;85;25;0;2,5;0,3;0,05;16;16;S;2;0;0;0;2016-09-08;48.554845;13.531266;10;unclassified;unclassified;;spruce planation;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw08;95;95;0;0;1;7;18;0;0;0,2;0,05;16;16;SSE;1;0;0;0;2016-09-08;48.555241;13.531605;10;unclassified;unclassified;;spruce planation;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw09;95;95;0;0;1;5;16;0;0;0,2;0,05;16;16;SSE;6;0;0;0;2016-09-09;48.554714;13.532816;10;unclassified;unclassified;;spruce planation;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw10;100;60;6;35;90;95;26;7;3;0,4;0,2;16;16;SE;5;0;0;0;2016-09-09;48.554994;13.534010;10;Vaccinio-Piceion;Vaccinio-Piceion;;;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw11;99;70;7;35;90;90;28;8;4;0,5;0,2;16;16;ENE;5;0;0;0;2016-09-09;48.555476;13.534188;10;Vaccinio-Piceion;Vaccinio-Piceion;;;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw12;100;70;3;60;85;80;30;12;3;0,5;0,2;16;16;NE;5;0;0;0;2016-09-09;48.555721;13.533440;10;Vaccinio-Piceion;Vaccinio-Piceion;;;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw13;97;50;20;50;60;85;28;20;4;0,6;0,2;16;16;E;1;0;0;0;2016-09-09;48.555554;13.532376;10;Vaccinio-Piceion;Vaccinio-Piceion;;somehow altered Bazzanio Piceetum;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw14;97;50;3;65;80;90;30;14;3;0,6;0,2;16;16;NE;3;0;0;0;2016-09-09;48.555661;13.532958;10;Vaccinio-Piceion;Vaccinio-Piceion;;;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw15;97;70;3;80;60;80;32;18;4;0,6;0,1;16;16;NE;18;0;0;0;2016-09-09;48.556527;13.533374;10;Fagion sylvaticae;Fagion sylvaticae;;;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw16;100;0;85;65;50;3;0;8;3;1;0,2;16;16;NNE;10;0;0;0;2016-09-09;48.556475;13.535265;10;Sambuco-Salicion capreae;Sambuco-Salicion capreae;;;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw17;100;0;90;25;70;30;0;8;3;0,9;0,1;16;16;NNE;12;0;0;0;2016-09-09;48.556277;13.534520;10;Sambuco-Salicion capreae;Sambuco-Salicion capreae;;;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw18;100;0;1;50;95;0;0;7;3;1,3;0,2;8;8;NNE;9;0;0;0;2016-09-09;48.555835;13.535487;10;Sambuco-Salicion capreae;Sambuco-Salicion capreae;;;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
fw19;100;85;15;3;95;15;16;13;4;0,6;0,25;16;16;NNE;5;0;0;0;2016-09-09;48.555760;13.535944;10;unclassified;unclassified;;artificial forest;Faberwald (Edtwald) SE Freinberg;T. Eberl & R. Kaiser
