plot;abbr;layer;cov;voucher;determined;history
hd01;fagu sylv;tl1;5;;;
hd01;fagu sylv;tl2;2b;;;
hd01;frax exce;hl;+;;;
hd01;frax exce;tl2;2a;;;
hd01;acer pseu;tl1;2b;;;
hd01;acer pseu;tl2;1;;;
hd01;card bulb;hl;+;;;
hd01;poly vert;hl;+;;;
hd01;alli ursi ursi;hl;5;;;
hd01;dryo fili;hl;1;;;
hd01;card enne;hl;1;;;
hd01;aden alli;hl;+;;;
hd01;rubu sect rubu;hl;r;;;
hd01;athy fili;hl;1;;;
hd01;symp tube slat;hl;r;;;
hd01;merc pere;hl;r;;;
hd01;card trif;hl;1;;;
hd01;poly acul;hl;+;;;
hd02;acer pseu;hl;+;;;
hd02;aden alli;hl;+;;;
hd02;anem nemo;hl;+;;;
hd02;athy fili;hl;+;;;
hd02;brac sylv;hl;+;;;
hd02;cala vari;hl;2a;;;
hd02;card enne;hl;1;;;
hd02;card trif;hl;1;;;
hd02;care flac;hl;+;;;
hd02;care sylv;hl;+;;;
hd02;cycl purp;hl;2m;;;
hd02;daph meze;hl;+;;;
hd02;dryo fili;hl;1;;;
hd02;fagu sylv;hl;2b;;;
hd02;frax exce;hl;+;;;
hd02;gale mont;hl;+;;;
hd02;gali odor;hl;+;;;
hd02;meli nuta;hl;+;;;
hd02;merc pere;hl;2a;;;
hd02;neot nidu;hl;r;;;
hd02;poly acul;hl;1;;;
hd02;poly vert;hl;2a;;;
hd02;pren purp;hl;+;;;
hd02;pulm offi;hl;+;;;
hd02;rosa pend;hl;+;;;
hd02;rubu idae;hl;+;;;
hd02;rubu sect rubu;hl;+;;;
hd02;sene ovat ovat;hl;+;;;
hd02;viol reic;hl;r;;;
hd02;fagu sylv;sl;3;;;
hd02;fagu sylv;tl1;5;;;
hd02;frax exce;tl1;2a;Almost dead standing tree, ash dieback;;
hd02;fagu sylv;tl2;2a;;;
hd02;pice abie;tl2;2a;;;
hd03;acer pseu;hl;+;;;
hd03;aden alli;hl;1;;;
hd03;alli ursi ursi;hl;+;;;
hd03;anem nemo;hl;+;;;
hd03;brac sylv;hl;+;;;
hd03;card bulb;hl;r;;;
hd03;card enne;hl;+;;;
hd03;card trif;hl;1;;;
hd03;care sylv;hl;+;;;
hd03;cycl purp;hl;+;;;
hd03;dryo fili;hl;2a;;;
hd03;fagu sylv;hl;+;;;
hd03;frax exce;hl;+;;;
hd03;gale mont;hl;+;;;
hd03;gali odor;hl;1;;;
hd03;hell nige;hl;+;;;
hd03;lysi nemo;hl;r;;;
hd03;oxal acet;hl;2a;;;
hd03;poly acul;hl;1;;;
hd03;poly vert;hl;1;;;
hd03;sene ovat ovat;hl;r;;;
hd03;viol reic;hl;+;;;
hd03;fagu sylv;sl;1;;;
hd03;fagu sylv;tl1;5;;;
hd03;fagu sylv;tl2;2b;;;
hd04;acer pseu;hl;+;;;
hd04;aden alli;hl;1;;;
hd04;anem nemo;hl;+;;;
hd04;athy fili;hl;+;;;
hd04;card enne;hl;2a;;;
hd04;card trif;hl;+;;;
hd04;care sylv;hl;2a;;;
hd04;cycl purp;hl;1;;;
hd04;daph laur;hl;r;;;
hd04;dryo fili;hl;1;;;
hd04;fagu sylv;hl;+;;;
hd04;frax exce;hl;+;;;
hd04;gali odor;hl;1;;;
hd04;hell nige;hl;1;;;
hd04;hype hirs;hl;+;;;
hd04;merc pere;hl;+;;;
hd04;oxal acet;hl;+;;;
hd04;poly acul;hl;+;;;
hd04;poly vert;hl;1;;;
hd04;prim elat;hl;r;;;
hd04;rubu idae;hl;+;;;
hd04;sani euro;hl;r;;;
hd04;thal aqui;hl;r;;;
hd04;viol reic;hl;+;;;
hd04;fagu sylv;tl1;5;;;
hd05;acer pseu;hl;+;;;
hd05;ajug rept;hl;+;;;
hd05;alli ursi ursi;hl;3;;;
hd05;anem nemo;hl;+;;;
hd05;arct minu;hl;r;;;
hd05;astr glyc;hl;+;;;
hd05;athy fili;hl;1;;;
hd05;atro bell;hl;1;;;
hd05;brac sylv;hl;2a;;;
hd05;cala epig;hl;3;;;
hd05;cala vari;hl;2b;;;
hd05;card enne;hl;+;;;
hd05;card impa;hl;+;;;
hd05;card trif;hl;+;;;
hd05;care flac;hl;2a;;;
hd05;care poly;hl;r;;;
hd05;care sylv;hl;+;;;
hd05;cirs arve;hl;1;;;
hd05;cirs palu;hl;1;;;
hd05;clem vita;hl;2a;;;
hd05;clin vulg vulg;hl;+;;;
hd05;digi gran;hl;1;;;
hd05;dryo fili;hl;+;;;
hd05;eupa cann;hl;1;;;
hd05;frag vesc;hl;+;;;
hd05;gali odor;hl;+;;;
hd05;hera aust aust;hl;r;;;
hd05;hype hirs;hl;+;;;
hd05;hype perf;hl;+;;;
hd05;lath prat prat;hl;+;;;
hd05;meli nuta;hl;+;;;
hd05;merc pere;hl;1;;;
hd05;orig vulg;hl;+;;;
hd05;poly acul;hl;+;;;
hd05;poly vert;hl;1;;;
hd05;pulm offi;hl;+;;;
hd05;rubu idae;hl;+;;;
hd05;salv glut;hl;1;;;
hd05;samb ebul;hl;2a;;;
hd05;sene nemo slat;hl;r;;;
hd05;soli virg virg;hl;+;;;
hd05;sorb aria;hl;r;;;
hd05;vero cham cham;hl;+;;;
hd05;acer pseu;sl;+;;;
hd05;fagu sylv;sl;2b;;;
hd05;frax exce;sl;2a;;;
hd05;abie alba;tl2;1;;;
hd05;fagu sylv;tl2;1;;;
