plot,abbr,layer,cov,voucher,determined,history
ew01,pice abie,tl1,5,,,
ew01,vacc myrt,hl,+,,,
ew01,dryo cart,hl,+,,,
ew01,abie alba,sl,+,,,
ew01,hylo sple,ml,5,,,
ew01,bazz tril,ml,1,,,
ew01,dicr denu,ml,+,,,
ew01,pleu schr,ml,1,,,
ew01,dicr scop,ml,+,,,
ew01,poly form,ml,+,,cf.,
ew01,hypn cupr,ml,+,,,
ew02,pice abie,tl1,5,,,
ew02,abie alba,hl,+,,,
ew02,fran alnu,hl,r,,,
ew02,care pilu pilu,hl,r,,,
ew02,vacc myrt,hl,+,,,
ew02,aven flex flex,hl,+,,,
ew02,hylo sple,ml,4,,,
ew02,bazz tril,ml,1,,,
ew02,brac ruta,ml,2b,,cf.,
ew02,dicr denu,ml,+,,,
ew02,poly form,ml,+,,,
ew02,leuc glau,ml,+,,,
ew02,dicr scop,ml,+,,,
ew02,scle puru,ml,+,,,
ew03,pice abie,tl1,5,,,
ew03,abie alba,sl,+,,,
ew03,abie alba,hl,2a,,,
ew03,fran alnu,sl,+,,,
ew03,sorb aucu aucu,sl,r,,,
ew03,vacc myrt,hl,2b,,,
ew03,dryo cart,hl,1,,,
ew03,quer robu,hl,r,,,
ew03,care pilu pilu,hl,r,,,
ew03,rubu sect rubu,hl,r,,,
ew03,hylo sple,ml,2b,,,
ew03,aven flex flex,hl,1,,,
ew03,poly form,ml,2a,,,
ew03,dicr scop,ml,2b,,,
ew03,pleu schr,ml,3,,,
ew03,dicr spec ies,ml,1,,,
ew03,leuc glau,ml,+,,,
ew03,unde bryo,ml,2b,,,
ew04,abie alba,tl1,3,,,
ew04,abie alba,tl2,2a,,,
ew04,abie alba,sl,1,,,
ew04,abie alba,hl,+,,,
ew04,pice abie,tl1,4,,,
ew04,pice abie,sl,1,,,
ew04,fran alnu,sl,1,,,
ew04,fran alnu,hl,+,,,
ew04,betu pend,hl,+,,,
ew04,vacc myrt,hl,3,,,
ew04,dryo cart,hl,1,,,
ew04,sorb aucu aucu,hl,+,,,
ew04,quer robu,hl,r,,,
ew04,hylo sple,ml,3,,,
ew04,spha girg,ml,1,,,
ew04,bazz tril,ml,2b,,,
ew04,pleu schr,ml,1,,,
ew04,poly form,ml,2b,,,
ew04,poly comm,ml,+,,cf.,
ew04,plag laet secu,ml,1,,,
ew04,dicr denu,ml,1,,,
ew04,leuc glau,ml,1,,,
ew04,dicr scop,ml,1,,,
ew05,pice abie,tl1,3,,,
ew05,pice abie,tl2,1,,,
ew05,pice abie,sl,1,,,
ew05,pice abie,hl,2a,,,
ew05,abie alba,tl1,4,,,
ew05,abie alba,tl2,2a,,,
ew05,abie alba,sl,1,,,
ew05,abie alba,hl,2a,,,
ew05,fran alnu,sl,2a,,,
ew05,fran alnu,hl,+,,,
ew05,sorb aucu aucu,hl,+,,,
ew05,quer robu,hl,r,,,
ew05,vacc myrt,hl,4,,,
ew05,dryo cart,hl,1,,,
ew05,aven flex flex,hl,+,,,
ew05,pleu schr,ml,3,,,
ew05,spha girg,ml,2b,,,
ew05,poly form,ml,1,,,
ew05,poly comm,ml,+,,cf.,
ew05,hypn cupr,ml,+,,,
ew05,bazz tril,ml,2b,,,
ew05,hylo sple,ml,2a,,,
ew05,leuc glau,ml,+,,,
ew05,dicr scop,ml,+,,,
ew05,dicr denu,ml,1,,,
ew05,plag laet secu,ml,1,,,
ew06,abie alba,tl1,2a,,,
ew06,abie alba,sl,2a,,,
ew06,abie alba,hl,3,,,
ew06,pice abie,tl1,4,,,
ew06,pice abie,sl,1,,,
ew06,pice abie,hl,+,,,
ew06,fran alnu,sl,+,,,
ew06,fran alnu,hl,+,,,
ew06,sorb aucu aucu,hl,+,,,
ew06,vacc myrt,hl,3,,,
ew06,dryo cart,hl,1,,,
ew06,aven flex flex,hl,1,,,
ew06,hylo sple,ml,3,,,
ew06,poly form,ml,2a,,,
ew06,dicr scop,ml,1,,,
ew06,pleu schr,ml,2a,,,
ew06,bazz tril,ml,1,,,
ew06,plag laet secu,ml,2b,,,
ew06,dicr denu,ml,+,,,
ew07,pice abie,tl1,4,,,
ew07,pice abie,sl,2a,,,
ew07,pice abie,hl,1,,,
ew07,abie alba,tl1,3,,,
ew07,abie alba,tl2,2b,,,
ew07,abie alba,sl,1,,,
ew07,abie alba,hl,+,,,
ew07,pinu sylv,tl1,1,,,
ew07,sorb aucu aucu,hl,r,,,
ew07,vacc myrt,hl,4,,,
ew07,spha capi,ml,3,,spha fimb?,
ew07,bazz tril,ml,3,,,
ew07,pleu schr,ml,1,,,
ew07,poly form,ml,1,,,
ew07,poly comm,ml,+,,cf.,
ew07,dicr scop,ml,+,,,
ew07,dicr denu,ml,+,,,
ew07,hypn cupr,ml,1,,,
ew07,hylo sple,ml,1,,,
ew07,clad spec ies,ml,+,,,
ew07,leuc glau,ml,+,,,
ew08,pice abie,tl1,3,,,
ew08,abie alba,tl1,2a,,,
ew08,abie alba,tl2,3,,,
ew08,abie alba,sl,2b,,,
ew08,abie alba,hl,2a,,,
ew08,pinu sylv,tl1,3,,,
ew08,betu pend,tl1,1,,,
ew08,quer robu,tl2,1,,,
ew08,sorb aucu aucu,hl,+,,,
ew08,vacc myrt,hl,3,,,
ew08,fran alnu,hl,+,,,
ew08,hylo sple,ml,3,,,
ew08,pleu schr,ml,3,,,
ew08,plag laet secu,ml,2a,,,
ew08,spha girg,ml,1,,,
ew08,hypn cupr,ml,1,,,
ew08,poly form,ml,1,,,
ew08,bazz tril,ml,+,,,
ew08,dicr scop,ml,+,,,
ew09,pice abie,tl1,4,,,
ew09,pinu sylv,tl1,2b,,,
ew09,fran alnu,hl,+,,,
ew09,vacc myrt,hl,1,,,
ew09,aven flex flex,hl,1,,,
ew09,abie alba,sl,1,,,
ew09,abie alba,hl,+,,,
ew09,tara sect rude,hl,+,,,
ew09,hylo sple,ml,2a,,,
ew09,poly form,ml,1,,,
ew09,plag laet secu,ml,3,,,
ew09,leuc glau,ml,1,,,
ew09,spha girg,ml,+,,,
ew09,dicr scop,ml,+,,,
ew09,bazz tril,ml,+,,,
ew09,dicr denu,ml,1,,,
ew09,dryo cart,hl,r,,,
ew10,pice abie,tl1,2b,,,
ew10,pice abie,tl2,1,,,
ew10,pice abie,hl,+,,,
ew10,abie alba,tl1,3,,,
ew10,abie alba,tl2,2b,,,
ew10,abie alba,sl,2a,,,
ew10,abie alba,hl,2a,,,
ew10,pinu sylv,tl1,2b,,,
ew10,fran alnu,sl,1,,,
ew10,fran alnu,hl,+,,,
ew10,betu pend,hl,+,,,
ew10,vacc myrt,hl,4,,,
ew10,dryo cart,hl,+,,,
ew10,dryo dila,hl,+,,,
ew10,poly form,ml,2a,,,
ew10,poly comm,ml,+,,cf.,
ew10,hylo sple,ml,2a,,,
ew10,leuc glau,ml,2a,,,
ew10,plag laet secu,ml,1,,,
ew10,bazz tril,ml,1,,,
ew10,pleu schr,ml,2b,,,
ew10,dicr scop,ml,2a,,,
ew10,spha girg,ml,2b,,cf.,
ew10,clad spec ies,ml,+,,,
ew10,hypn cupr,ml,+,,,
ew10,spha capi,ml,+,,cf. spha quin?,
ew11,pinu sylv,tl1,3,,,
ew11,pice abie,tl1,2b,,,
ew11,pice abie,sl,+,,,
ew11,pice abie,hl,+,,,
ew11,abie alba,tl1,2b,,,
ew11,abie alba,tl2,3,,,
