Table number;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;Species no.;Species name
Date (year/month/day);;19920628;19920628;19920628;19920628;19930813;19930815;19900619;19940721;19920524;19920429;19940616;19930516;19930908;19930603;19940721;19920524;19940717;19920524;19940819;19940724;19930516;19930602;19930602;19930516;19930516;19930516;19930603;19930602;19930516;19940616;19950618;19950618;19930516;19930602;19930602;19930602;19930602;19930602;19930602;19930602;19930602;19930516;19930516;19930516;19940515;19940515;19930516;19930527;19930527;19920429;19920429;19920429;19920429;19920429;19920429;19920429;19920429;19870412;19660522;19660522;19660522;19890412;19890420;19890420;19660522;19660522;19660522;19660522;19660522;19660522;19890420;19880423;19660522;19660522;19670610;19670610;19670610;19670610;19670610;19670610;19670610;19670610;19670610;19670610;19670611;19670611;19660522;19660522;19660522;19890530;19890530;19660522;19890530;19660522;19660522;19660522;19880716;19900715;19920429;19930602;19900720;19900720;19670618;19670618;19670618;19670618;19670618;19930516;19660522;19660522;19890420;19890530;19890530;19660522;19660522;19890420;19660522;19660522;19660522;19660522;19900721;19900721;19900619;19670614;19670614;19670614;19670614;19670614;19670614;19670614;19930908;19930908;19670614;19670614;19670614;19670614;19670614;19670614;19930602;19930602;19930602;19930908;19930603;19930603;19930603;19660620;19660620;19660620;19660616;19660616;19660616;19890530;19890530;19660626;19660616;19890530;19950726;19950726;19660620;19660620;19660620;19660620;19940721;19900619;19890530;19930602;19930908;19940821;19940724;19940827;19930602;19930602;19930813;19930603;19940616;19950618;19940821;19940721;19940721;19920524;19940716;19940414;19940526;19920628;19940904;19930527;19940526;19940721;19940721;19940819;19940721;19920524;19940717;19940830;19940831;19940831;19930527;19940904;19940721;19920524;19920524;19940715;19900720;19940819;19940721;19940721;19900619;19950816;19960610;19940724;19940821;19950818;19940827;19940714;19940831;;
Syntaxon code;;34AA02 ;34AA02 ;34AA02 ;34AA02 ;34AA02 ;34AA02 ;01BA   ;01BB01 ;01BB01 ;01BB01 ;01BB01 ;01AC02 ;01AC02 ;01AC02 ;06AB05 ;06AB05 ;06AB05 ;22BC02 ;13DA01 ;13DA01 ;13DA01 ;13DA01 ;13DA01 ;13DA01 ;13DA01 ;13DA01 ;13DA01 ;13DA03 ;13DA03 ;13ED01 ;13ED01 ;13ED05 ;21AA01a;21AA01a;21AA01a;21AA01a;21AA01a;21AA01a;21AA01a;21AA01a;21AA01a;21AA01a;21AA01a;21AA01a;21AA01a;21AA01a;21AA01a;21AA01a;21AA01a;25AC01 ;25AC01 ;25AC01 ;25AB02 ;25AB02 ;25AB02 ;25AB02 ;25AB02 ;25BA06 ;25BA06 ;25BA06 ;25BA06 ;25BA06 ;25BA06 ;25BA06 ;25BA06 ;25BA06 ;25BA06 ;25BA06 ;25BA06 ;25BA06 ;25BA06 ;25BA06 ;25BA06 ;25BA06 ;26AA09 ;26AA09 ;26AA09 ;26AA09 ;26AA09 ;26AA09 ;26AA09 ;26AA09 ;26AA09 ;26AA09 ;26AA09 ;26AA09 ;26AA07 ;26AA07 ;26AA07 ;26AA07 ;26AA07 ;26AA07 ;26AA07 ;26AA07 ;26AA07 ;26AA07 ;26AA07 ;26AA01 ;26AA01 ;26AA01 ;26AA01 ;26AA01 ;26AD02 ;26AD02 ;26AD02 ;26AD02 ;26AD02 ;26AD02 ;26AC04 ;26AC04 ;26AC04 ;26AC04 ;26AC04 ;26AC04 ;26AC04 ;26AC04 ;26AC04 ;26AC04 ;26AC04 ;26AC04 ;26AC''';26AC''';26AC''';26AD03 ;26AD03 ;26AD03 ;26AD03 ;26AD03 ;26AD03 ;26AD03 ;26AD03 ;26AD03 ;26AE26 ;26AE26 ;26AE26 ;26AE26 ;26AE26 ;26AE26 ;26AE26 ;26AE26 ;26AE26 ;26AE26 ;26AE26 ;26AE26 ;26AE27 ;26AE27 ;26AE27 ;26AE27 ;26AE27 ;26AE27 ;26AE27 ;26AE27 ;26AE27 ;26AE27 ;26AE27 ;26AE27 ;26AE   ;26AE   ;26AE   ;26AE   ;26AE   ;26AE   ;27AA04 ;27AA04 ;27AA02 ;29AA01 ;29AA01 ;29AA01 ;29AA05 ;29AA05 ;29AA05 ;29AA05 ;29AA05 ;29AA05 ;31AA03 ;31AA03 ;32AA01 ;32AA02 ;32AA02 ;32AA02 ;32AA02 ;32AA02 ;32AA02 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AB01 ;32AC01 ;32AC01 ;32AC01 ;32AC01 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;32AC06 ;33AA01 ;33AA01 ;33AA01 ;33AA01 ;33AA05 ;32AE01 ;35AA07 ;35AA07 ;35AA07 ;13AA03 ;29AB01 ;29AB02 ;30AA01 ;31BA   ;32AD02 ;26AE27 ;26AE27 ;;
Releve area (m2);; 300.00; 200.00; 200.00; 150.00; 200.00; 200.00;   9.00;  25.00;   6.00;   4.00;   9.00;   2.00;   2.00;   2.00;  25.00;  25.00;  25.00;   6.00;  25.00;  20.00;  20.00;  20.00;  16.00;  25.00;  25.00;  25.00;  20.00;  12.00;  18.00;  25.00;  25.00;  16.00;  25.00;  25.00;  25.00;  25.00;  25.00;  25.00;  25.00;  25.00;  25.00;  25.00;  25.00;  25.00;  25.00;  25.00;  25.00;  25.00;  25.00;   4.00;   2.00;   2.00;   1.00;   1.00;   3.00;   1.00;   2.00;   3.00;   2.00;   2.00;   2.00;   1.00;   4.00;   2.00;   2.00;   2.00;   2.00;   2.00;   2.00;   2.00;   1.00;   4.00;   2.00;   2.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  25.00;  25.00;  16.00;  16.00;  16.00;  16.00;  16.00;  25.00;   9.00;   6.00;  16.00;   9.00;  12.00;   9.00;   9.00;   9.00;   9.00;   9.00;  25.00;  16.00;  16.00;  25.00;  15.00;  25.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  12.00;  10.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  25.00;  25.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  25.00;  25.00;  25.00;  25.00;  25.00;  25.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  25.00;  25.00;  16.00;  16.00;  25.00;  16.00;  16.00;  16.00;  16.00;  16.00;  16.00;  20.00;  12.00;  25.00;  40.00;  15.00;  40.00;  50.00;  80.00;  25.00;  30.00; 100.00;  25.00; 200.00; 200.00; 200.00; 200.00; 200.00; 200.00; 200.00; 200.00; 100.00; 200.00; 200.00; 200.00; 200.00; 200.00; 200.00; 200.00; 150.00; 150.00; 200.00; 200.00; 200.00; 100.00; 100.00; 100.00; 150.00; 150.00; 100.00; 150.00; 150.00; 200.00; 100.00; 100.00; 100.00;  25.00;  30.00;   6.00;  50.00;  50.00; 400.00;  20.00;  25.00;;
Altitude (m);;330;330;330;320;300;300;230;300;270;250;380;290;250;260;310;320;370;320;320;240;220;260;240;230;230;220;210;240;230;340;240;240;220;260;260;260;250;250;250;250;250;220;220;220;210;210;210;220;220;320;340;340;300;300;300;340;280;290;290;290;280;280;280;280;280;280;240;240;250;260;260;250;250;270;370;370;350;350;350;350;345;345;345;345;255;255;290;290;290;290;290;250;285;260;260;260;260;320;300;280;250;250;320;320;320;320;320;260;290;290;290;290;290;280;280;280;250;250;280;280;290;270;250;385;385;380;380;380;360;360;270;270;350;350;350;350;355;355;330;340;340;270;250;250;300;285;285;285;275;275;275;275;275;280;250;240;250;250;250;250;250;260;370;240;270;340;230;240;330;370;330;330;320;220;340;240;200;360;310;260;360;300;230;360;290;260;310;410;360;330;350;320;370;300;290;240;290;290;350;320;340;340;340;390;350;350;310;240;290;330;200;240;350;310;280;;
Aspect (degrees);;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;   ;;
Slope (degrees);;30;40;40;40;45;40;85;60;80;80;80;90;90;80;30;40;50;50;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;5;5;30;10;0;40;10;30;25;30;25;25;10;20;20;25;20;20;20;20;15;30;30;15;20;30;20;30;30;30;20;25;20;30;30;30;15;25;30;50;50;20;30;20;30;30;30;80;50;80;90;60;20;15;30;20;20;45;50;50;50;45;70;50;50;50;60;70;70;60;60;45;70;5;5;5;10;5;5;10;30;30;20;20;20;20;10;20;30;20;30;30;25;30;20;10;10;5;10;5;5;30;15;20;5;40;40;40;25;40;30;30;35;50;15;10;0;15;30;30;30;30;20;0;0;0;0;5;0;0;0;0;0;5;10;20;0;25;35;40;50;30;30;40;50;70;50;40;40;50;10;30;40;30;30;20;40;0;15;30;0;0;30;30;5;;
Cover total (%);;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;
Cover tree layer (%);;60;60;50;60;60;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;80;70;90;90;80;70;70;90;80;90;90;70;95;90;90;90;80;90;60;40;80;80;70;80;90;70;70;60;90;40;30;40;0;0;0;0;0;70;0;0;;
Cover shrub layer (%);;10;30;10;60;5;30;0;0;0;0;0;0;0;0;0;0;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;90;90;80;90;100;100;90;100;5;30;30;5;5;10;5;20;70;20;0;-1;50;0;5;5;10;40;15;15;20;40;40;10;0;10;5;5;0;5;10;5;10;0;90;80;95;100;15;0;0;;
Cover herb layer (%);;90;90;90;50;90;80;20;30;60;40;20;60;60;50;30;40;50;80;100;90;80;100;100;90;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;80;100;100;100;100;100;100;20;30;30;40;50;30;50;50;50;60;80;60;60;50;40;70;60;60;90;60;60;25;40;80;80;70;60;80;80;70;60;70;70;70;60;70;80;70;70;60;80;70;70;85;80;70;80;80;40;50;50;30;50;80;70;80;80;70;80;90;85;90;100;95;80;80;90;80;90;100;100;80;80;90;95;95;95;85;70;100;100;90;90;80;70;70;70;80;70;90;80;90;90;80;90;80;90;80;90;90;90;90;100;90;90;90;95;90;95;80;80;80;90;100;100;90;30;80;20;20;10;20;20;20;40;100;100;80;90;80;100;100;100;10;60;70;60;80;60;70;60;70;50;30;70;80;60;80;70;70;60;70;40;30;10;40;30;15;100;50;30;80;80;70;60;80;;
