penalty,taxon,matched.taxon,guess1,guess2,guess3,guess4,guess5,guess6,guess7,guess8,guess9,guess10,guess11,guess12,guess13,guess14,guess15,guess16,guess17
0,Acer pseudoplatanus,Acer pseudoplatanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Ulmus glabra,Ulmus glabra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Fraxinus excelsior,Fraxinus excelsior,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Fagus sylvatica,Fagus sylvatica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Abies alba,Abies alba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ainus incana,NA,Alnus incana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Clematis alba,NA,Clematis alpina ssp. alpina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Corylus avellana,Corylus avellana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Rubus caesius,Rubus caesius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Rubus idaeus,Rubus idaeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Mercurialis perennis,Mercurialis perennis s.str.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Senecio ovatus,NA,Senecio ovatus ssp. ovatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Prenanthes purpurea,Prenanthes purpurea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Phyteuma spicata,NA,Phyteuma spicatum,Phyteuma spicatum ssp. spicatum,Phyteuma spicatum ssp. coeruleum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Galium odoratum,Galium odoratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Dryopteris filix-mas,Dryopteris filix-mas s.str.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Asanim europaeum,NA,Asarum europaeum,Asarum europaeum s.lat.,Asarum europaeum ssp. europaeum,Asarum europaeum ssp. caucasicum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Paris quadrifolia,Paris quadrifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Primula elatior,Primula elatior s.str.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Brachypodium sylvaticum,Brachypodium sylvaticum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Cardamine trifolia,Cardamine trifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Lamium montanum,NA,Epilobium montanum,Trifolium montanum ssp. montanum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Carex sylvatica,NA,Carex sylvatica ssp. sylvatica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Pulmonaria officinalis,Pulmonaria officinalis s.str.,Pulmonaria officinalis agg.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Sanicula europaea,Sanicula europaea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Melica nutans,Melica nutans s.str.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
