"plot";"abbr";"layer";"cov";"voucher";"comment";"history"
"H1-02";"lotu corn corn";"hl";4;;;
"H1-02";"parn palu";"hl";3;;;
"H1-02";"pers vivi";"hl";4;;;" | Changed poly vivi To pers vivi 2012-11-27 18:46:56"
"H1-02";"pimp majo slat";"hl";3;;;" | Changed pimp majo To pimp majo slat 2012-11-27 18:46:56"
"H1-02";"plan lanc";"hl";3;;;
"H1-02";"plan medi";"hl";3;;;
"H1-02";"poa prat";"hl";3;;;
"H1-02";"poly amar ella";"hl";3;;;" | Changed poly amar To poly amar ella 2012-11-27 18:46:56"
"H1-02";"pote erec";"hl";4;;;
"H1-02";"prim fari";"hl";3;;;
"H1-02";"prun vulg";"hl";3;;;
"H1-02";"ranu acri acri";"hl";3;;;
"H1-02";"ranu nemo";"hl";4;;;
"H1-02";"trif prat prat";"hl";4;;;" | Changed trif prat To trif prat prat 2012-11-27 18:46:57"
"H1-02";"trif repe repe";"hl";3;;;
"H1-03";"acer pseu";"hl";1;;;
"H1-03";"agro capi";"hl";2;;;
"H1-03";"anth odor";"hl";2;;;
"H1-03";"briz medi";"hl";3;;;
"H1-03";"care alba";"hl";2;;;
"H1-03";"care cary";"hl";3;;;
"H1-03";"care ferr";"hl";2;;;
"H1-03";"care flac";"hl";3;;;
"H1-03";"care orni orni";"hl";3;;;
"H1-03";"care pani";"hl";4;;;
"H1-03";"care semp semp";"hl";2;;;" | Changed care semp To care semp semp 2012-11-27 18:46:57"
"H1-03";"care sylv";"hl";2;;;
"H1-03";"caru carv";"hl";2;;;
"H1-03";"cent jace jace";"hl";4;;;
"H1-03";"dant decu decu";"hl";3;;;" | Changed dant decu To dant decu decu 2012-11-27 18:46:55"
"H1-03";"desc cesp";"hl";3;;;
"H1-03";"eric carn";"hl";2;;;
"H1-03";"fest nigr cens";"hl";3;;;" | Changed fest nigr To fest nigr cens 2012-11-27 18:46:57"
"H1-03";"fest prat prat";"hl";3;;;
"H1-03";"fest rubr rubr";"hl";2;;;
"H1-03";"gent vern vern";"hl";2;;;
"H1-03";"gymn cono cono";"hl";1;;;" | Changed gymn cono To gymn cono cono 2012-11-27 18:46:57"
"H1-03";"hier pilo ella";"hl";1;;;" | Changed hier pila To hier pilo ella 2012-11-27 18:46:58"
"H1-03";"leon hisp hyos";"hl";4;;;
"H1-03";"lotu corn corn";"hl";3;;;
"H1-03";"parn palu";"hl";2;;;
"H1-03";"pimp majo slat";"hl";2;;;" | Changed pimp majo To pimp majo slat 2012-11-27 18:46:56"
