plot,abbr,layer,cov,comment,history
E4486N2676-1,achi mill aggr,hl,1,,
E4486N2676-1,ajug pyra,hl,+,,
E4486N2676-1,alch spec ies,hl,+,,
E4486N2676-1,ante carp,hl,+,,
E4486N2676-1,anth alpi,hl,2a,,
E4486N2676-1,arni mont,hl,2m,,
E4486N2676-1,bisc laev laev,hl,+,,
E4486N2676-1,briz medi,hl,+,,
E4486N2676-1,call vulg,hl,1,,
E4486N2676-1,camp sche,hl,+,,
E4486N2676-1,care eric,hl,2a,,
E4486N2676-1,care orni orni,hl,1,,
E4486N2676-1,care pall,hl,1,,
E4486N2676-1,care pilu pilu,hl,+,,
E4486N2676-1,care semp semp,hl,+,,
E4486N2676-1,carl acau acau,hl,+,,
E4486N2676-1,chae vill,hl,+,,
E4486N2676-1,crep aure aure,hl,r,,
E4486N2676-1,croc albi,hl,+,,
E4486N2676-1,desc cesp,hl,1,,
E4486N2676-1,eric carn,hl,1,,
E4486N2676-1,fest rubr aggr,hl,2a,,
E4486N2676-1,gali anis,hl,+,,
E4486N2676-1,gent acau,hl,+,,
E4486N2676-1,geum mont,hl,+,,
E4486N2676-1,gymn robe,hl,r,,
E4486N2676-1,hier muro,hl,+,,
E4486N2676-1,hier pilo ella,hl,+,,
E4486N2676-1,homo alpi,hl,2m,,
E4486N2676-1,hupe sela,hl,r,,
E4486N2676-1,hype macu,hl,+,,
E4486N2676-1,juni comm nana,hl,+,,
E4486N2676-1,leon hisp slat,hl,+,,
E4486N2676-1,leuc ircu,hl,+,,
E4486N2676-1,lotu corn slat,hl,+,,
E4486N2676-1,luzu alpi na,hl,+,,
E4486N2676-1,luzu camp,hl,+,,
E4486N2676-1,luzu luzu ides,hl,+,,
E4486N2676-1,luzu mult,hl,1,,
E4486N2676-1,nard stri,hl,4,,
E4486N2676-1,phle comm,hl,r,,
E4486N2676-1,phyt beto,hl,+,,
E4486N2676-1,pinu cemb,hl,+,,
E4486N2676-1,pinu mugo,hl,+,,
E4486N2676-1,poa alpi,hl,1,,
E4486N2676-1,poa supi,hl,1,,
E4486N2676-1,pote aure,hl,1,,
E4486N2676-1,pote erec,hl,1,,
E4486N2676-1,pseu albi albi,hl,r,,
E4486N2676-1,ranu nemo,hl,1,,
E4486N2676-1,ranu repe,hl,+,,
E4486N2676-1,rume alpe,hl,+,,
E4486N2676-1,scor helv,hl,+,,
E4486N2676-1,sile vulg vulg,hl,+,,
E4486N2676-1,soli virg virg,hl,+,,
E4486N2676-1,thes alpi,hl,r,,
E4486N2676-1,thym prae slat,hl,+,,
E4486N2676-1,trif prat prat,hl,+,,
E4486N2676-1,trif repe repe,hl,+,,
E4486N2676-1,tris flav flav,hl,+,,
E4486N2676-1,vacc gaul,hl,+,,
E4486N2676-1,vacc myrt,hl,+,,
E4486N2676-1,vacc viti,hl,+,,
E4486N2676-1,vero bell bell,hl,+,,
E4486N2676-1,viol bifl,hl,+,,
E4492N2676-1,ajug pyra,hl,+,,
E4492N2676-1,anem nemo,hl,1,,
E4492N2676-1,anth alpi,hl,2m,,
E4492N2676-1,arni mont,hl,1,,
E4492N2676-1,athy dist,hl,+,,
E4492N2676-1,aven flex flex,hl,+,,
E4492N2676-1,call vulg,hl,2a,,
E4492N2676-1,care lepo,hl,+,,
E4492N2676-1,care nigr,hl,+,,
E4492N2676-1,care pall,hl,+,,
E4492N2676-1,dact macu slat,hl,r,,
E4492N2676-1,desc cesp,hl,1,,
E4492N2676-1,fest rubr aggr,hl,1,,
E4492N2676-1,gent acau,hl,+,,
E4492N2676-1,gent punc,hl,r,cf.,
E4492N2676-1,hier alpi,hl,+,,
E4492N2676-1,hier lach,hl,+,,
E4492N2676-1,homo alpi,hl,+,,
E4492N2676-1,hype macu,hl,+,,
E4492N2676-1,lois proc,hl,+,,
E4492N2676-1,luzu camp,hl,+,,
E4492N2676-1,luzu mult,hl,+,,
E4492N2676-1,mute adon,hl,+,,
E4492N2676-1,nard stri,hl,4,,
E4492N2676-1,phle comm,hl,+,,
E4492N2676-1,poa alpi,hl,+,,
E4492N2676-1,pote aure,hl,+,,
E4492N2676-1,pote erec,hl,1,,
E4492N2676-1,pseu albi albi,hl,+,,
E4492N2676-1,rhod ferr,hl,1,,
E4492N2676-1,rume alpe,hl,r,,
E4492N2676-1,scor helv,hl,+,,
E4492N2676-1,soli virg virg,hl,+,,
E4492N2676-1,thel limb,hl,+,,
E4492N2676-1,vacc gaul,hl,1,,
E4492N2676-1,vacc myrt,hl,2a,,
E4492N2676-1,vacc viti,hl,1,,
E4492N2676-1,vera albu slat,hl,r,,
E4492N2676-1,viol palu,hl,r,voucher,
E4492N2676-1,will stip stip,hl,r,,
E4503N2682-1,achi mill aggr,hl,1,,
E4503N2682-1,ajug pyra,hl,+,,
E4503N2682-1,alch spec ies,hl,+,,
E4503N2682-1,anem nemo,hl,+,,
E4503N2682-1,anth alpi,hl,2a,,
E4503N2682-1,anth odor,hl,+,,
E4503N2682-1,athy fili,hl,+,,
E4503N2682-1,aven flex flex,hl,1,,
E4503N2682-1,briz medi,hl,1,,
E4503N2682-1,camp sche,hl,+,,
E4503N2682-1,care lepo,hl,1,,
E4503N2682-1,care orni orni,hl,+,,
E4503N2682-1,care pall,hl,1,,
E4503N2682-1,care pilu pilu,hl,2a,,
E4503N2682-1,cirs palu,hl,+,,
E4503N2682-1,crep aure aure,hl,+,,
E4503N2682-1,cyno cris,hl,1,,
E4503N2682-1,dact macu slat,hl,+,,
E4503N2682-1,dryo fili,hl,+,,
E4503N2682-1,fest nigr cens,hl,2b,,
E4503N2682-1,fest prat prat,hl,1,,
E4503N2682-1,fest rubr aggr,hl,2a,,
E4503N2682-1,frag vesc,hl,+,,
E4503N2682-1,gali albu,hl,+,,
E4503N2682-1,gali anis,hl,2m,,
E4503N2682-1,geum mont,hl,+,,
E4503N2682-1,hier lach,hl,+,,
E4503N2682-1,hier lact,hl,1,,
E4503N2682-1,hier muro,hl,+,,
E4503N2682-1,hier pilo ella,hl,2a,,
E4503N2682-1,homo alpi,hl,+,,
E4503N2682-1,hype macu,hl,+,,
E4503N2682-1,leon hisp slat,hl,1,,
E4503N2682-1,leuc vulg aggr,hl,+,,
E4503N2682-1,luzu camp,hl,+,,
E4503N2682-1,luzu luzu ides,hl,+,,
E4503N2682-1,luzu mult,hl,+,,
E4503N2682-1,luzu pilo,hl,+,,
E4503N2682-1,nard stri,hl,2b,,
E4503N2682-1,phle comm,hl,+,,
E4503N2682-1,pice abie,hl,r,,
E4503N2682-1,pimp majo majo,hl,+,,
E4503N2682-1,plan lanc,hl,1,,
E4503N2682-1,plan majo majo,hl,+,,
E4503N2682-1,plat bifo,hl,+,,
E4503N2682-1,poly vulg vulg,hl,+,,
E4503N2682-1,pote aure,hl,+,,
E4503N2682-1,pote erec,hl,+,,
E4503N2682-1,ranu acri acri,hl,1,,
E4503N2682-1,rume alpe,hl,+,,
E4503N2682-1,sile nuta nuta,hl,+,,
E4503N2682-1,tara sect rude,hl,+,,
E4503N2682-1,thym prae slat,hl,1,,
E4503N2682-1,thym pule pule,hl,2b,,
E4503N2682-1,trif prat prat,hl,1,,
E4503N2682-1,trif repe repe,hl,1,,
E4503N2682-1,tris flav flav,hl,+,,
E4503N2682-1,vacc myrt,hl,+,,
E4503N2682-1,vero cham cham,hl,+,,
E4503N2682-1,vero offi,hl,1,,
E4503N2682-1,viol bifl,hl,+,,
E4519N2679-1,achi mill aggr,hl,1,,
E4519N2679-1,alch spec ies,hl,+,,
E4519N2679-1,anth odor,hl,2a,,
E4519N2679-1,briz medi,hl,2a,,
E4519N2679-1,cala vill,hl,+,,
E4519N2679-1,call vulg,hl,+,,
E4519N2679-1,care lepo,hl,+,,
E4519N2679-1,care pall,hl,1,,
E4519N2679-1,care pilu pilu,hl,2b,,
E4519N2679-1,carl acau acau,hl,+,,
E4519N2679-1,cent pseu,hl,+,,
E4519N2679-1,cirs palu,hl,1,,
E4519N2679-1,cyno cris,hl,+,,
E4519N2679-1,fest nigr cens,hl,2b,,
E4519N2679-1,fest prat prat,hl,1,,
E4519N2679-1,fest rubr aggr,hl,1,,
E4519N2679-1,hier lact,hl,1,,
E4519N2679-1,hier pilo ella,hl,1,,
E4519N2679-1,holc lana,hl,+,,
E4519N2679-1,hype macu,hl,+,,
E4519N2679-1,hypo radi,hl,+,,
E4519N2679-1,junc effu,hl,+,,
E4519N2679-1,leon hisp slat,hl,1,,
E4519N2679-1,leuc vulg aggr,hl,+,,
E4519N2679-1,lotu corn slat,hl,+,,
E4519N2679-1,luzu camp,hl,+,,
E4519N2679-1,luzu luzu ides,hl,+,,
E4519N2679-1,luzu mult,hl,+,,
E4519N2679-1,nard stri,hl,4,,
E4519N2679-1,pice abie,hl,+,,
E4519N2679-1,pimp majo majo,hl,+,,
E4519N2679-1,plan lanc,hl,+,,
E4519N2679-1,plan medi,hl,r,,
E4519N2679-1,poly alpe alpe,hl,+,,
E4519N2679-1,poly vulg vulg,hl,1,,
E4519N2679-1,pote aure,hl,+,,
E4519N2679-1,pote erec,hl,+,,
E4519N2679-1,prun vulg,hl,+,,
E4519N2679-1,ranu acri acri,hl,+,,
E4519N2679-1,rume acet osa,hl,+,,
E4519N2679-1,rume alpe,hl,+,,
E4519N2679-1,sile nuta nuta,hl,+,,
E4519N2679-1,sile vulg vulg,hl,+,,
E4519N2679-1,thym pule pule,hl,2b,,
E4519N2679-1,trif prat prat,hl,2a,,
E4519N2679-1,trif repe repe,hl,1,,
E4519N2679-1,vacc myrt,hl,+,,
E4519N2679-1,vero cham cham,hl,+,,
E4519N2679-1,vero offi,hl,2m,,
E4519N2679-1,viol bifl,hl,+,,
E4519N2679-1,viol cani slat,hl,2m,,
E4519N2702-1,achi mill aggr,hl,+,,
E4519N2702-1,agro capi,hl,+,,
E4519N2702-1,alch spec ies,hl,+,,
E4519N2702-1,anem nemo,hl,+,,
E4519N2702-1,anth odor,hl,1,,
E4519N2702-1,arni mont,hl,1,,
E4519N2702-1,briz medi,hl,1,,
E4519N2702-1,camp barb barb,hl,r,,
E4519N2702-1,camp sche,hl,+,,
E4519N2702-1,care lepo,hl,+,,
E4519N2702-1,care nigr,hl,+,,
E4519N2702-1,care pall,hl,1,,
E4519N2702-1,care pilu pilu,hl,2a,,
E4519N2702-1,carl acau acau,hl,+,,
E4519N2702-1,chae vill,hl,+,,
E4519N2702-1,cyno cris,hl,+,,
E4519N2702-1,desc cesp,hl,1,,
E4519N2702-1,fest rubr aggr,hl,+,,
E4519N2702-1,hier lact,hl,2a,,
E4519N2702-1,hier pilo ella,hl,+,,
E4519N2702-1,hier schu,hl,+,,
E4519N2702-1,hype macu,hl,+,,
E4519N2702-1,junc effu,hl,r,,
E4519N2702-1,leuc vulg aggr,hl,+,,
E4519N2702-1,luzu camp,hl,+,,
E4519N2702-1,luzu mult,hl,1,,
E4519N2702-1,nard stri,hl,4,,
E4519N2702-1,phle comm,hl,+,cf.,
E4519N2702-1,phyt beto,hl,+,,
E4519N2702-1,plan lanc,hl,+,,
E4519N2702-1,poa alpi,hl,+,,
E4519N2702-1,poly vulg vulg,hl,+,,
E4519N2702-1,pote aure,hl,1,,
E4519N2702-1,pote erec,hl,2b,,
E4519N2702-1,prun vulg,hl,1,,
E4519N2702-1,rume acet osa,hl,+,,
E4519N2702-1,rume alpe,hl,+,,
E4519N2702-1,sile vulg vulg,hl,+,,
E4519N2702-1,stel gram,hl,+,,
E4519N2702-1,thym pule pule,hl,+,,
