plot;abbr;layer;cov;comment;determined;history
Morton1947:1158a;acer pseu;sl;1;;;
Morton1947:1158a;amel oval;hl;1;;;
Morton1947:1158a;anth ramo;hl;1;;;
Morton1947:1158a;buph sali;hl;1;;;
Morton1947:1158a;card defl viri;hl;1;Carduus glaucum defloratum;;
Morton1947:1158a;care flac;hl;1;;;
Morton1947:1158a;cent scab slat;hl;1;;;
Morton1947:1158a;clem vita;hl;1;;;
Morton1947:1158a;clin acin;hl;1;;;
Morton1947:1158a;clin vulg vulg;hl;1;;;
Morton1947:1158a;cory avel;sl;2;;;
Morton1947:1158a;dian cart lati;hl;2;Dianthus carthusianorum var. alpestris;;
Morton1947:1158a;euph cypa;hl;1;;;
Morton1947:1158a;glob cord;hl;2;;;
Morton1947:1158a;gyps repe;hl;1;;;
Morton1947:1158a;hier glau cum;hl;2;Hieracium glaucum var. nipholepium;;
Morton1947:1158a;jovi glob hirt;hl;2;Sempervivum hirtum;;
Morton1947:1158a;juni sabi;hl;2;;;
Morton1947:1158a;kern saxa;hl;1;;;
Morton1947:1158a;lari deci deci;hl;1;;;
Morton1947:1158a;lase lati lati;hl;2;;;
Morton1947:1158a;ligu vulg;hl;2;;;
Morton1947:1158a;loni xylo;hl;1;;;
Morton1947:1158a;poly odor;hl;2;Polygonatum officinale;;
Morton1947:1158a;prim auri slat;hl;2;;;
Morton1947:1158a;rham cath;hl;1;;;
Morton1947:1158a;rham pumi;hl;2;;;
Morton1947:1158a;rham saxa saxa;hl;2;;;
Morton1947:1158a;rosa vill;hl;1;Roasa pomifera;;
Morton1947:1158a;salv vert;hl;1;;;
Morton1947:1158a;sedu albu;hl;2;;;
Morton1947:1158a;sese aust;hl;2;;;
Morton1947:1158a;sesl caer;hl;1;;;
Morton1947:1158a;sorb aria;hl;1;;;
Morton1947:1158a;taxu bacc;hl;1;;;
Morton1947:1158a;teuc mont;hl;2;;;
Morton1947:1158a;thal minu slat;hl;1;;;
Morton1947:1158a;vibu lant;sl;1;;;
Morton1947:1159;anth ramo;hl;1;;;
Morton1947:1159;berb vulg;hl;2;;;
Morton1947:1159;buph sali;hl;1;;;
Morton1947:1159;camp trac;hl;1;;;
Morton1947:1159;clin acin;hl;2;;;
Morton1947:1159;dian cart lati;hl;2;;;
Morton1947:1159;gali aust;hl;1;Galium pumilum var. austriacum;;
Morton1947:1159;gali moll aggr;hl;1;Galium mollugo var. erectum;;
Morton1947:1159;hier glau cum;hl;3;;;
Morton1947:1159;juni sabi;hl;2;;;
