plot,location,elevation,hydrology,comment,date,remarks,observer
020,Lamprechtalm,1750,,mooriger Quellbereich,1989-01-01,date is year of publication,K. Dullnig
007,Südhang des Stilecks,1750,Quellmoor,100m unter Quellursprung,1989-01-01,date is year of publication,K. Dullnig
004,Thomannbaueralm,1800,mooriger Quellbereich,,1989-01-01,date is year of publication,K. Dullnig
052,Bergeralm,1900,Wasser kaum fließend,Torfpolster mit Sphagnen an den Rändern,1989-01-01,date is year of publication,K. Dullnig
033,Hoisbauerhütte,1600,Hangsickerquelle, verzahnt mit Flachmoor,1989-01-01,date is year of publication,K. Dullnig
058,Kirchheimer Wolitze,1850,,mooriger Rand,1989-01-01,date is year of publication,K. Dullnig
056,Grünsanger,1850,,Hochplateau mit moorigem sumpfigem Grund,1989-01-01,date is year of publication,K. Dullnig
