Aufnahmenummer;47;22;55;34;51;63;37;19;8;3;21;5;41;15
Flaeche (m2);10;10;7;6;7;1;20;4;10;14;10;5;2;5
Exposition;NNE;E;E;S;E;E;3;E;E;E;E;E;S;W
Inklination (o);15;10;15;5;6;30;15;15;10;10;10;5;70;25
Quellwasser: pH-Wert;65;60;60;60;60;60;60;55;50;60;60;60;60;60
Haerte (dH);4;4;5;4;4;4;3;4;4;4;4;4;1;1
Phanerogamen: Deckung (%);10;20;20;20;10;.;70;20;20;10;30;10;.;20
Artenzahl;12;5;16;8;13;.;9;7;20;8;3;9;.;6
Moos: Deckung (%);30;10;30;50;60;100;10;30;20;10;30;20;60;30
Artenzahl;10;10;5;11;5;10;14;8;5;4;6;6;12;7
;;;;;;;;;;;;;;
Cratoneuron commutatum var. fluctuans;2;2;2;2;2;+;1;2;2;2;2;3;1;.
Dicranella palustris;+;1;+;+;1;1;1;+;1;.;.;+;.;.
Deschampsia cespitosa;+;+;+;1;+;.;+;1;1;1;.;2;.;1
;;;;;;;;;;;;;;
Saxifraga stellaris ssp. alpigena;.;1;+;3;+;.;+;1;2;1;1;1;.;1
Bryum pseudotriquetrum;+;.;.;1;.;.;.;1;+;2;+;.;+;1
Philonotis seriata;.;.;.;.;+;+;1;R;+;+;1;2;.;.
Caltha palustris;+;+;1;.;+;.;+;.;1;.;.;.;.;.
Epilobium alsinifolium;+;.;.;.;.;.;2;R;+;3;2;2;.;.
Saxifraga aizoides;+;3;2;.;2;.;.;2;.;.;.;.;.;.
Carex nigra;.;.;+;.;+;.;.;1;+;+;.;+;.;.
Cardamine amara;1;.;.;.;+;.;1;.;R;+;.;.;.;.
Alchemilla monticola;+;.;+;.;.;.;.;.;+;+;.;.;.;.
Pinguicula vulgaris;.;.;+;.;.;.;.;.;+;.;.;+;.;+
Carex limosa;.;+;+;.;.;.;.;.;1;.;.;R;.;.
Blindia acuta;.;+;.;+;+;.;.;.;.;.;+;.;.;+
Brachythecium rivulare;.;.;.;.;.;.;1;.;.;+;.;.;+;.
;;;;;;;;;;;;;;
Rhizomnium magnifolium;.;R;.;R;.;1;+;+;•;.;.;+;.;R
Scapania undulata;.;.;1;+;1;+;.;.;.;.;.;.;.;.
Pellia epiphylla;.;.;.;R;.;.;+;.;.;.;.;R;.;.
Marchantia polymorpha;.;.;.;.;.;1;+;.;.;.;.;.;.;+
Dicranum scoparium;.;.;.;+;.;+;.;.;.;.;.;.;.;.
Jungermannia sp.;+;.;.;.;.;R;R;.;.;.;.;.;.;.
Aulacomnium palustre;.;.;1;.;.;.;.;.;1;.;.;.;.;.
Kiaira starkei;.;.;+;.;’;.;.;.;.;+;.;.;+;.
Jungermannia obovata;.;.;+;.;.;1;.;+;.;.;.;.;+;.
Bryum pallens agg.;+;+;.;.;.;.;.;.;.;.;.;.;.;.
Tortella fragilis;+;.;+;.;.;.;.;1;.;.;.;.;.;.
Oncophorus virens;+;+;.;.;.;.;.;.;.;.;.;.;1;.
Bryum turbinatum;.;.;.;+;.;.;.;.;.;.;1;.;1;.
Polytrichum alpinum;.;.;.;.;.;.;+;.;.;.;.;.;1;.
Campylium stellatum;.;.;.;+;.;.;.;+;.;.;.;.;.;.
;;;;;;;;;;;;;;
Cratoneuron filicinum var. curvicaule;.;+;.;•;.;.;.;.;.;.;.;.;.;2
;;;;;;;;;;;;;;
Eriophorutn angustifolium;.;.;.;1;.;+;.;.;+;.;.;.;.;.
Festuca pulcholla;.;.;.;+;.;.;+;.;.;+;.;.;.;.
Epilobium nutans;+;+;.;.;.;.;.;+;.;.;1;.;.;.
Poa alpina;R;.;.;.;.;.;.;.;.;.;.;+;.;.
Carex echinata;.;.;+;.;+;.;.;.;.;.;.;.;.;.
Calycocorsus stipitatus;.;.;.;.;+;.;.;.;+;.;.;.;.;.
Tofieldia calyculata;.;.;.;.;R;.;.;.;+;.;.;.;.;.
Cardamine rivularis;.;.;.;.;R;.;.;.;.;.;.;.;.;.
;;;;;;;;;;;;;;
Aconitum napellus ssp. tauricum;R;.;.;.;.;.;+;.;.;.;.;.;.;.
