taxon,matched.taxon
Poa alpina,Poa alpina
Polygonum viviparum,Persicaria vivipara
Polytrichum alpinum,Polytrichum alpinum
Polytrichum juniperinum,Polytrichum juniperinum
Potentilla erecta,Potentilla erecta
Potentilla repens,Potentilla reptans
Preissia quadrata,Preissia quadrata
Racomitrium aciculare,Racomitrium aciculare
Racomitrium aquaticum,Racomitrium aquaticum
Racomitrium heterostichum,Racomitrium »heterostichum« s.lat.
Ranunculus montanus,Ranunculus montanus s.str.
Rhizomnium magnifolium,Rhizomnium magnifolium
Rhynchostegium riparioides,Platyhypnidium riparioides
Rhytidiadelphus squarrosus,Rhytidiadelphus squarrosus
Salix hastata,Salix hastata ssp. hastata
Salix waldsteiniana,Salix waldsteiniana
Saxifraga aizoides,Saxifraga aizoides
Saxifraga rotundifolia,Saxifraga rotundifolia ssp. rotundifolia
Saxifraga stellaris,Saxifraga stellaris s.lat.
Saxifraga stellaris ssp. alpigena,Saxifraga stellaris ssp. robusta
Saxifraga stellaris ssp. prolifera,Saxifraga stellaris ssp. prolifera
Scapania undulata,Scapania undulata
Schistidium rivulare,Schistidium rivulare
Scorpidium scorpioides,Scorpidium scorpioides
Sedum villosum,Sedum villosum
Selaginella selaginoides,Selaginella selaginoides
Silene pusilla,Heliosperma pusillum ssp. pusillum
Solorina spongiosa,Solorina spongiosa
Sphagnum capillifolium,Sphagnum capillifolium
Sphagnum compactum,Sphagnum compactum
Sphagnum fuscum,Sphagnum fuscum
Sphagnum girgensohnii,Sphagnum girgensohnii
Sphagnum squarrosum,Sphagnum squarrosum
Stellaria allsine,Stellaria alsine
Stellaria alsine,Stellaria alsine
Swertia perennis,Swertia perennis
Taraxacum sp.,Taraxacum sp.
Tofieldia calyculata,Tofieldia calyculata
Tofieldia pusilla,Tofieldia pusilla
Tortella fragilis,Tortella fragilis
Tortella tortuosa,Tortella tortuosa
Trichophorum alpinum,Trichophorum alpinum
Trichophorum cespitosum,Trichophorum cespitosum ssp. cespitosum
Triglochin palustre,Triglochin palustre
Tussilago farfara,Tussilago farfara
Valeriana dioica,Valeriana dioica
Valeriana tripteris,Valeriana tripteris
Veronica beccabunga,Veronica beccabunga
Veronica montana,Veronica montana
Viola biflora,Viola biflora
Viola sp.,Viola sp.
