plot,abbr,layer,cov
1,heli alpe cary,hl,+
1,sali glab,hl,+
2,drab aizo aizo,hl,+
5,saxi aizo,hl,+
5,dian ster,hl,+
6,sold mini,hl,+
8,poa alpi,hl,+
