plot,date,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,latitude,longitude,accuracy,elevation,soil,location,plot,comment,alliance,association,observer
lix01,2018-04-21,,,,,,,,,,,,,,,,,,,47.904356,14.465267,10,,,Felsen nördlich Lichtl,,"planned, easy",,,R. Kaiser
lix02,2018-04-21,,,,,,,,,,,,,,,,,,,47.907382,14.457026,10,,,Felsen nördlich Lichtl,,"planned, easy",,,R. Kaiser
lix03,2018-04-21,,,,,,,,,,,,,,,,,,,47.907133,14.456214,10,,,Felsen nördlich Lichtl,,"planned, easy",,,R. Kaiser
lix04,2018-04-21,,,,,,,,,,,,,,,,,,,47.907304,14.456086,10,,,Felsen nördlich Lichtl,,"planned, easy",,,R. Kaiser
lix05,2018-04-21,,,,,,,,,,,,,,,,,,,47.907026,14.456361,10,,,Felsen nördlich Lichtl,,"planned, easy",,,R. Kaiser
lix06,2018-04-21,,,,,,,,,,,,,,,,,,,47.906755,14.456303,10,,,Felsen nördlich Lichtl,,"planned, easy",,,R. Kaiser
lix07,2018-04-21,,,,,,,,,,,,,,,,,,,47.906588,14.455779,10,,,Felsen nördlich Lichtl,,"planned, easy",,,R. Kaiser
lix08,2018-04-21,,,,,,,,,,,,,,,,,,,47.906391,14.455305,10,,,Felsen nördlich Lichtl,,"planned, easy",,,R. Kaiser
lix09,2018-04-21,,,,,,,,,,,,,,,,,,,47.905936,14.454857,10,,,Felsen nördlich Lichtl,,"planned, easy",,,R. Kaiser
lix10,2018-04-21,,,,,,,,,,,,,,,,,,,47.905423,14.457458,10,,,Felsen nördlich Lichtl,,"planned, easy",,,R. Kaiser
lix11,2018-04-21,,,,,,,,,,,,,,,,,,,47.905473,14.459451,10,,,Felsen nördlich Lichtl,,"planned, easy",,,R. Kaiser
lix12,2018-04-21,,,,,,,,,,,,,,,,,,,47.905739,14.458936,10,,,Felsen nördlich Lichtl,,"planned, easy",,,R. Kaiser
