plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl1,hhl1,hhl2,plsx,plsy,plrad,expo,slope,rock,bare,stones,date,latitude,longitude,accuracy,marks,comment,alliance.code,alliance,association,soil,location,observer
ui01,95,0,0,0,85,10,0,0,0,"0,15","0,05",16,16,,E,7,0,5,0,2021-08-01,48.084216,13.095989,10,not marked,,FES-01A,Bromion erecti Koch 1926,unclassified,,S Unterirnprechting,J. Pleyer
ui02,100,0,0,0,98,2,0,0,0,"0,2","0,05",2,8,,E,5,0,0,0,2021-08-01,48.083892,13.096458,10,not marked,,FES-01A,Bromion erecti Koch 1926,unclassified,,S Unterirnprechting,J. Pleyer
