plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;survery region;location;type;observer
ga001;97;0;0;0;97;1;0;0;0;0,4;0,15;4;4;S;;0;0;0;2020-05-09;47.703343;13.216072;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Wiesenlandschaft Gaissau;Reitlehen, Hochzill;meadow;R. Kaiser
ga002;90;0;0;0;90;1;0;0;0;0,3;0,1;4;4;S;;0;0;0;2020-05-09;47.703799;13.216145;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Wiesenlandschaft Gaissau;Reitlehen, Hochzill;meadow;R. Kaiser
ga003;97;0;0;0;97;1;0;0;0;0,4;0,15;4;4;S;;0;0;0;2020-05-09;47.704770;13.216289;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Wiesenlandschaft Gaissau;Reitlehen, Hochzill;meadow;R. Kaiser
ga004;80;0;0;0;90;0;0;0;0;0,4;0,1;4;4;S;;0;0;0;2020-05-09;47.705703;13.216558;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Wiesenlandschaft Gaissau;Reitlehen, Hochzill;meadow;R. Kaiser
ga005;100;0;0;0;100;0;0;0;0;0,5;0,2;4;4;S;;0;0;0;2020-05-09;47.706771;13.216657;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Wiesenlandschaft Gaissau;Reitlehen, Hochzill;meadow;R. Kaiser
ga006;97;0;0;0;97;1;0;0;0;0,4;0,15;4;4;S;;0;0;0;2020-05-09;47.708119;13.216588;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Wiesenlandschaft Gaissau;Reitlehen, Hochzill;meadow;R. Kaiser
ga007;90;0;0;0;85;7;0;0;0;0,25;0,1;4;4;SW;;0;0;0;2020-05-09;47.709701;13.216478;10;Violion caninae Schwickerath 1944;;;? Nardo-Agrostion tenuis Sillinger 1933;Wiesenlandschaft Gaissau;Reitlehen, Hochzill;meadow;R. Kaiser
ga008;99;0;0;0;99;0;0;0;0;0,45;0,2;4;4;SW;;0;0;0;2020-05-09;47.710312;13.216906;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Wiesenlandschaft Gaissau;Reitlehen, Hochzill;meadow;R. Kaiser
ga009;100;0;0;0;100;0;0;0;0;0,55;0,2;4;4;SW;;0;0;0;2020-05-09;47.711526;13.217285;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Wiesenlandschaft Gaissau;Reitlehen, Hochzill;meadow;R. Kaiser
ga010;85;0;0;0;85;1;0;0;0;0,75;0,2;4;4;SW;;0;0;0;2020-05-10;47.708816;13.199565;10;Arrhenatherion elatioris Luquet 1926;;;;Wiesenlandschaft Gaissau;Pillgrub;meadow;R. Kaiser
ga011;85;0;0;0;80;10;0;0;0;0,3;0,1;4;4;W;40;0;0;0;2020-05-10;47.703901;13.222103;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Wiesenlandschaft Gaissau;Hermannsreit;meadow;R. Kaiser
ga012;90;0;0;0;90;1;0;0;0;0,5;0,1;4;4;SW;;0;0;0;2020-05-10;47.705037;13.222969;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Wiesenlandschaft Gaissau;Hermannsreit;meadow;R. Kaiser
ga013;75;0;0;0;75;3;0;0;0;0,4;0,07;4;4;SW;;0;0;0;2020-05-10;47.705531;13.223383;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Wiesenlandschaft Gaissau;Hermannsreit;meadow;R. Kaiser
ga014;95;0;0;0;70;60;0;0;0;0,3;0,05;4;4;SW;;0;0;0;2020-05-10;47.704153;13.222340;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Wiesenlandschaft Gaissau;Hermannsreit;meadow;R. Kaiser
ga015;85;0;0;0;85;1;0;0;0;0,4;0,07;4;4;SW;;0;0;0;2020-05-10;47.705320;13.226273;10;Phyteumato-Trisetion Ellmauer et Mucina 1993;;;;Wiesenlandschaft Gaissau;Hermannsreit;meadow;R. Kaiser
ga016;85;0;0;0;85;1;0;0;0;0,4;0,07;4;4;SW;;0;0;0;2020-05-10;47.715753;13.204437;10;Arrhenatherion elatioris Luquet 1926;;;;Wiesenlandschaft Gaissau;Oberanger;meadow;R. Kaiser
ga017;90;45;25;5;70;8;28;18;4;0,5;0,1;16;16;S;12;0;0;0;2020-05-11;47.715068;13.232630;10;Fagion sylvaticae Luquet 1926;car tri fag;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl
ga018;93;60;25;25;60;3;28;15;4;0,5;0,1;16;16;S;18;0;0;0;2020-05-11;47.715918;13.232170;10;Fagion sylvaticae Luquet 1926;car tri fag;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl
ga019;94;65;20;5;85;2;28;20;2,5;0,5;0,1;16;16;SE;15;0;0;0;2020-05-11;47.715930;13.230936;10;Fagion sylvaticae Luquet 1926;car tri fag;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl
ga020;93;70;15;10;20;45;28;20;3;0,5;0,1;16;16;SE;10;70;0;0;2020-05-11;47.715105;13.230838;10;Fagion sylvaticae Luquet 1926;car tri fag;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl
ga021;90;40;30;35;45;5;30;22;4;0,5;0,1;16;16;S;7;5;0;0;2020-05-11;47.714845;13.231704;10;Fagion sylvaticae Luquet 1926;car tri fag;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl
ga022;94;25;30;45;60;7;28;20;4;0,6;0,1;16;16;SE;5;7;0;0;2020-05-11;47.714639;13.230563;10;Fagion sylvaticae Luquet 1926;car tri fag;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl
ga023;98;85;25;1;7;40;28;15;4;0,5;0,1;16;16;SE;15;50;0;0;2020-05-11;47.715304;13.228980;10;Fagion sylvaticae Luquet 1926;car tri fag;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl
ga024;94;80;10;1;85;1;30;20;2;0,5;0,1;16;16;S;12;0;0;0;2020-05-11;47.714851;13.228241;10;Fagion sylvaticae Luquet 1926;car tri fag;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl
ga025;95;0;5;30;92;1;0;12;5;0,6;0,2;16;16;SE;12;0;0;0;2020-05-11;47.714012;13.228838;10;Fagion sylvaticae Luquet 1926;car tri fag;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl
ga026;99;0;35;50;85;1;0;7;3;0,5;0,1;16;16;S;8;0;0;0;2020-05-11;47.713905;13.229530;10;Fagion sylvaticae Luquet 1926;car tri fag;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl
ga027;60;0;0;0;50;35;0;0;0;0,5;0,1;16;16;S;12;15;0;0;2020-05-11;47.713049;13.229018;10;Caricion remotae Kästner 1941;;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl
ga028;97;93;12;2;2;7;18;40;4;0,3;0,1;16;16;S;12;0;0;0;2020-05-11;47.712718;13.228469;10;Fagion sylvaticae Luquet 1926;car tri fag;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl
ga029;96;25;70;15;45;3;26;16;3;0,5;0,1;16;16;S;17;0;0;0;2020-05-11;47.713057;13.229270;10;Fagion sylvaticae Luquet 1926;car tri fag;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl
ga030;90;65;30;12;50;3;28;15;5;0,4;0,1;16;16;S;25;0;0;0;2020-05-11;47.713637;13.230792;10;Fagion sylvaticae Luquet 1926;car tri fag;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl
ga031;85;0;0;0;45;70;0;0;0;0,4;0,1;2;6;SE;30;0;0;0;2020-05-19;47.715843;13.231183;10;Caricion remotae Kästner 1941;;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl & R. Kaiser
ga032;95;0;0;0;60;85;0;0;0;0,4;0,1;4;4;SE;10;7;0;0;2020-05-19;47.716176;13.228487;10;Caricion remotae Kästner 1941;;;;Wälder;Schigebiet Gaissau, Wald 1km W Kote 1373 ;forest;T. Eberl & R. Kaiser
