plot;abbr;layer;cover;comment;history
wg01;bart alpi;hl;+;;
wg01;bell mich;hl;+;;
wg01;cala vari;hl;+;;
wg01;care dava;hl;2b;;
wg01;care ferr;hl;+;;
wg01;care flav flav;hl;1;;
wg01;care pani;hl;2b;;
wg01;dact macu slat;hl;+;;
wg01;eleo quin;hl;+;;
wg01;equi palu;hl;+;;
wg01;euph offi pict;hl;+;;
wg01;gymn cono cono;hl;r;;
wg01;junc alpi alpi;hl;+;;
wg01;leon hisp slat;hl;1;;
wg01;lysi nemo;hl;+;;
wg01;parn palu;hl;+;;
wg01;pers vivi;hl;+;;
wg01;pice abie;hl;+;;
wg01;ping vulg;hl;+;;
wg01;pote erec;hl;+;;
wg01;ranu mont;hl;+;;
wg01;saxi aizo;hl;+;;
wg01;sela sela;hl;+;;
wg01;sesl caer;hl;+;;
wg01;tofi caly;hl;2a;;
wg01;tuss farf;hl;+;;
wg01;vale dioi dioi;hl;+;;
wg01;will stip stip;hl;+;;
wg01;camp stel;ml;1;;
wg01;fiss adia;ml;+;;
wg01;palu comm falc;ml;2a;;
wg01;phil calc;ml;+;;
wg01;scor revo;ml;3;;
wg02;agro stol;hl;+;;
wg02;alch spec ies;hl;+;;
wg02;bart alpi;hl;+;;
wg02;care dava;hl;1;;
wg02;care pani;hl;1;;
wg02;chae hirs;hl;+;;
wg02;desc cesp;hl;+;;
wg02;eleo quin;hl;+;;
wg02;epil alsi;hl;+;;
wg02;equi palu;hl;+;;
wg02;peta albu;hl;+;;
wg02;pice abie;hl;r;;
wg02;ping vulg;hl;+;;
wg02;saxi aizo;hl;+;;
wg02;saxi stel robu;hl;1;;
wg02;tofi caly;hl;+;;
wg02;vera albu albu;hl;r;;
wg02;viol bifl;hl;+;;
wg02;will stip stip;hl;1;;
wg02;bryu pseu slat;ml;+;;
wg02;palu comm falc;ml;2b;;
wg02;phil calc;ml;4;;
wg03;abie alba;hl;+;;
wg03;aden alli;hl;+;;
wg03;athy dist;hl;4;;
wg03;aven flex flex;hl;2a;;
wg03;blec spic;hl;+;;
wg03;cala vill;hl;1;;
wg03;chae hirs;hl;+;;
wg03;clad spec ies;hl;+;;
wg03;desc cesp;hl;+;;
wg03;dryo cart;hl;+;;
wg03;dryo dila;hl;+;;
wg03;gnap norv;hl;r;;
wg03;gymn dryo;hl;+;;
wg03;hier muro;hl;+;;
wg03;homo alpi;hl;+;;
wg03;luzu luzu ina;hl;+;;
wg03;luzu pilo;hl;+;;
wg03;lyco anno;hl;+;;
wg03;oxal acet;hl;+;;
wg03;peta albu;hl;1;;
wg03;pheg conn;hl;+;;
wg03;pice abie;hl;+;;
wg03;pyro mino;hl;r;;
wg03;rubu idae;hl;+;;
wg03;sene caca;hl;1;;
wg03;sorb aucu aucu;hl;+;;
wg03;thel limb;hl;1;;
wg03;vacc myrt;hl;2a;;
wg03;vero cham cham;hl;+;;
wg03;viol bifl;hl;+;;
wg03;dicr hete;ml;+;;
wg03;dicr scop;ml;3;;
wg03;hylo sple;ml;+;;
wg03;pelt rufe;ml;+;;
wg03;plag nium undu;ml;1;;
wg03;pleu schr;ml;1;;
wg03;poly comm;ml;+;;
wg03;rhiz punc;ml;+;;
wg03;rhyt lore;ml;2a;;
wg03;rhyt triq;ml;1;;
wg03;spha girg;ml;+;;
wg03;unde bryo;ml;1;Hepaticae;
wg03;pice abie;sl;1;;
wg03;sorb aucu aucu;sl;+;;
wg03;pice abie;tl1;3;;
wg03;pice abie;tl2;2a;;
wg04;athy dist;hl;+;;
wg04;aven flex flex;hl;1;;
wg04;blec spic;hl;1;;
wg04;cala vill;hl;+;;
wg04;clad spec ies;hl;r;;
wg04;dryo dila;hl;+;;
wg04;gali albu;hl;r;;
wg04;hier muro;hl;+;;
wg04;homo alpi;hl;+;;
wg04;luzu luzu ina;hl;+;;
wg04;luzu pilo;hl;+;;
wg04;lyco anno;hl;+;;
wg04;mela prat;hl;+;;
wg04;nard stri;hl;+;;
wg04;oxal acet;hl;+;;
wg04;pice abie;hl;+;;
wg04;sene caca;hl;+;;
wg04;sorb aucu aucu;hl;+;;
wg04;stel medi;hl;r;;
wg04;vacc myrt;hl;5;;
wg04;vacc viti;hl;+;;
wg04;cetr isla isla;ml;r;;
wg04;dicr scop;ml;2a;;
wg04;hylo sple;ml;+;;
wg04;plag nium undu;ml;2b;;
wg04;pleu schr;ml;2b;;
wg04;rhyt lore;ml;1;;
wg04;rhyt triq;ml;3;;
wg04;spha girg;ml;+;;
wg04;unde bryo;ml;+;Hepaticae;
wg04;pice abie;sl;1;;
wg04;sorb aucu aucu;sl;+;;
wg04;pice abie;tl1;4;;
wg05;aven flex flex;hl;1;;
wg05;clad spec ies;hl;+;;
wg05;dryo cart;hl;r;;
wg05;mela prat;hl;+;;
wg05;oxal acet;hl;+;;
wg05;pice abie;hl;r;;
wg05;vacc myrt;hl;5;;
wg05;vacc viti;hl;+;;
wg05;dicr scop;ml;+;;
wg05;hylo sple;ml;2b;;
wg05;plag nium undu;ml;2a;;
wg05;pleu schr;ml;1;;
wg05;poly comm;ml;+;;
wg05;rhyt triq;ml;2b;;
wg05;spha girg;ml;3;;
wg05;unde bryo;ml;+;Hepaticae;
wg05;pice abie;tl1;4;;
wg06;agro stol;hl;1;;
wg06;arab bell;hl;r;;
wg06;bell mich;hl;+;;
wg06;care dava;hl;+;;
wg06;care ferr;hl;+;;
wg06;desc cesp;hl;+;;
wg06;epil alsi;hl;r;;
wg06;saxi aizo;hl;2a;;
wg06;saxi stel robu;hl;2a;;
wg06;sold alpi;hl;r;;
wg06;tuss farf;hl;r;;
wg06;viol bifl;hl;1;;
wg06;will stip stip;hl;r;;
wg06;bryu pseu slat;ml;+;;
wg06;palu comm falc;ml;5;;
wg06;phil calc;ml;1;;
wg06;rhyt lore;ml;r;;
wg07;agro capi;hl;r;;
wg07;alch spec ies;hl;r;;
wg07;bell mich;hl;1;;
wg07;briz medi;hl;+;;
wg07;calt palu;hl;+;;
wg07;care dava;hl;3;;
wg07;care echi;hl;+;;
wg07;care ferr;hl;1;;
wg07;care flav flav;hl;+;;
wg07;care nigr;hl;+;;
wg07;care pall;hl;+;;
wg07;care pani;hl;1;;
wg07;chae hirs;hl;+;;
wg07;dact macu slat;hl;+;;
wg07;dact maja slat;hl;+;;
wg07;equi sylv;hl;+;;
wg07;erio lati;hl;2a;;
wg07;gali ulig;hl;+;;
wg07;junc fili;hl;+;;
wg07;luzu mult;hl;+;;
wg07;luzu sude;hl;+;;
wg07;lych flos cucu;hl;+;;
wg07;lysi nemo;hl;+;;
wg07;myos nemo;hl;1;;
wg07;parn palu;hl;+;;
wg07;plan lanc;hl;+;;
wg07;pote erec;hl;2a;;
wg07;prun vulg;hl;+;;
wg07;rume alpe;hl;+;;
wg07;sold alpi;hl;+;;
wg07;trif prat prat;hl;+;;
wg07;trol euro;hl;r;;
wg07;vale dioi dioi;hl;2b;;
wg07;viol bifl;hl;1;;
wg07;will stip stip;hl;2b;;
wg07;bryu pseu slat;ml;+;;
wg07;call cusp;ml;2b;;
wg07;palu comm falc;ml;1;;
wg08;acer pseu;hl;+;;
wg08;agro stol;hl;+;;
wg08;athy fili;hl;+;;
wg08;aula palu;hl;+;;
wg08;aven flex flex;hl;+;;
wg08;bell mich;hl;1;;
wg08;blec spic;hl;+;;
wg08;cala vill;hl;1;;
wg08;camp coch;hl;+;;
wg08;camp sche;hl;+;;
wg08;care dava;hl;+;;
wg08;care ferr;hl;+;;
wg08;chae hirs;hl;+;;
wg08;crep palu;hl;+;;
wg08;cyst mont;hl;+;;
wg08;dact macu slat;hl;+;;
wg08;desc cesp;hl;+;;
wg08;equi sylv;hl;2a;;
wg08;gent ascl;hl;+;;
wg08;homo alpi;hl;+;;
wg08;list cord;hl;+;;
wg08;lyco anno;hl;+;;
wg08;lysi nemo;hl;+;;
wg08;oxal acet;hl;+;;
wg08;pice abie;hl;+;;
wg08;saxi aizo;hl;+;;
wg08;saxi stel robu;hl;+;;
wg08;sold alpi;hl;+;;
wg08;sorb aucu aucu;hl;+;;
wg08;thel limb;hl;+;;
wg08;vacc myrt;hl;1;;
wg08;vacc viti;hl;+;;
wg08;vera albu albu;hl;+;;
wg08;viol bifl;hl;1;;
wg08;will stip stip;hl;1;;
wg08;bryu pseu slat;ml;+;;
wg08;crat fili;ml;2b;swgots erect;
wg08;fiss adia;ml;+;;
wg08;hylo sple;ml;2a;;
wg08;palu comm falc;ml;2a;;
wg08;phil calc;ml;+;;
wg08;plag nium undu;ml;+;;
wg08;pleu schr;ml;1;;
wg08;poly comm;ml;+;;
wg08;rhiz punc;ml;+;;
wg08;rhyt lore;ml;1;;
wg08;rhyt triq;ml;2b;;
wg08;spha girg;ml;2b;;
wg08;spha quin;ml;1;;
wg08;unde bryo;ml;+;Hepaticae;
wg08;pice abie;sl;1;;
wg08;sorb aucu aucu;sl;+;;
wg08;pice abie;tl1;3;;
wg08;pice abie;tl2;2a;;
wg09;agro stol;hl;1;;
wg09;alch spec ies;hl;+;;
wg09;anth odor;hl;+;;
wg09;athy fili;hl;+;;
wg09;bell mich;hl;+;;
wg09;calt palu;hl;1;;
wg09;camp sche;hl;+;;
wg09;care dava;hl;3;;
wg09;care echi;hl;+;;
wg09;care flac;hl;+;;
wg09;care flav flav;hl;+;;
wg09;care nigr;hl;+;;
wg09;care pani;hl;+;;
wg09;chae hirs;hl;1;;
wg09;dact macu slat;hl;+;;
wg09;epil alsi;hl;+;;
wg09;equi palu;hl;+;;
wg09;equi sylv;hl;1;;
wg09;erio angu;hl;1;;
wg09;fest rubr slat;hl;1;;
wg09;gali ulig;hl;2m;;
wg09;glyc nota;hl;+;;
wg09;hype macu;hl;+;;
wg09;junc alpi alpi;hl;1;;
wg09;junc effu;hl;1;;
wg09;leon hisp slat;hl;+;;
wg09;luzu luzu ina;hl;r;;
wg09;luzu mult;hl;+;;
