taxon,matched.taxon
Rumex scutatus,Rumex scutatus
Vincetoxicum officinale,Vincetoxicum hirundinaria
Galeopsis ladanum,Galeopsis angustifolia
Arabis arenosa,Arabidopsis arenosa
blank,NA
blank,NA
Rubus saxatilis,Rubus saxatilis
Campanula pusilla,Campanula cochleariifolia
Saxifraga decipiens,Saxifraga rosacea ssp. rosacea
Sesleria caerulea,Sesleria caerulea s.str.
Sedum album,Sedum album
Poa compressa,Poa compressa
Coronilla coronata,Coronilla coronata
blank,NA
Asplenium trichomanes,Asplenium trichomanes s.lat.
Cicerbita muralis,Lactuca muralis
blank,NA
Helleborine latifolia,Epipactis helleborine s.lat.
Arrhenatherum elatius,Arrhenatherum elatius
Galium mollugo,Galium mollugo s.str.
Helleborus foetidus,Helleborus foetidus
Aconitum lycoctonum,Aconitum lycoctonum s.lat.
Knautia silvatica,Knautia maxima ssp. maxima
Carex diversicolor,Carex flacca ssp. flacca
blank,NA
Campanula trachelium,Campanula trachelium
blank,NA
Lathyrus vernus,Lathyrus vernus
Solidago virgaurea,Solidago virgaurea ssp. virgaurea
Linaria vulgaris,Linaria vulgaris s.str.
Cerastium arvense,Cerastium arvense s.lat.
Hieracium murorum,Hieracium murorum
Vicia sepium,Vicia sepium
Camptothecium lutescens,Homalothecium lutescens
blank,NA
Eurhynchium striatum,Eurhynchium striatum
Hypnum cupressiforme,Hypnum cupressiforme
blank,NA
Teucrium chamaedrys,Teucrium chamaedrys ssp. chamaedrys
Teucrium montanum,Teucrium montanum
Teucrium botrys,Teucrium botrys
Bupleurum falcatum,Bupleurum falcatum
Origanum vulgare,Origanum vulgare ssp. vulgare
Euphorbia cyparissias,Euphorbia cyparissias
Verbascum lychnitis,Verbascum lychnitis
Picris hieracioides,Picris hieracioides s.lat.
Veronica teucrium,Veronica teucrium
Stachys rectus,Stachys recta ssp. recta
Hypericum perforatum,Hypericum perforatum
Brachypodium pinnatum,Brachypodium pinnatum s.str.
blank,NA
Viola hirta,Viola hirta
Thuidium abietinum,Abietinella abietina s.lat.
blank,NA
Dryopteris robertiana,Gymnocarpium robertianum
Geranium robertianum,Geranium robertianum s.str.
Valeriana officinalis,Valeriana officinalis s.lat.
Lamium galeobdolon,Galeobdolon luteum agg.
Scrophularia nodosa,Scrophularia nodosa
Angelica silvestris,Angelica sylvestris ssp. sylvestris
Prenanthes purpurea,Prenanthes purpurea
Brachythecium silvaticum,Brachythecium rutabulum
blank,NA
blank,NA
Hylocomium proliferum,Hylocomium splendens
Rhytidiadelphus triquetrus,Rhytidiadelphus triquetrus
blank,NA
Thuidium tamariscifolium,Thuidium tamariscinum
blank,NA
Rhodobryum roseum,Rhodobryum roseum
Ctenidium molluscum,Ctenidium molluscum s.lat.
Neckera crispa,Neckera crispa
Mnium undulatum,Plagiomnium undulatum
Scleropodium purum,Scleropodium purum
Entodon schreberi,Pleurozium schreberi
blank,NA
Corylus avellana,Corylus avellana
Sorbus aria,Sorbus aria s.str.
Acer platanoides,Acer platanoides
Acer pseudoplatanus,Acer pseudoplatanus
Fraxinus excelsior,Fraxinus excelsior
Fagus silvatica,Fagus sylvatica
Ulmus montana,Ulmus glabra
Cornus sanguinea,Cornus sanguinea s.lat.
Clematis vitalba,Clematis vitalba
Prunus avium,Prunus avium s.lat.
Prunus spinosa,Prunus spinosa
Rhamnus cathartica,Rhamnus cathartica
Acer campestre,Acer campestre
Lonicera xylosteum,Lonicera xylosteum
Ligustrum vulgare,Ligustrum vulgare
Sambucus nigra,Sambucus nigra
blank,NA
Corylus avellana,Corylus avellana
Sorbus aria,Sorbus aria s.str.
Acer pseudoplatanus,Acer pseudoplatanus
Tilia platyphyllos,Tilia platyphyllos
Fraxinus excelsior,Fraxinus excelsior
Quercus robur,Quercus robur
Fagus silvatica,Fagus sylvatica
Ulmus montana,Ulmus glabra
Acer campestre,Acer campestre
Salix caprea,Salix caprea
