taxon;abbr;layer;comment;23-W-L;24-W-L;25-W-L;26-Wi-L;27-W-L;28-W-M;29-W-M;30-W-L;31-W-L;45-La-W;46-La-W;47-W-L;55-W-M;56-W-M
Salix purpurea;sali purp;sl;;;;;;;;;;;;;;;
Salix viminalis;sali vimi;sl;;;;;;;;;;;;;;;
Sambucus nigra;samb nigr;sl;;3;;;;;2a;2b;2a;;;4;2a;2a;
Viburnum lantana;vibu lant;sl;;;2a;;;;;;2a;;2a;;2a;;
Viburnum opulus;vibu opul;sl;;;;;;;;;;;;;;;
Acer campestre;acer camp;hl;;;+;;;;;;;+;;;;;+
Acer negundo;acer negu;hl;;;;;;;;;;;;;;;
Acer platanoides;acer plat;hl;;;;;;;;;;;;;;;
Acer pseudoplatanus;acer pseu;hl;;;+;;;2a;;;;2b;;;+;;2b
Achillea millefolium;achi mill aggr;hl;;;;+;2a;;;;;;;;;;
Aegopodium podagraria;aego poda;hl;;3;3;+;+;;;+;;3;;3;2b;;
Aethusa cynapium;aeth cyna slat;hl;;;;;;;;;;;;;;;
Agrimonia procera;agri proc;hl;;;;;;;;;;;;;;;
Agrostis canina;agro cani;hl;;;;;;;;;;;;;;;
Agrostis capillaris ;agro capi;hl;;;;;;;;;;;;;;;
Agrostis gigantea;agro giga;hl;;;;;;;;;;;;;;;
Agrostis stolonifera;agro stol;hl;;;;;;;;;;;;;;;
Ajuga reptans;ajug rept;hl;;;;;;;;;;;;;;;
Alliaria petiolata;alli peti;hl;;;;;;;;;;;;;;;
Allium ursinum;alli ursi ursi;hl;;2a;;;;;;;;;;2b;2b;2a;2a
Alnus glutinosa;alnu glut;hl;;;;;;;;;;;;;;;
Anacamptis pyramidalis;anac pyra;hl;;;;;;;;;;;;;;;
Anagallis arvensis;anag arve;hl;;;;;;;;;;;;;;;
Anemone ranunculoides;anem ranu;hl;;;+;;;;;;;;;;;;
Angelica sylvestris;ange sylv slat;hl;;;;;;;;;;;;;;;
Anthericum liliago;anth lili;hl;;;;;;;;;;;;;;;
Anthoxanthum odoratum;anth odor;hl;;;;;;;;;;;;;;;
Anthriscus sylvestris;anth sylv;hl;;+;;2a;;;;;;;;+;;;
Anthyllis vulneraria;anth vuln slat;hl;;;;;;;;;;;;;;;
Aquilegia vulgaris;aqui vulg;hl;;;;;;;;;;;;;;;
Arctium lappa;arct lapp;hl;;;;;;;+;;;;;;;;
Arctium tomentosum;arct tome;hl;;;;;;;;;;;;;;;
Arrhenatherum elatius;arrh elat;hl;;;;2b;2b;;;;;;;;;;
Artemisia vulgaris;arte vulg;hl;;;;;;;;;;;;;;;
Asarum europaeum;asar euro slat;hl;;;;;;2a;;;2b;;;;+;;+
Asperula cynanchica;aspe cyna;hl;;;2a;;;;;;;;;;;;
Astragalus glycyphyllos;astr glyc;hl;;;;;;;;;;;;;;;
Astrantia major;astr majo slat;hl;;;;;;;;;;;;;+;;
Bellis perennis;bell pere;hl;;;;2a;+;;;;;;;;;;
Betula pendula;betu pend;hl;;;;;;;;;;;;;;;
Brachypodium pinnatum;brac pinn;hl;;;;;;;;;;;;;;;
Brachypodium sylvaticum;brac sylv;hl;;1;+;;;4;;+;2a;;;;+;;
Briza media;briz medi;hl;;;;;;;;;;;;;;;
Bromus erectus;brom erec slat;hl;;;;;;;;;;;;;;;
Bromus hordeaceus;brom hord slat;hl;;;;;;;;;;;;;;;
Bromus inermis;brom iner;hl;;;;;;;;;;;;;;;
Bromus sterilis;brom ster;hl;;;;;;;;;;;;;;;
Calamagrostis epigejos;cala epig;hl;;;;;;;;;;;;;;;
Caltha palustre;calt palu;hl;;;;;;;;;;;;;;;
Calystegia sepium;caly sepi;hl;;;;;;;;;;;+;;;;
Campanula patula;camp patu;hl;;;;;+;;;;;;;;;;
Campanula persicifolia;camp pers;hl;;;r;;;;;;;;;;;;
Campanula rotundifolia;camp rotu;hl;;;;;;;;;;;;;;;
Campanula trachelium;camp trac;hl;;;r;;;;;;;;;;;;
Capsella bursa-pastoris;caps burs;hl;;;;;;;;;;;;;;;
Cardamine amaria;card amar;hl;;;;;;;;;;;;;;;
Carduus spec;card spec ies;hl;;;;;;;;;;;;;;;
Carex alba;care alba;hl;;;2b;;;2b;;;;2b;;;+;;
Carex flacca;care flac;hl;;;;;;;;;;;;;;;
Carex flava;care flav aggr;hl;;;;;;;;;;;;;;;
Carex panicea;care pani;hl;;;;;;;;;;;;;;;
Carex remota;care remo remo;hl;;;;;;;;;;;;;;;
Carex spec;care spec ies;hl;;;;;;;;;;;;;;;
Carex sylvatica;care sylv;hl;;;2a;;;;;;;;;;;;
Carpinus betulus;carp betu;hl;;;;;;+;;;;;;;;;
Catapodium rigidum;cata rigi;hl;;;;;;;;;;;;;;;
Centaurea jacea;cent jace slat;hl;;;;;;;;;;;;;;;
Centaurea scabiosa scabiosa;cent scab scab;hl;;;;;;;;;;;;;;;
Centaurea stoebe;cent stoe;hl;;;;;;;;;;;;;;;
Centaurea spec;cent spec ies;hl;;;;;;;;;;;;;;;
Cephalanthera longifolia;ceph long;hl;;;;;;;;;;;;;;;
Cerastium holostoides;cera holo;hl;;;;+;;;;;+;;;;;;
Cichorium intybus;cich inty;hl;;;;;;;;;;;;;;;
Cirsium arvense;cirs arve;hl;;;;;;;r;;;;;;;;
Cirsium vulgare;cirs vulg;hl;;;;;;;;;;;;;;;
Clematis vitalba;clem vita;hl;;;+;;;+;;;;2a;;;;;
Clinopodium vulgare;clin vulg;hl;;;;;;;;;;;;;;;
Colchium autumnale;colc autu;hl;;;;;;;;;;;;;2a;;
Convallaria majalis;conv maja maja;hl;;;2a;;;+;;;;3;;;2a;;2a
Convolvulus arvensis;conv arve;hl;;;;;;;;;;;;;;;
Conyza canadensis;erig cana;hl;;;;;;;;;;;;;;;
Cornus sanguinea;corn sang slat;hl;;+;;;;2a;;+;;+;;;;2a;
Corydalis spec.;cory spec ies;hl;;;;;;;;;;;;;;;
Crataegus monogyna;crat mono;hl;;;+;;;2a;;;+;+;;;+;;
Crepis biennis;crep bien;hl;;;;;;;;;;;;;;;
Cruciata glabra;cruc glab;hl;;;;;;;;;;;;;;;
Cyclamen purpurea = Cyclamen purpurascens;cycl purp;hl;;;;;;;;;;;;;;;
Cynosurus cristatus;cyno cris;hl;;;;+;1;;;;;;;;;;
Dactylis glomerata;dact glom glom;hl;;;;2a;2a;;1;;;;;;;;
Dactylis polygama;dact poly;hl;;;;;;;;;;;;;;;
Daphne mezereum;daph meze;hl;;;;;;;;;;;;;;;+
Deschampsia cespitosa;desc cesp;hl;;;;;;;;;;;;;;;
Dianthus carthusianorum;dian cart slat;hl;;;;;;;;;;;;;;;
Echinochloa crus-galli;echi crus;hl;;;;;;;;;;;;;;;
Echium vulgare;echi vulg;hl;;;;;;;;;;;;;;;
Elytrigia repens;elyt repe;hl;;;;;;;;;;;;;;;
Epilobium hirsutum;epil hirs;hl;;;;;;;;;;;;;;;
Equisetum arvense;equi arve;hl;;;;;;;;;;;;;;;
Erigeron annuus;erig annu slat;hl;;;;;;;;;;;;;;;
Erysimum diffusum;erys diff;hl;;;;;;;;;;;;;;;
Euonymus europaea;euon euro;hl;;;;;;;;;;;;;;;
Euonymus verrucosus;euon verr;hl;;;;;;;;;;;;;;;
Euphorbia amygdaloides;euph amyg;hl;;;;;;;;;;;;;;;
Euphorbia cyparissias;euph cypa;hl;;;;;;+;;;;;;;;;
Euphorbia dulcis;euph dulc;hl;;;;;;;;;;;;;+;;
Euphorbia spec 1;euph rbia spec ies;hl;;;+;;;;;;;;;;;;
Euphorbia stricta;euph stri;hl;;;;;;;;;;;;;;;
Fagus sylvatica;fagu sylv;hl;;;;;;;;;;;;;;;
Fallopia japonica;fall japo;hl;;;;;;;;;;;;;;;
Festuca altissima;fest alti;hl;;;;;;;;;;;;;;;
Festuca giganthea;fest giga;hl;;;;;;;;;;;;;;;
Festuca pratensis;fest prat prat;hl;;;;2a;;;;;;;;;;;
Festuca rubra       ;fest rubr slat;hl;;;;;;;;;;;;;;;
Festuca rupicola;fest stri sulc;hl;;;;;;;;;;;;;;;
Festuca spec.;fest spec ies;hl;;;;;;;;;;;;;;;
Fesuca ovovina;fest ovin;hl;;;;;;;;;;;;;;;
Filipendula almaria;fili ulma;hl;;;;;;;;;;;;;;;
