taxon;abbr;layer;comment;1-W-Ma;2-W-Ma;8-Wi-D;9-Wa-D;10-Wi-D;11-Wi-D;12-Wi-D;13-Wi-D;14-Wi-D;15-Wi-D;16-Wi-D;17-Wi-D;18-Wi-D;32-W-D;33-W-D;34-W-D;35-W-D;36-H-D;37-Wi-D;48-D-W;49-D-G;50-M-W;51-M-W;53-M-G;54-W-M;54a-W-M;54b-W-M;79-G-D;81-W-D;84-W-D;85-Wi-D
Centaurea scabiosa scabiosa;cent scab scab;hl;;;;;;+;;;;;+;;;;;;;;;;;;;;;;;;;;;
Centaurea spec;cent spec ies;hl;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;
Prunus avium;prun aviu slat;tl2;;;;;;;;;;;;;;;;;;;;;;;2b;;;;;;;;;
Cerastium holostoides;cera holo;hl;;+;;;;;+;;;+;;+;;r;;;;;+;;;;;;;;;;;;+;
Cichorium intubus;cich inty;hl;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;r
Cirsium arvense;cirs arve;hl;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;
Clematis vitalba;clem vita;hl;;;;;r;;;;;;;;;;+;+;2a;+;;;;;;;;;+;;;+;+;3
Clinopodium vulgare;clin vulg vulg;hl;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Colchium autumnale;colc autu;hl;;;;+;2a;;;;;;;;;r;;+;;;;;;;;;;;;;;;;
Convallaria majalis;conv maja maja;hl;;;;;2a;;;;;;;;;;;2a;2a;2a;;;;;;;;;;;;2b;;
Convolvulus arvensis;conv arve;hl;;;;;;;;;;;;;+;;;;;;;;;;;+;;;;;;;;
Conyza canadensis;erig cana;hl;;;;;;;r;;;;;;;;;;;;;;;;;;;;;+;;;;
Cornus sanguinea;corn sang slat;sl;;;;;2a;;;;;;;;;;;2a;2a;2a;;;4;;2a;;;2a;;;;2b;3;3
Cornus sanguinea;corn sang slat;hl;;;;;;;;;;;;;;;;+;2b;+;;;2b;;;;;2a;;;;;+;
Corydalis spec.;cory spec ies;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corylus avellana;cory avel;sl;;;;;;;;;;;;;;;;;;2a;2a;;;;;;;;;;;;;
Crataegus monogyna;crat mono;sl;;;;;2a;;;;;;;;;;;2a;2b;2b;;;;;;;;;2a;;;2a;2a;2b
Crataegus monogyna;crat mono;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+
Crepis bienne;crep bien;hl;;+;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;
Cruciata glabra;cruc glab;hl;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;
Cyclamen purpurea;cycl purp;hl;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cynosurus cristatus;cyno cris;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dactylis glomerata;dact glom glom;hl;;3;3;;2a;3;3;2a;2a;2a;4;2b;2m;2m;;;2a;;;2m;2a;2m;;;;;;;;;;2b
Dactylis polygama;dact poly;hl;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
Dianthus carthusianorum;dian cart slat;hl;;;;;;+;;;;;;+;;;;;;;1;;;;;;;;;;;;;
Echium vulgare;echi vulg;hl;;;;;;2a;;;;;;;;;;;;;+;;;;;;;;;;;;;+
Erigeron annuus;erig annu slat;hl;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;
Erysimum diffusum;erys diff;hl;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;
Euonymus europaea;euon euro;sl;;;;;;;;;;;;;;;;;;;;;;;2a;2a;;;;;;2a;2a;
Euphorbia cyparissias;euph cypa;hl;;;;;;2a;;;;;;+;;;;;;;2b;;;;;;;;;;;;;+
Euphorbia stricta;euph stri cta;hl;;;;;;;;;;;;;;;;+;+;;;;;;;;;;;;;;;
Fallopia japonica;fall japo;sl;;;;;;;;;;;;;;;;;;;;;;;;2b;;;;;2a;;;
Festuca altissima;fest alti;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;
Festuca pratensis;fest prat prat;hl;;2m;;;;;1;;;;2a;;;2m;;;;;;;;2a;;;;;;;;;;
Festuca rubra       ;fest rubr slat;hl;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;
Fesuca ovovina;fest ovin;hl;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;
Fraxinus excelsior;frax exce;tl1;;;;;2a;;;;;;;;;;;2b;3;;;;3;;2b;3;;2a;2a;2a;2a;;2b;
Fraxinus excelsior;frax exce;tl2;;;;;2b;;;;;;;;;;;;2a;;;;3;;2b;2b;;2b;;;;;2b;
Fraxinus excelsior;frax exce;hl;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;+;
Galium album;gali albu;hl;;2a;;+;;+;+;+;;2a;2a;+;r;1;;;+;;+;2m;;;;;;;;+;;;;
Galium aparine;gali apar;hl;;;;;r;;;;;;;;;;;;;;;;;;+;;;;;;;;+;
Galium verum        ;gali veru;hl;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;2b
Geranium molle;gera moll;hl;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;
Geranium pratense;gera prat;hl;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geranium pyrenaicum;gera pyre;hl;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;
Geranium robertianum;gera robe;hl;;;;;r;;;;;;;;;;;;;;;;;;;;;+;;;;;;
Geum urbanum;geum urba;hl;;;;;r;;;;;;;;;;;+;;+;;;;;+;;2a;2b;;;;;;
Glechoma hederacea;glec hede;hl;;+;;;r;;;;2a;;+;;;r;;;;;;+;+;;;;;;;;;;;
Gymnapedia conopsea;gymn cono slat;hl;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;
Hedera helix;hede heli;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;
Helianthemum ovatum;heli numm obsc;hl;;;;;;+;;;;;;;;;;;;;+;;;;;;;;;;;;;r
Hepatica nobilis;hepa nobi;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heracleum sphondylium;hera spho spho;hl;;2a;2b;+;;;;;+;;;;;;;;;;;+;;;;;;;;;;;;
