plot,latitude,longitude,accuracy,location,pls,date,cov,hcov,scov,mcov,elevation,expo,comment,observer
FL-002,47.14063,9.57739,100,"Rätikon, Saminatal, an der Samina zwischen Sässtobel und Valorschbach, FL",25,2016-08-02,100,70,60,1,1045,SE,"Schotterbank am Wildbach, grobes Bachgeschiebe",G. Amann
FL-004,47.14219,9.57979,100,"Rätikon, Saminatal, an der Samina südlich Einmündung Valorschbach, FL",50,2016-08-02,40,40,0,1,1010,SE,"Schotterbank am Wildbach, grobes Bachgeschiebe mit feineren Anlandungen",G. Amann
V-001,47.16307,9.59139,100,"Rätikon, Saminatal, an der Samina, unter Falleck, AUT",16,2016-08-02,50,20,30,1,865,S,Schotterbank mit grobem Geschiebe und Blöcken,G. Amann
