abbr,layer,taxon,FL-001,FL-007,FL-006,FL-008,FL-20170614-1
peta para,hl,Petasites paradoxus,3,.,r,.,+
frag vesc,hl,Fragaria vesca,1,.,.,.,.
achn cala,hl,Achnatherum calamagrostis,3,3,2,2,+
thym prae poly,hl,Thymus praecox subsp. polytrichus,1,1,1,+,.
teuc mont,hl,Teucrium montanum,+,+,+,+,.
card defl slat,hl,Carduus defloratus,+,+,+,+,.
buph sali,hl,Buphthalmum salicifolium,r,+,r,r,.
anth ramo,hl,Anthericum ramosum,r,1,.,.,.
moli arun,hl,Molinia arundinacea,+,1,.,.,.
fest amet amet,hl,Festuca amethystina,.,+,.,.,.
camp rotu,hl,Campanula rotundifolia,.,+,.,.,.
care semp tato,hl,Carex sempervirens,.,+,.,.,.
eric carn,hl,Erica herbacea,.,+,.,.,.
saxi aizo,hl,Saxifraga aizoides,.,.,1,1,1
camp coch,hl,Campanula cochleariifolia,.,.,1,1,.
euph sali,hl,Euphrasia salisburgensis,.,.,1,1,.
saxi caes,hl,Saxifraga caesia,.,.,1,1,.
erin alpi,hl,Erinus alpinus,.,.,+,+,.
gent rhee,hl,Gentianella rhaetica,.,.,r,r,.
parn palu,hl,Parnassia palustris,.,.,1,.,.
cala vari,hl,Calamagrostis varia,+,.,+,.,.
carl vulg slat,hl,Carlina vulgaris,.,+,+,.,.
drya octo,hl,Dryas octopetala,.,.,+,.,.
pote caul,hl,Potentilla caulescens,.,.,+,.,.
aspl viri,hl,Asplenium viride,.,.,r,.,.
leon hisp hyos,hl,Leontodon hispidus subsp. hyoseroides,.,.,r,.,.
sile vulg glar,hl,Silene vulgaris subsp. glareosa,.,.,r,.,+
tofi caly,hl,Tofieldia calyculata,.,.,r,.,.
tuss farf,hl,Tussilago farfara,.,.,r,.,.
aëth saxa,hl,Aethionema saxatile,.,.,.,+,1
agro giga,hl,Agrostis gigantea,.,.,.,+,.
alch niti,hl,Alchemilla nitida,+,.,.,+,.
chlo stat,hl,Chlorocrepis staticifolia,.,.,.,+,.
glob cord,hl,Globularia cordifolia,.,.,.,+,.
hier bifi,hl,Hieracium bifidum,.,.,.,+,.
aden alpi,hl,Adenostyles glabra,.,.,.,r,.
hier glau cum,hl,Hieracium glaucum,.,.,.,r,.
linu cath,hl,Linum catharticum,.,+,.,+,.
bell mich,hl,Aster bellidiastrum,.,+,.,.,.
care flac,hl,Carex flacca,.,+,.,.,.
gali anis,hl,Galium anisophyllum,.,+,.,.,.
gymn robe,hl,Gymnocarpium robertianum,.,+,.,.,.
kern saxa,hl,Kernera saxatilis,.,+,.,.,.
vale trip,hl,Valeriana tripteris,.,+,.,.,.
poly cham,hl,Polygala chamaebuxus,r,+,.,.,.
hipp como,hl,Hippocrepis comosa,+,+,.,.,.
viol coll,hl,Viola collina,+,+,.,.,.
cirs arve,hl,Cirsium arvense,+,.,.,.,.
clin vulg vulg,hl,Clinopodium vulgare,+,.,.,.,.
gale mont,hl,Galeobdolon montanum,+,.,.,.,.
orig vulg,hl,Origanum vulgare,+,.,.,.,.
viol reic,hl,Viola reichenbachiana,+,.,.,.,.
brac sylv,hl,Brachypodium sylvaticum,r,.,.,.,.
dact glom glom,hl,Dactylis glomerata,r,.,.,.,.
lotu corn,hl,Lotus corniculatus,r,.,.,.,.
pote erec,hl,Potentilla erecta,r,.,.,.,.
prun gran,hl,Prunella grandiflora,r,.,.,.,.
ranu mont,hl,Ranunculus montanus,r,.,.,.,.
sang mino mino,hl,Sanguisorba minor,r,.,.,.,.
lact mura,hl,Mycelis muralis,.,.,.,.,r
acer pseu,hl,Acer pseudoplatanus,+,.,1,+,1
pice abie,hl,Picea abies,+,.,1,+,.
abie alba,hl,Abies alba,.,.,+,.,.
pinu mugo slat,hl,Pinus mugo s.l.,.,.,+,.,.
betu pend,hl,Betula pendula,.,.,+,.,.
frax exce,hl,Fraxinus excelsior,+,.,+,.,.
sali elea elea,hl,Salix eleagnos,.,.,+,r,.
sali purp,hl,Salix purpurea,.,.,+,r,.
sali appe,hl,Salix appendiculata,.,.,+,.,+
sali wald,hl,Salix waldsteiniana,.,.,r,.,.
tort incl,ml,Tortella inclinata,.,.,+,.,.
