taxon,matched.taxon
Achnatherum calamagrostis,Achnatherum calamagrostis
Hieracium glaucum,Hieracium glaucum
blank,NA
Rumex scutatus,Rumex scutatus
Campanula cochlearifolia,Campanula cochleariifolia
Silene vulgaris * glareosa,Silene vulgaris ssp. glareosa
blank,NA
Carduus defloratus,Carduus defloratus ssp. viridis
Euphrasia salisburgensis,Euphrasia salisburgensis s.str.
Gentianella aspera,Gentianella aspera
Thymus praecox * polytrichus,Thymus praecox ssp. polytrichus
Scabiosa lucida * lucida,Scabiosa lucida ssp. lucida
blank,NA
Galium anisophyllon,Galium anisophyllon
Adenostyles alpina * alpina,Adenostyles alpina
Petasites paradoxus,Petasites paradoxus
Gymnocarpium robertianum,Gymnocarpium robertianum
Linum catharticum,Linum catharticum
Leontodon hispidus * hispidus,Leontodon hispidus ssp. hispidus
Teucrium montanum,Teucrium montanum
Poa cenisia * cenisia,Poa cenisia
Leontodon hispidus * hyoseroides,Leontodon hispidus ssp. hyoseroides
Calamagrostis varia * varia,Calamagrostis varia
Buphthalmum salicifolium,Buphthalmum salicifolium
Hieracium bupleuroides,Hieracium bupleuroides
Primula auricula,Primula auricula ssp. auricula
Acer pseudoplatanus,Acer pseudoplatanus
Agrostis alpina,Agrostis alpina s.str.
