plot;date;cov;tcov;scov;hcov;mcov;rocks;bare;stones;litter;aspect;slope;conductivity;ph;watertable;wellheight;observer;longitude;latitude;altitude
f10;2013-06-12;100;0;5;85;40;0;0;0;0;;;NA;NA;NA;NA;Group 0;13,8650878729;47,1895611747;1589,92
f11;2013-06-12;100;0;20;30;60;0;0;0;5;;;24;6,1;48;50;Group 4;13,865469133;47,1896608038;1590,07
m01;2013-06-12;90;0;5;65;80;0;10;0;5;;;NA;NA;NA;NA;Group 4;13,8656239646;47,1896781275;1588,14
m02;2013-06-12;100;0;0;95;80;0;0;0;0;;;35;5,7;38;37;Group 4;13,8658113924;47,1896726317;1588,6
m03;2013-06-12;100;0;0;75;95;0;0;0;0;;;37;5,2;41;43;Group 0;13,8652754592;47,1895573082;1589,39
m04;2013-06-10;95;0;0;70;85;0;5;0;0;;;NA;NA;NA;NA;Group 2;13,8654588378;47,1895497357;1589,33
m05;2013-06-12;95;0;0;60;70;0;5;0;0;;;74;5,5;49;48;Group 4;13,8656306916;47,1895544347;1586,48
m06;2013-06-12;100;0;0;95;15;0;0;0;0;;;NA;NA;NA;NA;Group 4;13,8658056971;47,1895519313;1586,65
m07;2013-06-10;95;0;0;80;95;0;5;0;0;;;42;6,4;46;46;Group 6;13,8650947732;47,1894356706;1586,88
m08;2013-06-10;95;0;0;85;95;0;5;0;0;;;NA;NA;NA;NA;Group 2;13,865270848;47,1894355044;1587,19
m09;2013-06-10;95;0;0;60;80;0;5;0;0;;;54;6,4;46;49;Group 2;13,8654597999;47,1894401548;1585,82
m10;2013-06-10;95;0;20;75;85;0;5;0;0;;;NA;NA;NA;NA;Group 6;13,8656301047;47,189434732;1584,81
m11;2013-06-10;90;0;0;80;30;0;10;0;0;;;60;6;65;38;Group 6;13,8658120468;47,1894321917;1584,4
m12;2013-06-10;95;0;0;90;40;0;5;0;0;;;NA;NA;NA;NA;Group 6;13,8651057704;47,1893132917;1585,55
m13;2013-06-10;90;0;0;85;80;0;10;0;0;;;82;6,3;46;51;Group 2;13,8652658684;47,1893103755;1584,43
m14;2013-06-10;85;0;0;65;50;0;15;0;0;;;NA;NA;NA;NA;Group 2;13,865458545;47,1893037989;1583,32
m15;2013-06-10;95;0;0;90;5;0;5;0;0;;;43;6,1;43;45;Group 6;13,8656382578;47,1893084067;1582,71
m16;2013-06-13;95;0;0;95;15;0;5;0;0;;;NA;NA;NA;NA;Group 4;13,8658071512;47,1893086756;1582,89
m17;2013-06-10;100;0;0;25;75;0;0;0;0;;;70;5,6;51;52;Group 6;13,8651074534;47,189187827;1583,45
m18;2013-06-10;90;0;0;85;50;0;10;0;0;;;NA;NA;NA;NA;Group 2;13,8652723158;47,1891835286;1583,47
m19;2013-06-10;90;0;0;65;65;0;5;0;0;;;66;6,4;46;46;Group 2;13,8654451917;47,1891812886;1582,12
m20;2013-06-12;90;0;0;85;20;0;10;0;0;;;NA;NA;NA;NA;Group 4;13,8656336194;47,1891826923;1581,13
m21;2013-06-12;95;0;0;90;10;0;5;0;0;;;NA;NA;NA;NA;Group 0;13,8651074548;47,1890930163;1583,08
m22;2013-06-12;95;0;0;90;30;0;10;0;0;;;38;5,7;58;30;Group 0;13,8652458355;47,1890696144;1582,72
m23;2013-06-10;95;0;0;90;30;0;5;0;0;;;NA;NA;NA;NA;Group 2;13,8654365111;47,189078321;1582,97
m24;2013-06-12;85;0;0;85;5;0;15;0;0;;;42;5,8;60;48;Group 4;13,8656286599;47,1890834562;1579,85
