"plot";"abbr";"layer";"cov"
"m22";"erio angu";"hl";1
"m22";"luzu sude";"hl";1
"m22";"moli caer aggr";"hl";1
"m22";"parn palu";"hl";1
"m22";"pote erec";"hl";1
"m22";"ping alpi";"hl";1
"m22";"ping vulg";"hl";1
"m22";"sela sela";"hl";1
"m22";"tofi caly";"hl";1
"m22";"tric alpi";"hl";1
"m22";"tric cesp cesp";"hl";1
"m22";"spha spec ies";"ml";1
"m22";"unde bryo";"ml";1
"m23";"care rost";"hl";1
"m23";"dros rotu";"hl";1
"m23";"equi sylv";"hl";1
"m23";"erio angu";"hl";1
"m23";"erio lati";"hl";1
"m23";"luzu sude";"hl";1
"m23";"sela sela";"hl";1
"m23";"meny trif";"hl";1
"m23";"moli caer aggr";"hl";1
"m23";"parn palu";"hl";1
"m23";"pote erec";"hl";1
"m23";"tofi caly";"hl";1
"m23";"tric alpi";"hl";1
"m23";"tric cesp cesp";"hl";1
"m24";"andr poli";"hl";1
"m24";"call vulg";"hl";1
"m24";"care rost";"hl";1
"m24";"cirs palu";"hl";1
"m24";"erio angu";"hl";1
"m24";"luzu sude";"hl";1
"m24";"meny trif";"hl";1
"m24";"moli caer aggr";"hl";1
"m24";"pice abie";"hl";1
"m24";"ping alpi";"hl";1
"m24";"ping vulg";"hl";1
"m24";"pote erec";"hl";1
"m24";"sela sela";"hl";1
"m24";"tofi caly";"hl";1
"m24";"tric alpi";"hl";1
"m24";"tric cesp cesp";"hl";1
"m24";"spha spec ies";"ml";1
"m24";"unde bryo";"ml";1
