plot;block;alliance;association;plot.size;utm.location;latitude;longitude;accuracy;altitide;aspect;slope;cov;tcov;scov;hcov;mcov;htl;hsl;hhl
41;6;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit O. vulgare;10;33TUN5961297558;47.816050N;13.124634E;20;910;158;40;85;0;0;85;0;0;0;0.9
105;6;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit O. vulgare;20;33TUN5928897502;47.815475N;13.120327E;20;1000;135;40;80;0;0;80;5;0;0;0.6
67;6;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit O. vulgare;6;33TUN5923397442;47.814924N;13.119612E;20;975;158;25;75;0;0;70;0;0;0;0.8
68;6;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit O. vulgare;6;33TUN5923597430;47.814816N;13.119643E;20;980;225;40;80;0;0;80;0;0;0;0.7
6;6;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit O. vulgare;10;33TUN5974797563;47.816124N;13.126435E;20;920;180;40;80;30;0;70;0;5;0;0.8
99;6;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit O. vulgare;6;33TUN5929697544;47.815855N;13.120420E;20;1000;68;40;80;0;0;80;5;0;0;0.2
43;6;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit O. vulgare;10;33TUN5971897584;47.816307N;13.126041E;20;920;270;35;95;10;0;90;0;4;0;0.6
79;6;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit O. vulgare;5;33TUN5985597562;47.816139N;13.127877E;20;915;203;30;95;0;0;95;0;0;0;0.6
112;6;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit O. vulgare;12;33TUN5928997483;47.815305N;13.120346E;20;990;158;40;80;0;0;80;0;0;0;0.7
20;6;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit O. vulgare;8;33TUN5927297533;47.815751N;13.120103E;20;1010;113;40;90;20;0;80;0;6;0;0.8
1;6;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit O. vulgare;8;33TUN5985497564;47.816156N;13.127863E;20;915;135;25;95;0;0;95;0;0;0;1
8;7;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit A. alpina;9;33TUN5972497528;47.815804N;13.126139E;20;920;158;30;95;20;0;85;0;4;0;0.5
22;7;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit A. alpina;10;33TUN5925697450;47.815001N;13.119916E;20;985;203;45;95;0;0;95;0;0;0;0.7
27;7;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit A. alpina;10;33TUN5901997217;47.812854N;13.116828E;20;1000;158;50;80;0;0;80;0;0;0;0.5
29;7;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit A. alpina;7;33TUN5899697215;47.812831N;13.116522E;20;1000;113;5;85;0;0;85;5;0;0;0.4
66;7;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit A. alpina;6;33TUN5925797460;47.815091N;13.119927E;20;985;180;45;80;0;0;75;5;0;0;0.4
70;7;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit A. alpina;9;33TUN5923897432;47.814835N;13.119682E;20;980;158;45;80;20;0;70;5;10;0;0.5
17;7;Seslerion caeruleae ;Allio lusitanici-Buphthalmetum salicifolii prov. Ausb. Mit A. alpina;10;33TUN5922897371;47.814284N;13.119568E;20;980;203;33;95;0;0;95;0;0;0;0.5
46;8;Ericion carneae ;Rhododendretum hirsuti Lüdi 1921 Ausb. mit C. humilis;20;33TUN5948097550;47.815949N;13.122875E;20;940;293;20;80;50;0;50;5;6;0;0.3
77;8;Ericion carneae ;Rhododendretum hirsuti Lüdi 1921 Ausb. mit C. humilis;3;33TUN5933597563;47.816034N;13.120935E;20;985;360;45;70;0;30;50;10;0;2;0.4
48;8;Ericion carneae ;Rhododendretum hirsuti Lüdi 1921 Ausb. mit C. humilis;4;33TUN5947297555;47.815992N;13.122766E;20;940;225;20;95;0;0;30;80;0;0;0.4
51;9;Ericion carneae ;Rhododendretum hirsuti Lüdi 1921 Ausb. mit H. nobilis;15;33TUN5947297555;47.815992N;13.122766E;20;940;293;50;50;0;0;50;0;0;0;0.6
69;9;Ericion carneae ;Rhododendretum hirsuti Lüdi 1921 Ausb. mit H. nobilis;25;33TUN5922997438;47.814887N;13.119560E;20;970;203;60;90;0;30;85;0;0;2;0.5
